Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern.............................",26720,15056,250,3645707,3723822,2507448,2018823,114020,27260,890674,680405,1202,13651387
Butterfish (Pacific pompano).........,0,0,25,151,145,407,773,262,2768,655,0,0,5186
Cabezon............................................,168,150,0,0,1065,847,494,673,2248,0,0,0,5644
"Croaker, unspecifed..........................",1,0,0,0,0,273,46,0,24,0,0,0,344
"Croaker, white...................................",25,7,220,230,2905,3682,3210,220,2700,100,20,15,13334
"Fish, unspecified...............................",0,0,0,0,0,25,0,0,0,0,0,0,25
"Flounder, starry.................................",771,911,634,701,2190,2330,2656,4045,489,2,189,599,15517
"Flounder, unspecified........................",0,0,70,71,589,45,0,90,0,0,0,0,865
"Greenling, kelp..................................",36,28,0,0,110,101,114,0,0,0,0,0,388
Grenadier..........................................,5277,9128,13595,22842,13631,27692,3131,5734,16391,39654,18492,11453,187020
"Halibut, California..............................",2403,686,558,715,6044,9852,14161,27948,2416,80,1593,1537,67992
"Herring, Pacific..................................",0,0,0,0,0,100,97221,384817,0,0,0,0,482138
Jacksmelt..........................................,280,280,115,393,478,557,39,149,842,35,110,70,3348
Lingcod.............................................,412,44,10,824,2445,2969,2503,2964,3490,523,135,0,16319
Louvar...............................................,0,0,0,0,0,0,0,0,0,0,46,0,46
"Mackerel, Pacific...............................",631,85,0,0,0,0,0,250,0,0,0,0,966
"Mackerel, jack...................................",0,0,0,1000,0,200,0,0,0,0,0,0,1200
Opah.................................................,0,0,0,0,0,29,0,0,0,618,932,802,2381
"Rockfish, China.................................",0,0,0,0,2,0,7,4,20,2,0,3,36
"Rockfish, Pacific ocean perch...........",0,0,0,0,0,0,0,0,0,0,0,6,6
"Rockfish, bank..................................",1122,3115,269,5044,54,0,0,1148,6739,0,0,1911,19402
"Rockfish, black-and-yellow................",80,81,0,0,608,356,729,687,942,129,176,42,3830
"Rockfish, black..................................",140,305,0,0,17,27,11,63,45,9,4,10,630
"Rockfish, blackgill..............................",8047,3019,2456,563,233,749,28,2752,790,2111,2706,756,24210
"Rockfish, blue...................................",269,549,0,0,524,386,672,607,735,302,617,544,5205
"Rockfish, bocaccio............................",133,0,0,0,258,189,265,443,353,67,240,48,1996
"Rockfish, brown.................................",145,330,0,0,423,338,43,47,38,0,19,25,1406
