Species,January,February,March,April,May,June,July,August ,September,October,November,December,Landings
"Shark, Pacific angel.............",0,0,0,0,0,0,14,0,0,0,67,0,81
"Shark, leopard......................",10,174,0,39,14,0,0,0,0,0,23,83,343
"Shark, shortfin mako............",0,0,0,0,0,0,0,0,51,0,84,0,135
"Shark, soupfin......................",19,331,12,25,109,0,71,23,0,0,1405,446,2441
"Shark, spiny dogfish.............",0,0,0,0,0,13,18,0,0,0,0,118,150
"Shark, thresher.....................",0,0,0,118,107,13,802,238,637,35,358,7,2314
"Shark, unspecified................",182,34,19,115,157,152,91,70,310,135,181,126,1572
"Sheephead, California..........",0,2,0,0,19,25,12,80,46,400,0,0,584
Silversides............................,0,0,0,3498,0,0,0,0,0,0,0,0,3498
"Skate, unspecified................",2230,2455,2271,1302,1605,741,2734,21,545,248,639,942,15733
"Smelt, night..........................",0,0,0,0,0,0,0,0,0,0,0,27,27
"Smelt, surf............................",0,0,0,0,0,45,0,0,119,91,0,0,255
"Smelts, true..........................",0,0,0,0,0,0,0,0,22,0,0,0,22
"Sole, Dover..........................",72236,131583,167505,142769,133449,64772,88865,37363,71662,7228,600,6206,924238
"Sole, English........................",4702,3794,2437,1963,3052,2325,3828,1736,6275,25744,27123,9033,92013
"Sole, petrale.........................",12246,8242,3437,666,1523,1178,2079,977,4485,24978,42999,21987,124796
"Sole, rex...............................",5836,1879,12826,3499,1967,1680,1420,37,1226,1648,1988,1591,35597
"Sole, rock.............................",0,0,0,0,0,0,0,0,3,0,0,10,13
"Sole, sand............................",476,149,377,516,1540,1063,771,434,443,239,535,226,6770
"Sole, unspecified..................",0,1,18,0,0,3,9,0,0,2,0,0,33
"Surfperch, barred.................",0,0,0,0,0,4,0,0,0,0,0,0,4
"Surfperch, unspecified..........",0,1,0,0,0,11,0,0,0,0,0,0,12
Swordfish.............................,0,0,0,0,0,0,0,0,0,0,6521,0,6521
"Thornyhead, longspine.........",26682,30761,42872,14090,27300,5386,19380,8800,34507,8766,3492,1204,223239
"Thornyhead, shortspine........",8699,7264,20628,9079,6332,2478,5665,1987,10909,2816,1066,204,77126
Thornyheads........................,269,374,323,1860,982,81,1475,50,0,80,1554,3429,10477
"Tuna, albacore.....................",0,0,0,0,0,40907,39110,98876,904907,264552,18379,0,1366732
"Tuna, bluefin........................",0,0,0,0,0,0,0,0,13697,69922,12088,0,95707
"Tuna, yellowfin.....................",0,0,0,0,0,8,0,0,0,0,0,0,8
"Whitefish, ocean..................",0,0,0,0,0,0,0,0,0,320,0,0,320
"Whiting, Pacific....................",0,0,900,800,6,4,0,0,0,0,0,0,1710
"Crab, Dungeness.................",2717,2801,2508,2741,845,2029,211,0,0,48,405,9955,24260
"Crab, rock unspecified..........",238,470,0,0,48,0,250,645,725,540,0,0,2916
"Prawn, spot..........................",3060,5183,5915,697,5,320,60,3668,9055,8220,7400,4807,48389
Sea stars..............................,0,0,0,0,0,0,4,0,0,0,0,0,4
"Octopus, unspecified............",23,21,84,28,48,85,0,228,99,186,15,30,846
"Squid, market.......................",0,0,0,1366441,385548,198524,1827429,6874242,4356185,2069879,0,0,17078248
Waters Area Total:,5742048,3048566,403551,10106435,10960736,879009,2220061,7181652,6197493,8079366,5582747,3412206,63813870
"Thornyhead, longspine.........",0,0,0,0,0,0,0,0,0,0,341,102,443
"Thornyhead, shortspine........",0,0,0,0,0,0,0,0,0,0,296,50,345
Waters Area Total:,0,0,0,0,0,0,0,0,0,0,637,151,788
Grand Total,5742048,3048566,403551,10106435,10960736,879009,2220061,7181652,6197493,8079366,5583384,3412357,63814658
