"levels(factor(ports$comm_name))"
"Abalone"
"Shortfin mako shark"
"Shortraker rockfish"
"Shortspine thornyhead"
"Shovelnose guitarfish"
"Shrimp"
"Signal crayfish"
"Silver surfperch"
"Sixgill shark"
"Skate"
"Skipjack tuna"
"Slender sole"
"Slope rockfish group"
"Small rockfish group"
"Smooth hammerhead shark"
"Sole"
"Soupfin shark"
"Southern kelp crab"
"Speckled rockfish"
"Speckled sanddab"
"Spiny dogfish shark"
"Splitnose rockfish"
"Splittail"
"Sponge"
"Spotted cabrilla"
"Spotted cusk-eel"
"Spotted ratfish"
"Spotted sand bass"
"Squarespot rockfish"
"Staghorn sculpin"
"Starry flounder"
"Starry rockfish"
"Stingray"
"Striped bass"
"Striped marlin"
"Striped mullet"
"Striped seaperch"
"Stripetail rockfish"
"Sturgeon"
"Sucker"
"Surf smelt"
"Surfperch"
"Swell shark"
"Swordfish"
"Swordspine rockfish"
"Tanner crab"
"Tegula snail"
"Terrapin"
"Themiste"
"Thornback skate"
"Thornyhead"
"Threaded abalone"
"Threadfin shad"
"Threespine stickleback"
"Top or jack smelt"
"Top snail"
"Topsmelt"
"Trawled fish"
"Treefish rockfish"
"Triggerfish"
"True smelt"
"Tuna"
"Tunicate"
"Turbot"
"Turtle"
"Vermilion rockfish"
"Wahoo"
"Walleye surfperch"
"Warty sea cucumber"
"White abalone"
"White croaker (kingfish)"
"White sea urchin"
"White seabass"
"White shark"
"White surfperch"
"Whitebait"
"Whitebait smelt"
"Widow rockfish"
"Wolf eel"
"Yellow rock crab"
"Yellowchin sculpin"
"Yelloweye rockfish"
"Yellowfin croaker"
"Yellowfin goby"
"Yellowfin tuna"
"Yellowtail (amberjack)"
"Yellowtail rockfish"
"Zebra goby"
"Zebraperch"
