Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Sculpin, staghorn.........................",0,0,0,0,0,3,27,45,110,92,98,53,428
"Seabass, white.............................",28,39,64,18,0,77,401,"1,198",503,594,0,"2,353","5,273"
"Seaperch, striped.........................",279,167,561,271,0,0,0,0,0,0,185,690,"2,153"
"Shad, American.............................",0,0,0,0,0,2,119,0,0,0,1,12,134
"Shark, brown smoothhound.......",0,0,0,0,3,0,0,0,0,0,0,0,3
"Shark, leopard...............................",82,207,0,0,96,177,260,33,25,112,58,393,"1,443"
"Shark, pelagic thresher...............",0,0,0,0,0,0,0,0,0,"5,805",0,0,"5,805"
"Shark, sevengill............................",0,0,0,0,0,0,0,0,0,0,190,0,190
"Shark, shortfin mako....................",0,0,"2,011",0,0,0,0,0,0,411,0,0,"2,422"
"Shark, soupfin...............................",0,0,0,139,0,177,17,0,32,247,494,370,"1,476"
"Shark, spiny dogfish....................",0,0,21,10,81,336,27,0,138,34,685,"2,210","3,542"
"Shark, thresher..............................",0,0,0,0,0,0,0,0,0,394,0,0,394
"Shark, unspecified.......................",140,187,0,0,39,0,12,0,32,0,0,0,410
"Skate, California............................",0,0,0,0,0,46,0,0,0,0,0,0,46
"Skate, big........................................",0,0,40,23,128,147,456,"1,649",501,116,193,58,"3,311"
"Skate, longnose............................",0,0,0,332,626,"1,801","2,198","1,173",336,821,0,0,"7,287"
"Skate, unspecified.......................",0,353,"1,284",581,590,"1,472","1,361",0,"1,516",378,"1,576","2,237","11,348"
"Smelt, night....................................",0,0,0,0,47,0,0,0,0,0,0,0,47
"Smelt, surf......................................",0,0,0,0,0,30,0,0,1,0,0,0,32
"Sole, Dover.....................................",0,0,1,32,47,67,151,18,"14,379",2,0,170,"14,867"
"Sole, English..................................",58,0,22,33,"1,265",891,597,716,98,247,0,89,"4,015"
"Sole, curlfin....................................",43,83,96,168,90,1,5,7,12,16,0,0,521
"Sole, petrale...................................",0,0,743,"1,615","15,450","29,321","31,469","18,805","29,285","35,357","10,118","21,911","194,074"
"Sole, rex..........................................",0,0,24,103,0,25,155,61,571,190,20,376,"1,525"
"Sole, rock........................................",55,110,54,20,15,6,176,17,129,70,0,0,651
"Sole, sand......................................",345,567,795,308,998,897,"2,504","3,206","2,061",770,408,0,"12,858"
"Surfperch, barred..........................",0,0,0,7,7,0,0,0,0,0,35,3,52
"Surfperch, black............................",143,487,552,288,0,0,0,0,0,0,27,333,"1,830"
"Surfperch, pile...............................",5,20,9,56,0,0,0,0,0,0,25,20,135
"Surfperch, rainbow.......................",0,37,15,60,0,0,0,0,0,0,0,0,112
"Surfperch, redtail..........................",0,0,0,2,0,0,0,0,0,0,0,0,2
"Surfperch, rubberlip.....................",95,63,347,184,0,0,0,0,0,0,9,48,746
"Surfperch, silver...........................",0,0,7,0,0,0,0,0,0,0,0,0,7
"Surfperch, unspecified................",188,239,16,54,0,1,0,0,0,0,4,0,501
"Surfperch, walleye.......................",0,1,0,0,0,0,0,0,0,0,10,0,11
"Surfperch, white............................",5,35,24,0,0,0,0,0,0,0,30,11,105
Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
Swordfish........................................,0,0,"70,419",0,0,0,0,0,0,0,0,0,,"70,419"
"Thornyhead, longspine...............",0,0,0,0,0,0,46,63,"7,855",0,0,1,,"7,965"
"Thornyhead, shortspine..............",0,0,0,1,0,0,380,334,"2,828",70,60,183,,"3,856"
Thornyheads..................................,0,0,0,56,210,161,0,0,0,67,0,162,,656
"Tuna, albacore..............................",0,0,0,0,0,0,0,"1,203","4,266",0,0,0,,"5,469"
"Tuna, bigeye..................................",0,0,"5,966",0,0,0,0,0,0,0,0,0,,"5,966"
"Tuna, unspecified.........................",0,0,0,0,0,0,0,19,0,0,0,0,,19
Turbot..............................................,0,0,167,317,200,36,0,161,217,132,0,204,,"1,434"
"Whiting, Pacific.............................",0,0,0,26,339,859,"2,569",252,287,183,80,"2,245",,"6,840"
Yellowtail........................................,0,0,0,0,0,0,0,112,0,425,0,0,,537
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness..........................","335,429","220,356","240,237","240,914","211,219","120,931",242,0,0,614,"2,057,805","701,995",,"4,129,741"
"Crab, box.........................................",0,0,0,845,"5,300",918,0,0,0,0,0,703,,"7,767"
"Crab, brown rock...........................",0,0,0,0,0,0,0,0,34,32,254,0,,320
"Crab, red rock................................",0,0,0,0,0,0,0,0,0,0,0,40,,40
"Crab, rock unspecified................",374,"1,095","3,659","1,094","2,839","1,251","2,396","1,935","3,282","2,535","7,680","1,344",,"29,483"
"Crab, yellow rock..........................",0,0,0,0,1,0,0,0,0,0,0,0,,1
"Crayfish, unspecified..................",0,0,0,0,0,0,0,0,0,0,0,228,,228
"Prawn, spot....................................","5,691","3,009","7,379","6,850",0,0,0,"7,677","4,255","6,125",0,"5,447",,"46,433"
"Shrimp, bay....................................",28,40,14,17,130,864,"2,227","1,412","1,841","2,380","2,418","2,750",,"14,121"
"Shrimp, coonstriped.....................",0,0,0,0,"3,255","4,355","11,679","12,831","8,908","14,018",0,0,,"55,046"
Echinoderms,,,,,,,,,,,,,,
"Sea urchin, red..............................","1,395","1,561","1,940","2,824","1,856","2,781","2,040","3,242","1,666",960,"2,278",833,,"23,375"
Mollusks,,,,,,,,,,,,,,
"Octopus, unspecified..................",0,0,53,114,0,56,27,0,0,0,0,0,,250
Sea hare.........................................,0,0,0,0,0,0,32,0,0,0,0,0,,32
"Squid, market.................................",0,0,0,0,"9,431","79,820","34,352","3,589,396","521,653",0,0,0,,"4,234,652"
Plants,,,,,,,,,,,,,,
"Kelp, giant.......................................",0,0,0,0,0,0,0,0,0,10,0,0,,10
Waters Area Total:,"400,957","296,320","407,469","324,568","316,323","370,904","666,661","5,514,849","2,211,191","158,823","2,119,052","836,784",,"13,623,903"
Other Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
Dolphin (fish).................................,0,0,0,0,"1,247",0,0,0,0,"1,200",141,0,,"2,588"
"Fish, unspecified..........................",0,0,0,0,686,0,0,0,0,56,112,0,,854
"Flounder, starry.............................",0,0,0,0,0,0,48,0,0,0,0,0,,48
Oilfish..............................................,153,0,0,0,138,0,0,0,0,187,295,0,,773
Species,January,February,March,April,May June,,July,August,September,October,November,December,Landings
ther Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Opah................................................,"1,365",0,0,0,415  0,,0,0,0,"3,211","4,397","1,228","10,616"
Sablefish.........................................,0,0,0,0,"0  2,000",,0,0,0,0,0,0,"2,000"
"Shark, shortfin mako....................",0,0,0,0,365  0,,0,0,0,"2,230","2,584",392,"5,571"
"Shark, thresher..............................",0,0,0,0,0  0,,0,0,0,0,158,0,158
Swordfish........................................,"37,212",0,0,0,"56,468  0",,0,0,0,"8,534","63,206","54,786","220,206"
"Tuna, albacore..............................",0,0,0,0,0  0,,0,0,"1,973",723,399,0,"3,095"
"Tuna, bigeye..................................","3,474",0,0,0,"7,367  0",,0,0,0,0,"3,794","3,181","17,816"
"Tuna, skipjack...............................",0,0,0,0,0  0,,0,0,0,105,55,0,160
"Tuna, yellowfin..............................",116,0,0,0,"3,974  0",,0,0,0,"3,224","4,261","3,748","15,323"
Wahoo.............................................,0,0,0,0,40  0,,0,0,0,78,290,0,408
Waters Area Total:,"42,320",0,0,0,"70,700  2,000",,48,0,"1,973","19,548","79,692","63,335","279,616"
aters North Of State,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Tuna, albacore..............................",0,0,0,0,0  0,,0,0,"1,493",0,0,0,"1,493"
Waters Area Total:,0,0,0,0,0  0,,0,0,"1,493",0,0,0,"1,493"
aters South Of State,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Dolphin (fish).................................,0,0,0,0,0  0,,157,162,639,0,0,0,958
"Fish, unspecified..........................",0,0,0,0,0  0,,865,"1,812",532,0,0,0,"3,209"
Oilfish..............................................,0,0,0,0,0  0,,510,417,"1,076",0,0,0,"2,003"
Opah................................................,0,0,0,0,0  0,,"29,230","51,395","44,798",0,0,0,"125,423"
Pomfret............................................,0,0,0,0,0  0,,367,"1,050",452,0,0,0,"1,869"
"Shark, shortfin mako....................",0,0,0,0,0  0,,"1,890","3,309","2,120",0,0,0,"7,319"
Swordfish........................................,0,0,0,0,0  0,,"1,199","2,365",194,0,0,0,"3,758"
"Tuna, bigeye..................................",0,0,0,0,0  0,,"39,704","40,721","13,964",0,0,0,"94,389"
"Tuna, yellowfin..............................",0,0,0,0,0  0,,"3,750","6,795","4,911",0,0,0,"15,456"
Wahoo.............................................,0,0,0,0,0  0,,735,584,850,0,0,0,"2,169"
Waters Area Total:,0,0,0,0,0  0,,"78,407","108,610","69,536",0,0,0,"256,553"
Grand Total:,"443,277","296,320","407,469","324,568","387,023  372,904",,"745,116","5,623,459","2,284,193","178,371","2,198,744","900,119","14,161,565"
"",,,,,*******************,,,,,,,,
"",,,,,,,,,Total Records:,"11,319",,,
"",,,,,End of Report,,,,,,,,
