Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
"Sardine, Pacific.............................",0,0,0,0,700,0,0,840,0,0,0,0,,"1,540"
"Sculpin, staghorn.........................",158,115,65,73,90,91,107,258,187,0,294,0,,"1,438"
"Seabass, white.............................",0,0,8,80,110,66,"1,625","19,574",933,76,141,0,,"22,614"
"Seaperch, striped.........................",703,0,962,353,0,0,0,0,0,0,645,812,,"3,475"
Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Shad, threadfin..............................",0,0,0,7,20,0,0,0,0,0,0,0,,27
"Shark, bigeye thresher................",0,0,0,0,0,0,0,0,0,0,0,648,,648
"Shark, brown smoothhound.......",0,0,0,0,0,7,0,0,0,0,0,0,,7
"Shark, leopard...............................",232,0,0,0,275,590,470,222,919,550,256,90,,"3,604"
"Shark, sevengill............................",0,0,0,0,0,11,9,5,29,0,0,0,,54
"Shark, shortfin mako....................",968,534,0,0,0,0,932,0,"1,085",0,0,"1,961",,"5,480"
"Shark, soupfin...............................",179,0,0,0,40,0,259,75,17,139,0,0,,709
"Shark, spiny dogfish....................","35,258",0,0,0,351,0,0,0,0,0,0,0,,"35,609"
"Shark, thresher..............................",0,0,0,0,0,0,49,100,41,0,0,0,,190
"Shark, unspecified.......................",554,220,0,0,216,16,15,36,17,157,635,170,,"2,036"
"Skate, big........................................",0,0,353,322,806,0,87,0,298,214,0,0,,"2,080"
"Skate, longnose............................","6,284","5,732","9,761","5,243",721,107,"2,275","1,284","7,722","3,990","2,456",0,,"45,575"
"Skate, unspecified.......................",160,82,343,233,496,"1,205","1,322","1,021",532,363,83,0,,"5,840"
"Smelt, night....................................",0,123,150,195,0,0,0,117,0,0,0,0,,585
"Smelt, surf......................................",0,0,0,23,20,0,60,"1,754",0,0,0,40,,"1,897"
"Sole, Dover.....................................","46,664","9,641","28,927","14,160","20,085",0,"35,385","20,371","20,062","13,052","2,453",0,,"210,800"
"Sole, English..................................",210,211,"1,439",862,"3,291","2,503","2,021","1,726","1,954","1,011",160,0,,"15,388"
"Sole, fantail....................................",0,0,0,0,0,0,0,0,11,0,0,0,,11
"Sole, petrale...................................","10,759",405,"4,051","1,482","21,587","36,776","26,198","28,412","25,217","15,495","2,737",0,,"173,119"
"Sole, rex..........................................",229,53,407,"1,321",0,0,0,163,168,12,0,0,,"2,353"
"Sole, rock........................................",72,11,56,0,1,0,37,210,16,149,0,0,,552
"Sole, sand......................................",393,"1,938",768,"4,203","7,495","1,304","4,634","2,022","2,440","2,403","1,484",0,,"29,084"
"Surfperch, barred..........................",0,0,0,0,0,0,0,0,0,0,50,0,,50
"Surfperch, black............................",0,0,62,2,0,0,0,0,30,20,5,104,,223
"Surfperch, pile...............................",0,0,14,6,0,0,0,0,0,0,0,1,,21
"Surfperch, rainbow.......................",0,0,9,0,0,0,0,0,30,20,0,20,,79
"Surfperch, rubberlip.....................",52,0,79,0,0,0,0,0,0,0,2,11,,144
"Surfperch, shiner..........................",5,0,349,296,284,155,89,28,20,43,55,30,,"1,352"
"Surfperch, unspecified................",166,219,677,0,0,0,0,0,0,35,0,0,,"1,097"
"Surfperch, walleye.......................",70,0,60,164,0,0,0,0,0,10,0,33,,337
"Surfperch, white............................",0,0,0,22,0,0,0,0,0,0,0,0,,22
Swordfish........................................,"109,023","139,510","101,638","24,174",0,0,"2,231","1,216","1,059",0,"22,009","96,052",,"496,912"
"Thornyhead, longspine...............","19,722",411,0,172,161,0,189,449,377,201,0,0,,"21,682"
"Thornyhead, shortspine..............","5,349",988,"1,108",557,823,0,783,"1,097",949,597,78,0,,"12,329"
Thornyheads..................................,0,0,0,0,0,0,364,0,42,0,0,0,,406
"Tuna, albacore..............................",581,"1,948","1,477",520,0,0,123,0,"10,301","6,663",0,110,,"21,723"
