Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Sardine, Pacific.............................",200,"1,280",0,0,0,0,"2,813",0,0,0,0,0,"4,293"
"Sculpin, staghorn.........................",139,82,124,128,79,56,196,333,779,934,727,299,"3,876"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Seabass, white.............................",0,55,6,0,69,296,833,580,173,91,0,0,"2,101"
"Seaperch, striped.........................",477,994,"1,026",628,0,0,0,0,0,53,"1,271","1,432","5,881"
"Shad, American.............................",0,0,0,0,0,0,10,0,55,0,0,0,65
"Shark, leopard...............................",263,371,596,11,8,0,77,15,66,27,60,129,"1,623"
"Shark, shortfin mako....................",0,0,0,0,0,0,0,0,0,0,0,276,276
"Shark, soupfin...............................",0,33,0,0,0,0,370,51,0,3,0,0,457
"Shark, spiny dogfish....................",0,0,0,0,34,0,0,0,0,0,0,0,34
"Shark, thresher..............................",0,0,0,0,0,0,0,12,0,0,0,0,12
"Shark, unspecified.......................",239,18,42,0,13,0,69,0,0,0,32,313,726
"Skate, big........................................",0,0,46,712,456,218,128,78,142,64,0,0,"1,844"
"Skate, longnose............................",0,0,"1,294","2,134",449,484,"3,620","5,059","1,812","5,538","6,339","1,048","27,777"
"Skate, unspecified.......................",28,147,228,156,718,716,922,"1,114",533,"1,134",0,0,"5,696"
"Smelt, night....................................",0,0,0,143,0,0,53,0,0,0,0,0,196
"Smelt, surf......................................",0,64,0,0,0,0,0,17,0,0,0,0,81
"Sole, Dover.....................................",0,53,"8,496","18,132","38,468","20,869","91,619","124,807","59,954","134,292","68,677","64,278","629,645"
"Sole, English..................................",134,220,554,"1,311","2,078",645,"2,861","3,002","4,240","3,810",0,0,"18,855"
"Sole, butter.....................................",0,0,0,0,0,0,0,0,0,88,0,0,88
"Sole, petrale...................................","5,219","9,503","8,068","18,915","11,959","16,138","30,962","16,492","36,004","23,209","1,051","8,900","186,420"
"Sole, rex..........................................",0,0,22,78,1,0,0,13,29,23,293,0,459
"Sole, rock........................................",2,161,661,40,884,866,474,862,462,98,357,86,"4,953"
"Sole, sand......................................","4,117","1,482","3,388","1,483","1,874","3,320","7,770","1,877",470,745,5,71,"26,602"
"Sole, unspecified..........................",21,0,0,0,0,0,0,0,0,"1,228",0,0,"1,249"
"Surfperch, barred..........................",0,7,0,0,0,0,0,0,0,0,0,0,7
"Surfperch, black............................",10,82,30,20,0,0,0,0,0,0,7,35,183
"Surfperch, calico..........................",3,0,0,0,0,0,0,0,0,0,0,0,3
"Surfperch, pile...............................",0,0,13,27,0,0,0,0,0,23,16,10,89
"Surfperch, rainbow.......................",915,0,338,0,0,0,0,0,0,0,0,41,"1,294"
"Surfperch, redtail..........................",0,0,15,0,0,0,0,0,0,0,0,0,15
"Surfperch, rubberlip.....................",0,65,25,0,0,0,0,0,0,0,0,63,153
"Surfperch, shiner..........................",3,0,5,13,27,55,14,45,0,6,5,3,175
"Surfperch, unspecified................",441,551,385,0,0,2,2,0,0,111,157,247,"1,897"
Swordfish........................................,0,0,0,0,0,0,0,0,0,0,"83,346","48,628","131,974"
"Thornyhead, longspine...............",0,0,112,360,913,"5,971","23,047","47,864","7,014","25,799","14,691","15,456","141,227"
"Thornyhead, shortspine..............",0,0,309,849,"2,386","1,326","4,739","8,650","3,309","6,947","2,694","3,509","34,719"
"Tuna, albacore..............................",0,0,0,0,0,95,0,"5,402","54,546","42,295","1,432","1,672","105,441"
"Tuna, bigeye..................................",0,0,0,0,0,0,0,0,0,0,"3,369",198,"3,567"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Tuna, bluefin..................................",0,0,0,0,0,0,0,0,0,0,0,155,155
"Tuna, yellowfin..............................",0,0,0,0,0,0,0,0,10,0,361,0,371
"Turbot, curlfin................................",0,0,0,0,30,0,0,1,0,0,0,0,31
"Turbot, hornyhead........................",0,0,0,0,0,0,0,2,0,0,0,0,2
Turbot..............................................,75,110,293,74,34,142,72,48,40,0,0,0,888
"Whiting, Pacific.............................",0,0,0,0,0,0,0,0,0,6,0,0,6
Yellowtail........................................,0,0,0,0,0,0,0,0,191,0,0,0,191
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness..........................","453,444","174,574","95,371","41,802","37,224","36,395",923,881,334,0,"4,357,113","1,051,531","6,249,591"
"Crab, rock unspecified................","1,427",720,616,206,370,421,"1,245","2,054","1,454",357,"17,354",720,"26,944"
"Prawn, spot....................................","3,625","3,361","4,833","1,592",0,0,0,"8,050","3,890","2,320",0,0,"27,671"
