$,% &,,,"! &",,( $,,,),,(,,%&,,%&,,)& &,"!",*$ !,,,"+ ,","!",,$,"!",,',
"Rockfish, olive....................................",,1,,0,,,0,,0,,6,,30,,99,,71,,56,,89,,,,36,,,50,,,438
"Rockfish, quillback.............................",,3,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,0,,,3
"Rockfish, redbanded..........................",,0,,2,,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,0,,,2
"Rockfish, rosy.....................................",,48,,11,,,0,,0,,0,,41,,24,,8,,9,,0,,,,0,,,0,,,141
"Rockfish, splitnose.............................",,0,,0,,,0,,1,,43,,23,,1,,148,,126,,7,,,,0,,,393,,,742
"Rockfish, starry...................................",,20,,10,,,0,,0,,0,,32,,30,,3,,8,,11,,,,0,,,0,,,114
"Rockfish, treefish................................",,4,,0,,,0,,0,,0,,2,,2,,2,,2,,2,,,,0,,,0,,,14
"Rockfish, unspecified.........................",,0,,0,,,0,,0,,0,,0,,0,,0,,0,,18,,,,0,,,0,,,18
"Rockfish, vermilion.............................",,104,,57,,,0,,0,,44,,244,,330,,454,,197,,230,,,,17,,,44,,,"1,721"
"Rockfish, widow.................................",,0,,0,,,0,,0,,0,,2,,2,,12,,325,,10,,,,0,,,0,,,351
"Rockfish, yellowtail.............................",,25,,5,,,0,,0,,0,,96,,101,,55,,111,,263,,,,0,,,3,,,659
Sablefish............................................,,"6,832",,"5,306",,"7,795",,,"13,939",,"23,739",,"32,728",,"45,373",,"94,109",,"82,642",,"44,316",,,,"9,247",,,"7,560",,,"373,587"
"Salmon, Chinook................................",,0,,0,,,0,,0,,"56,387",,"4,305",,"12,648",,"7,912",,"13,136",,"5,654",,,,0,,,0,,,"100,043"
"Salmon, Roe (Chinook, Coho)............",,0,,0,,,0,,0,,0,,0,,0,,1,,5,,0,,,,0,,,0,,,6
"Salmon, chum....................................",,0,,0,,,0,,0,,0,,0,,5,,0,,0,,0,,,,0,,,0,,,5
Sanddab............................................,,0,,0,,,5,,0,,"2,766",,"7,181",,"20,944",,"7,589",,"7,446",,"6,859",,,,"2,794",,,0,,,"55,584"
"Sardine, Pacific..................................",,0,,0,,,0,,0,,18,,0,,0,,0,,0,,0,,,,0,,,0,,,18
"Sculpin, staghorn...............................",,67,,60,,93,,,73,,85,,286,,359,,463,,806,,834,,,,495,,,497,,,"4,118"
"Seabass, white...................................",,32,,65,,,0,,46,,0,,75,,"1,895",,675,,"1,038",,405,,,,0,,,0,,,"4,231"
"Seaperch, striped...............................",,0,,20,,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,0,,,20
"Shad, threadfin...................................",,0,,0,,,0,,0,,0,,40,,10,,186,,0,,0,,,,0,,,0,,,236
"Shark, leopard....................................",,102,,12,,,0,,8,,0,,0,,8,,20,,0,,147,,,,0,,,164,,,461
"Shark, shortfin mako...........................",,0,,0,,,0,,0,,0,,0,,30,,0,,251,,0,,,,0,,,0,,,281
"Shark, sixgill........................................",,0,,0,,,0,,0,,0,,0,,0,,36,,0,,0,,,,0,,,0,,,36
"Shark, soupfin....................................",,0,,0,,,0,,0,,0,,0,,0,,0,,30,,237,,,,255,,,0,,,522
"Shark, spiny dogfish...........................",,0,,0,,,0,,0,,0,,0,,6,,13,,0,,0,,,,0,,,0,,,19
"Shark, thresher...................................",,0,,0,,,0,,0,,0,,0,,172,,26,,12,,0,,,,0,,,0,,,210
"Shark, unspecified..............................",,720,,170,,,0,,0,,56,,0,,0,,49,,216,,0,,,,0,,,60,,,"1,271"
"Skate, California.................................",,0,,0,,,0,,0,,0,,377,,100,,198,,47,,54,,,,0,,,0,,,776
"Skate, big...........................................",,0,,0,,,0,,0,,0,,0,,0,,459,,156,,56,,,,0,,,0,,,671
$,% &,,,"! &",,( $,,,),(,%&,%&,)& &,"!",*$ !,,"+ , !",,,$ !,,'
California Waters,,,,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,,,,
"Skate, longnose.................................",0,,,0,,0,,,334,"1,554","4,893","1,673","12,858","6,656","2,250",,0,,,146,,"30,364"
"Skate, unspecified..............................",366,,,170,,134,,,166,35,445,229,253,191,"3,190",,0,,,0,,"5,179"
"Smelt, night........................................",0,,,30,,0,,,204,80,101,0,0,0,0,,0,,,0,,415
"Smelt, surf..........................................",0,,,0,,0,,,0,88,84,0,7,0,0,,0,,,0,,179
"Sole, Dover.........................................",0,,,0,,0,,,"10,900","15,420","52,423","15,356","93,200","110,176","47,017",,"3,925",,,0,,"348,417"
"Sole, English.......................................",0,,,0,,0,,,0,441,"4,169","2,722","3,609","2,683","3,203",,"1,301",,,112,,"18,240"
"Sole, fantail........................................",0,,,0,,0,,,0,300,0,0,0,0,0,,0,,,0,,300
"Sole, petrale.......................................",0,,,0,,0,,,0,568,"6,057","14,971","17,686","12,364","9,517",,"4,198",,,"14,060",,"79,421"
"Sole, rex.............................................",3,,,0,,0,,,0,12,9,1,589,454,650,,212,,,0,,"1,930"
"Sole, rock...........................................",9,,,34,,102,,,144,6,45,"1,243",880,"1,083",317,,286,,,32,,"4,181"
"Sole, sand..........................................",929,,,"1,451",,780,,,"1,296",492,"1,624","6,302","3,991","3,000","2,568",,220,,,79,,"22,731"
"Sole, unspecified................................",277,,,0,,0,,,0,16,16,0,0,0,0,,0,,,0,,309
"Surfperch, barred...............................",0,,,48,,0,,,0,0,0,45,0,7,0,,0,,,0,,100
"Surfperch, rainbow.............................",27,,,87,,82,,,0,0,0,0,0,0,0,,0,,,0,,196
"Surfperch, redtail................................",59,,,0,,0,,,0,0,0,0,0,0,20,,0,,,0,,79
"Surfperch, rubberlip............................",28,,,36,,12,,,0,0,0,0,0,0,0,,0,,,0,,76
"Surfperch, shiner................................",0,,,0,,25,,,3,16,21,19,15,18,8,,3,,,0,,127
"Surfperch, unspecified.......................",321,,,0,,268,,,0,0,0,0,0,0,59,,263,,,0,,911
Swordfish...........................................,"144,765",,,"132,415",,"119,116",,,"95,294",0,0,0,0,"1,993","64,322",,"21,660",,,0,,"579,565"
