Species,January,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
"Rockfish, widow.........................","3,995",851,0,,0,,806,,9,5,,0,0,0,0,771,"6,437"
"Rockfish, yelloweye...................",0,0,0,,0,,0,,1,0,,0,0,0,0,0,1
"Rockfish, yellowtail.....................",78,32,299,,0,,463,,"1,001",384,,892,922,731,291,40,"5,132"
Sablefish....................................,"10,590","13,228","33,498",,"21,554",,"27,826",,"10,218","22,502",,"44,551","54,573","47,346","26,213","19,817","331,915"
"Salmon, Chinook........................",0,0,0,,0,,"232,409",,"15,115","119,716",,"14,764","17,701","6,077",0,0,"405,781"
"Salmon, Roe (Chinook, Coho)",0,0,0,,0,,0,,1,14,,20,19,21,0,0,74
Salmon......................................,0,0,0,,0,,17,,0,0,,0,0,86,0,0,103
"Sanddab, Pacific........................",0,0,0,,0,,0,,"2,056",0,,0,0,0,0,0,"2,056"
Sanddab....................................,"2,280",0,"9,644",,"26,885",,"46,324",,"43,139","54,248",,"21,218","13,705","10,291","12,292",36,"240,062"
"Sardine, Pacific..........................",0,0,0,,0,,0,,0,0,,"2,500","1,800",0,0,0,"4,300"
"Sculpin, staghorn.......................",309,226,240,,140,,29,,23,159,,81,370,700,612,258,"3,147"
"Seabass, white..........................",0,0,99,,0,,56,,153,467,,"3,756","3,368",340,0,0,"8,239"
"Shad, threadfin...........................",0,0,0,,18,,0,,0,0,,0,0,0,0,0,18
Species,January,February,March,April,,May,,June,July,,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,
"Shark, leopard............................","1,669",150,182,865,,870,,267,390,,362,368,421,150,151,"5,844"
"Shark, shortfin mako..................",0,0,0,0,,0,,"1,096",0,,0,0,0,0,0,"1,096"
"Shark, soupfin............................",309,42,0,75,,40,,0,0,,0,55,54,420,0,995
"Shark, spiny dogfish...................",575,20,231,"1,379",,900,,0,235,,15,4,318,0,0,"3,677"
"Shark, thresher..........................",0,0,0,0,,0,,0,30,,0,0,0,35,0,65
"Shark, unspecified.....................",268,0,49,0,,223,,"1,052",0,,92,108,99,840,72,"2,803"
"Skate, unspecified......................",532,24,"2,486","2,553",,"1,311",,745,"1,139",,"2,377","2,393","1,414","1,802",0,"16,776"
"Smelt, surf.................................",0,0,0,0,,0,,0,0,,0,0,50,0,0,50
"Smelts, true................................",0,0,0,0,,0,,0,159,,0,0,0,0,"1,721","1,880"
"Sole, Dover................................","1,966","31,244","72,806","45,975",,"88,805",,"72,973","13,290",,"85,444","104,690","106,359","44,553","23,286","691,391"
"Sole, English..............................",955,"1,455","9,438","4,589",,"3,981",,"5,323","5,965",,"8,384","9,055","14,843","14,504",261,"78,753"
"Sole, petrale...............................","36,829","3,854","66,699","23,676",,"62,708",,"30,659","62,507",,"43,911","37,377","67,505","92,167","30,235","558,127"
"Sole, rex....................................",807,500,"3,988",696,,910,,"1,142",318,,"4,572","8,251","5,283","6,449","1,762","34,678"
"Sole, rock...................................","2,420",408,"1,345","1,257",,746,,1,157,,513,"2,253","1,723",622,2,"11,446"
"Sole, sand..................................","2,248",346,"1,866",247,,387,,"1,210","1,940",,"1,868","2,796",135,326,26,"13,395"
"Sole, unspecified........................",0,0,180,0,,0,,0,0,,0,0,0,39,0,219
"Surfperch, unspecified...............",412,74,450,67,,0,,0,38,,106,0,23,119,321,"1,609"
"Thornyhead, longspine...............",144,"11,608","13,413","8,662",,"11,257",,"9,725","1,697",,"5,688","21,245","17,509","3,401","5,913","110,262"
"Thornyhead, shortspine.............",340,"5,519","5,327","2,285",,"5,263",,"4,127",340,,"3,002","11,402","13,072","2,849","3,668","57,193"
Thornyheads..............................,0,0,0,348,,96,,0,0,,0,0,0,0,0,444
"Tuna, albacore...........................",344,0,0,0,,0,,0,"1,970",,"23,051","21,992",230,0,0,"47,587"
"Tuna, skipjack............................",0,0,0,0,,0,,0,0,,0,0,26,0,0,26
Turbot........................................,14,0,171,180,,85,,37,10,,73,97,47,88,10,812
Crustaceans,,,,,,,,,,,,,,,,
"Crab, Dungeness.......................","273,886","181,313","126,415","131,953",,"95,618",,"35,044",0,,0,0,0,"1,351","647,543","1,493,123"
"Crab, rock unspecified...............",216,158,690,497,,150,,207,422,,647,"1,529",902,411,"1,987","7,815"
"Crayfish, unspecified..................",0,0,0,0,,0,,0,0,,0,"4,835",0,0,0,"4,835"
"Shrimp, bay................................","5,545","4,355","4,222","2,957",,"2,499",,"3,186","4,091",,"5,460","3,960","5,176","5,103","3,560","50,114"
"Shrimp, brine.............................",0,0,0,"6,407",,"64,429",,"57,432","34,887",,"45,061","91,192",0,0,0,"299,409"
Mollusks,,,,,,,,,,,,,,,,
"Octopus, unspecified.................",0,45,17,0,,75,,120,120,,45,30,0,0,0,452
"Squid, jumbo..............................",0,0,0,0,,70,,605,0,,0,528,0,48,415,"1,666"
"Squid, market.............................",0,35,0,0,,0,,0,0,,"36,834",0,0,0,0,"36,869"
Waters Area Total:,"871,160","371,699","409,727","297,519",,"704,646",,"336,450","367,626",,"411,814","453,148","361,112","241,767","754,326","5,580,994"
Waters North Of State,,,,,,,,,,,,,,,,
Species,January,February,March,,April,,May,June,,,July,,August September,October,,November,December,Landings
Waters North Of State,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,
"Tuna, albacore...........................",0,0,0,,0,,0,0,,,0,,0,0,"9,848",0,0,"9,848"
Waters Area Total:,0,0,0,,0,,0,0,,,0,,0,0,"9,848",0,0,"9,848"
Grand Total:,"871,160","371,699","409,727",,"297,519",,"704,646","336,450",,,"367,626",,"411,814  453,148","370,960",,"241,767","754,326","5,590,842"
"",,,,,,,*******************,,,,,,,,,,,
"",,,,,,,End of Report,,,,,,Total Records:,"11,505",,,,
