"",,,,,,,,,,,,,,,,Total
Species,January,,February,March,,April,May,,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,
"Anchovy, northern",0,,0,0,,"1,544",248,,303,"1,256,874","1,689,512","211,734",74,0,0,"3,160,289"
"Bullhead, brown",0,,0,0,,0,0,,0,0,0,0,6,0,0,6
Butterfish (Pacific,0,,0,0,,0,0,,0,0,"3,279",0,0,0,0,"3,279"
pompano),,,,,,,,,,,,,,,,
Cabezon,6,,0,0,,0,16,,19,61,13,63,9,21,0,208
"Croaker, white",5,,2,0,,0,14,,41,43,"5,324",353,293,0,0,"6,075"
Eel,0,,13,0,,1,0,,0,0,0,0,0,0,0,14
"Eel, wolf (wolf-eel)",0,,0,0,,0,14,,7,29,16,7,6,0,0,79
"Fish, unspecified",0,,1,1,,0,388,,0,0,5,0,0,0,0,395
"Flounder, arrowtooth",242,,0,10,,384,99,,18,92,362,46,9,4,0,"1,266"
"Flounder, starry",766,,"1,435",764,,249,497,,304,207,741,336,"1,325",299,0,"6,923"
"Goby, yellowfin",56,,1,0,,0,0,,0,0,0,0,0,0,4,61
"Greenling, kelp",8,,7,0,,0,67,,22,154,162,263,137,64,0,885
"Greenling, rock",0,,0,0,,0,0,,0,0,0,0,0,31,0,31
Grenadier,0,,0,0,,0,0,,0,817,0,0,0,0,0,817
"Hagfish, unspecified",0,,0,0,,0,0,,0,0,0,"3,100",0,0,0,"3,100"
"Halibut, California","9,009",,"14,145","13,812",,"15,569","13,981",,"16,930","43,777","43,155","29,739","29,534","6,741",27,"236,419"
"Herring, Pacific - roe","1,372,983",,0,0,,0,0,,0,0,0,0,0,0,0,"1,372,983"
Jacksmelt,10,,7,0,,0,0,,0,43,0,9,132,0,1,202
Lingcod,279,,323,383,,444,"1,961",,"1,156","8,518","10,946","5,345","3,810","4,407",66,"37,638"
"Mackerel, bullet",0,,0,0,,0,0,,0,0,11,0,0,0,0,11
"Mackerel, jack",0,,0,0,,0,0,,0,32,4,0,0,0,0,36
"Mackerel, Pacific",0,,0,0,,0,0,,10,0,0,0,0,0,0,10
"Mackerel, unspecified",0,,0,0,,0,0,,2,101,4,0,0,0,0,106
"Midshipman, plainfin",5,,0,26,,20,24,,65,3,0,0,0,0,0,143
"Mudsucker, longjaw",180,,565,20,,9,0,,0,0,0,0,0,0,0,774
Opah,0,,0,0,,0,0,,0,0,0,8,0,0,0,8
"Prickleback, monkeyface",24,,72,108,,15,54,,70,34,0,0,30,29,40,475
(eel),,,,,,,,,,,,,,,,
Species,January,February,March,April,May,,June,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,
"Ratfish, spotted",93,98,563,"4,611",204,,135,980,,"1,595",366,0,,0,0,"8,645"
"Ray, Pacific electric",0,0,0,0,4,,0,93,,5,46,0,,0,0,148
"Rockfish, bank",277,"3,926",408,"1,077",573,,0,"1,924",,136,0,0,,0,0,"8,321"
"Rockfish, black",9,8,0,0,27,,178,154,,239,240,199,,129,27,"1,210"
"Rockfish, black-and-yellow",0,0,0,0,0,,0,0,,25,28,0,,80,0,133
"Rockfish, blackgill",193,260,31,519,149,,69,297,,"1,132",206,812,,0,0,"3,667"
"Rockfish, blue",40,99,0,0,33,,195,428,,887,797,"1,083",,411,143,"4,115"
"Rockfish, bocaccio","6,269","6,593","33,267","38,394","18,019",,"12,689","12,218",,"7,018","5,651","7,573",,"10,761",0,"158,452"
"Rockfish, brown",153,242,0,0,"1,293",,"1,218","1,379",,"2,124","2,149","1,175",,724,330,"10,786"
"Rockfish, canary",69,184,62,184,409,,219,"2,260",,415,530,346,,195,9,"4,883"
"Rockfish, chilipepper","31,447","23,766","53,093","35,420","23,034",,"11,661","12,956",,"30,803","17,520","10,752",,"8,996",0,"259,448"
"Rockfish, China",0,0,0,0,40,,18,54,,64,61,59,,21,0,318
"Rockfish, copper",5,19,0,0,95,,67,205,,122,173,87,,37,0,809
"Rockfish, cowcod",18,8,90,256,100,,78,28,,47,33,29,,94,0,781
"Rockfish, darkblotched",18,27,124,0,4,,0,62,,2,8,0,,0,0,245
"Rockfish, flag",0,3,0,51,0,,0,0,,0,0,0,,0,0,54
"Rockfish, gopher",0,0,0,0,202,,99,720,,743,983,631,,272,0,"3,650"
"Rockfish, greenblotched",0,0,35,88,0,,0,0,,0,0,0,,67,0,190
"Rockfish, greenspotted",8,507,41,609,74,,6,26,,49,38,0,,0,0,"1,358"
"Rockfish, greenstriped",213,156,148,109,282,,228,63,,578,393,378,,114,0,"2,662"
"Rockfish, group bolina",0,0,0,0,0,,0,0,,0,0,0,,39,30,69
"Rockfish, group shelf",0,0,0,158,769,,5,72,,121,168,0,,43,0,"1,336"
"Rockfish, group slope",0,0,2,0,0,,0,0,,0,121,0,,0,0,123
"Rockfish, olive",0,0,0,0,0,,12,12,,30,66,63,,73,0,256
"Rockfish, quillback",0,2,0,0,0,,6,22,,6,7,3,,0,0,46
"Rockfish, redbanded",2,31,1,0,26,,0,13,,3,0,0,,2,0,78
"Rockfish, rosethorn",0,0,0,0,0,,0,1,,0,0,0,,0,0,1
"Rockfish, rosy",0,1,0,0,24,,10,57,,31,28,32,,8,0,190
Species,January,,February,March,,April,May,,June,,July,,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,
"Rockfish, shortbelly",6,,1,78,,268,128,,61,,107,,90,27,31,11,0,808
"Rockfish, splitnose","15,480",,"18,715","2,164",,"3,716",598,,"2,236",,685,,"2,217",640,0,167,0,"46,618"
"Rockfish, starry",0,,8,0,,0,0,,5,,28,,0,0,0,0,2,43
"Rockfish, stripetail",0,,3,146,,341,151,,102,,35,,183,1,12,4,0,978
"Rockfish, treefish",0,,0,0,,0,0,,0,,0,,2,2,7,0,0,11
"Rockfish, unspecified",0,,0,0,,0,0,,58,,194,,12,0,136,0,0,400
"Rockfish, vermilion",27,,105,0,,58,243,,101,,265,,405,516,181,151,2,"2,053"
"Rockfish, widow",951,,"1,563",258,,742,108,,145,,73,,12,119,16,398,30,"4,415"
