Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern........................",2822,0,384951,5633,0,0,0,0,0,1712,0,381,395499
"Barracuda, California...................",0,0,0,3,3,320,8,0,0,0,0,0,334
"Bass, barred sand........................",7,0,0,0,0,0,0,0,0,0,0,0,7
"Bass, giant sea.............................",5,554,331,258,0,433,990,318,0,4,13,0,2906
"Bonito, Pacific...............................",207,0,9,10,0,852,107514,1266176,52095,296609,0,0,1723472
Butterfish (Pacific pompano).....,19,0,59,164,3,0,0,0,0,0,2,0,247
Cabezon..........................................,0,0,0,0,0,0,22,0,0,0,0,0,22
"Croaker, white................................",650,465,0,0,0,0,0,0,0,0,0,0,1115
Dolphin (fish).................................,0,0,0,0,0,0,28,149,126,0,0,0,302
"Eel, California moray....................",312,1034,0,0,0,0,0,0,0,0,0,0,1346
Escolar............................................,0,0,0,0,0,0,0,0,32,0,0,0,32
"Fish, unspecified..........................",41,10,0,0,0,0,0,0,0,23,207,0,282
"Goby, yellowfin.............................",0,0,0,0,0,0,684,0,0,0,0,0,684
Grenadier........................................,4,0,0,0,0,0,0,0,0,0,0,0,4
Hagfishes.......................................,16374,35226,36528,22578,26264,33326,18675,9330,9928,8763,15739,12240,244971
"Halibut, California.........................",440,1266,2810,5884,876,9712,4706,974,444,1185,1111,1327,30735
"Halibut, unspecified.....................",50,0,0,0,0,0,0,0,0,0,0,0,50
"Herring, round................................",0,0,0,0,1780,0,0,0,0,0,0,0,1780
Jacksmelt........................................,250,10,0,0,652,0,0,0,0,0,0,0,912
Lingcod............................................,39,0,19,0,4,5,27,27,222,171,236,266,1016
"Lizardfish, California....................",44,51,58,0,32,0,0,0,0,0,0,0,185
Louvar..............................................,0,41,0,0,0,0,0,0,0,0,321,0,362
"Mackerel, Pacific..........................",295110,100243,356315,607037,885244,583147,154555,102308,369344,530685,216579,206015,4406582
"Mackerel, jack................................",17081,0,22996,4007,10199,28670,8635,4079,981,35,8498,128241,233422
"Mackerel, unspecified.................",0,0,999,266,806,435,229,156,380,686,303,545,4805
Opah................................................,195,113,0,0,0,609,90,0,0,1752,1821,136,4716
Opaleye...........................................,39,379,90,0,0,2,0,0,0,0,0,0,510
"Ray, bat...........................................",1265,682,617,727,0,1094,744,3044,526,827,1886,826,12238
"Rockfish, aurora............................",121,13,42,81,55,143,36,214,118,37,34,358,1252
"Rockfish, bank...............................",60,0,0,0,0,0,24,94,0,0,0,0,178
"Rockfish, blackgill........................",660,429,735,178,397,911,1037,1115,1734,200,1108,807,9311
"Rockfish, bocaccio......................",416,251,4,0,99,60,471,14,21,56,30,93,1515
"Rockfish, chilipepper...................",4,1,0,0,57,0,0,5,5,16,3,1,90
"Rockfish, copper...........................",0,0,0,0,13,9,0,0,0,0,0,0,22
"Rockfish, flag.................................",77,5,0,0,29,0,3,2,3,44,24,28,213
"Rockfish, gopher...........................",0,0,0,0,0,0,0,0,50,0,0,0,50
"Rockfish, greenblotched.............",0,0,0,0,0,0,0,0,0,7,0,0,7
"Rockfish, greenspotted...............",69,58,0,0,25,21,40,18,24,192,177,127,750
"Rockfish, greenstriped................",1,10,0,0,18,9,2,13,0,18,0,0,70
"Rockfish, group red......................",0,11,0,0,60,28,0,0,0,0,30,0,129
"Rockfish, group shelf..................",0,0,0,0,456,92,0,0,65,275,0,0,888
"Rockfish, group slope.................",0,0,0,0,0,0,0,0,0,0,118,198,316
"Rockfish, honeycomb..................",0,0,0,0,0,0,2,0,0,0,0,0,2
"Rockfish, olive...............................",0,0,0,0,0,4,0,0,2,0,0,0,6
"Rockfish, rosy...............................",4,0,0,0,0,0,0,0,0,0,0,0,4
"Rockfish, speckled.......................",10,0,0,0,0,0,0,4,0,1,0,0,14
"Rockfish, squarespot..................",1,2,0,0,56,0,0,18,0,0,61,0,138
"Rockfish, starry.............................",101,3,18,0,73,4,14,64,33,178,155,139,781
"Rockfish, treefish.........................",0,0,0,0,0,4,0,0,0,0,0,0,4
"Rockfish, unspecified..................",0,43,0,0,6,3,0,0,0,0,0,0,53
"Rockfish, vermilion.......................",233,133,0,0,96,21,396,854,591,999,639,673,4634
"Rockfish, widow............................",93,1,0,0,14,2,0,4,161,391,307,512,1484
Sablefish.........................................,5920,6831,10758,1930,5112,6067,7148,6365,5840,7556,7564,7886,78977
Sanddab..........................................,5,173,99,229,264,1954,1941,2310,959,1064,412,787,10195
"Sardine, Pacific.............................",39434,0,19679,29608,135697,45248,27777,3870,0,4012,13311,32873,351509
Sargo...............................................,0,0,0,0,0,0,0,0,0,0,2,0,2
"Scorpionfish, California...............",0,45,0,0,281,729,435,585,120,133,167,233,2728
"Seabass, white.............................",92,302,585,24,0,39265,33698,491,0,0,0,117,74573
"Shark, Pacific angel.....................",0,0,0,0,0,0,18,0,0,0,140,399,557
"Shark, bigeye thresher................",0,0,0,0,0,156,0,0,0,0,95,125,376
"Shark, blue.....................................",0,0,0,0,0,0,0,6,0,0,0,0,6
"Shark, horn.....................................",3,0,0,0,0,0,0,0,0,0,0,0,3
"Shark, leopard...............................",502,255,191,180,15,190,209,18,0,48,151,169,1928
"Shark, salmon................................",98,0,0,0,0,0,0,0,0,0,0,0,98
"Shark, sevengill............................",0,0,0,0,57,0,0,0,0,0,0,0,57
"Shark, shortfin mako....................",447,120,0,0,261,667,571,184,174,442,1472,112,4450
"Shark, soupfin...............................",436,320,146,158,0,363,422,80,10,0,150,181,2266
"Shark, thresher..............................",1930,42,0,846,164,2863,5386,1082,0,228,1272,664,14477
"Sheephead, California.................",20,225,0,0,671,4037,3432,208,80,263,149,185,9270
"Skate, California............................",0,0,44,114,0,132,33,90,7,13,68,112,613
"Skate, longnose............................",48,12,0,0,0,0,0,0,0,0,0,0,60
"Skate, unspecified.......................",156,38,39,334,0,286,0,38,0,11,36,0,938
"Smelts, true....................................",0,0,0,0,0,0,0,0,0,0,0,21,21
"Sole, Dover.....................................",35,11,22,35,159,40,64,72,434,304,139,311,1626
"Sole, petrale...................................",0,0,0,0,0,0,10,27,0,0,0,0,37
"Sole, unspecified..........................",314,74,173,692,398,25,51,7,0,5,0,0,1739
Stingray...........................................,0,0,0,0,0,0,0,0,0,1470,950,0,2420
"Surfperch, unspecified................",15,0,0,0,0,0,0,0,0,0,0,0,15
Swordfish........................................,3808,3412,0,0,0,2126,4586,4001,4722,15088,45462,8339,91542
"Thornyhead, longspine...............",375,464,426,467,397,344,122,158,964,153,163,240,4273
"Thornyhead, shortspine..............",2010,841,1791,2960,1281,1425,1395,1338,2142,1175,1003,2344,19705
Thornyheads..................................,178,83,26,80,126,93,181,176,95,120,143,397,1697
"Tuna, bluefin..................................",252,84,0,0,8885,1227,363397,657856,0,0,0,0,1031701
"Tuna, skipjack...............................",0,0,0,0,0,0,0,0,79800,0,0,0,79800
"Tuna, yellowfin..............................",0,0,0,0,0,244,1892063,667991,1196713,231,230,83,3757554
"Whitefish, ocean...........................",130,20,8,0,2,20,120,54,288,169,359,394,1563
"Whiting, Pacific.............................",0,0,0,0,0,0,0,24,37,41,2,0,104
Yellowtail........................................,1164,236,192,114,872,1754,1670,1552,1131,460,45,137,9326
"Crab, box.........................................",0,255,142,210,219,0,11,323,257,1280,1708,2376,6781
"Crab, brown rock...........................",84,72,132,629,267,1016,644,596,711,151,100,78,4480
"Crab, king........................................",0,40,0,0,90,10,23,382,350,302,220,11,1428
"Crab, pelagic red..........................",0,0,0,0,0,5152,0,0,0,0,0,0,5152
"Crab, red rock................................",246,244,123,66,12,43,85,33,47,450,1301,3373,6022
"Crab, rock unspecified................",152,388,64,0,247,478,671,334,456,204,13,0,3007
"Crab, shore.....................................",0,0,0,0,0,0,0,0,0,0,1,0,1
"Crab, spider....................................",1737,2652,1487,612,0,489,542,478,409,533,1356,1931,12224
"Crab, yellow rock..........................",478,1389,749,1265,508,5510,5999,6655,3304,2689,3354,3537,35437
"Lobster, California spiny.............",31009,18117,10557,0,0,0,0,0,0,72220,27321,17755,176979
"Prawn, ridgeback..........................",893,132,1297,5570,2371,0,0,0,0,212,735,88,11298
"Prawn, spot....................................",0,7752,10400,10646,17396,13722,14154,13112,10646,11195,21,0,109043
Bat star............................................,0,0,25,8,14,0,12,0,15,6,16,0,97
Bryozoan.........................................,0,0,0,0,0,0,0,0,0,0,2,0,3
Sand dollar.....................................,2,0,0,0,0,0,0,0,0,0,0,0,2
"Sea cucumber, giant red............",0,0,0,0,0,0,0,0,0,35,0,0,35
"Sea cucumber, warty...................",0,0,3584,3278,355,4770,10067,3638,910,0,0,0,26601
Sea stars........................................,33,8,0,1,0,0,0,0,0,25,12,0,80
"Sea urchin, Coronado..................",0,0,0,0,6,0,0,0,0,0,0,0,6
"Sea urchin, purple........................",0,0,0,9,0,845,12,0,25,25,23,0,939
"Sea urchin, red..............................",27478,26578,53740,51801,91705,63119,83934,82751,80204,74114,97687,105636,838747
