Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, deepbody...........................",11,0,0,0,0,0,0,0,0,0,0,0,11
"Anchovy, northern.............................",57391,55872,0,181400,1516,1746,1885,60,260,0,21018,3339,324487
"Barracuda, California.........................",12,0,0,4,10168,10017,19596,7634,93,94,0,0,47617
"Bass, giant sea.................................",640,476,310,175,0,507,1091,468,203,91,207,651,4819
Blacksmith.........................................,0,105,21,0,0,0,3,0,0,0,0,0,129
"Bonito, Pacific...................................",130,230,647,0,0,0,692,97779,539582,149,0,0,639209
Butterfish (Pacific pompano).........,0,0,0,0,20,0,0,0,0,0,0,0,20
Cabezon............................................,0,0,39,0,110,20,51,56,0,0,0,0,276
"Croaker, black...................................",0,16,0,0,0,0,0,0,0,0,0,0,16
"Croaker, white...................................",2959,5008,4227,3830,5259,931,3395,3316,2754,300,468,1382,33829
Dolphin (fish)................................,0,0,0,0,0,0,0,147,33,0,0,0,180
"Eel, California moray.........................",0,89,57,0,0,0,0,0,0,5,160,61,372
Eel.....................................................,0,0,0,0,0,18,15,0,0,0,0,0,33
"Fish, unspecified...............................",76,0,0,3,2,0,0,0,0,0,0,0,81
"Flounder, arrowtooth.........................",0,0,0,0,0,0,0,9,0,0,0,0,9
"Guitarfish, shovelnose.......................",1013,1038,1714,761,259,457,25,99,153,402,115,1293,7329
Hagfishes..........................................,0,0,0,0,0,5,11,0,0,0,0,2,18
Halfmoon...........................................,0,19,58,56,0,10,0,0,0,0,0,0,143
"Halibut, California..............................",19536,21741,23778,7767,5072,9985,6230,4545,3568,3023,5927,4565,115738
"Halibut, unspecified...........................",0,2,0,0,0,0,0,0,0,0,0,0,2
Jacksmelt..........................................,55,278,518,82,89,120,1341,1314,8296,33,0,6,12129
Kelpfishes.........................................,4645,0,0,0,0,0,0,0,27,0,0,0,4672
Lingcod.............................................,0,12,9,31,164,295,299,223,212,362,0,128,1735
Louvar...............................................,0,0,0,0,0,30,48,260,0,63,0,0,401
"Mackerel, Pacific...............................",70645,76582,163151,148628,1555,1735,126398,1289771,791584,2007404,785530,1171654,6634637
"Mackerel, jack...................................",500578,112733,694981,358499,311,5481,22023,16380,171854,143476,3541,234431,2264288
"Mackerel, unspecified........................",0,0,0,0,10,0,0,0,0,0,0,0,10
Opah.................................................,464,0,0,0,30,417,0,0,0,446,0,1933,3290
Opaleye.............................................,0,383,1113,416,23,1430,1853,2857,1747,3175,2975,2044,18015
Queenfish..........................................,0,0,0,0,127,0,0,0,0,0,0,0,127
"Ray, Pacific electric...........................",0,10,0,0,28,25,0,0,0,0,0,0,63
"Ray, bat.............................................",0,71,57,348,214,92,67,0,65,0,0,565,1479
"Ray, unspecified................................",0,0,0,0,15,0,0,0,0,0,0,0,15
"Rockfish, aurora................................",108,36,17,0,107,104,47,40,0,2,1,9,470
"Rockfish, bank..................................",0,0,36,0,14,0,31,48,0,0,0,0,129
"Rockfish, black-and-yellow................",0,0,0,0,0,0,0,0,0,0,594,0,594
"Rockfish, black..................................",0,3,0,0,0,66,0,0,0,0,0,0,69
"Rockfish, blackgill..............................",2179,2063,8029,3769,2832,2015,2181,2463,1250,4715,1230,1175,33902
"Rockfish, blue...................................",0,117,0,12,0,0,0,31,0,0,36,0,196
"Rockfish, bocaccio............................",0,0,243,340,145,203,113,54,179,124,2772,343,4516
"Rockfish, bronzespotted....................",0,5,0,0,0,18,0,0,23,0,0,0,46
"Rockfish, brown.................................",0,0,0,0,0,0,0,0,0,0,69,0,69
"Rockfish, chameleon.........................",0,0,18,0,0,0,0,0,0,0,0,0,18
"Rockfish, chilipepper.........................",0,15,3,76,41,39,0,3,0,16,64,13,270
"Rockfish, copper...............................",0,0,214,245,105,49,0,69,0,225,46,4,957
"Rockfish, flag....................................",396,0,0,0,0,0,0,0,0,0,0,0,396
"Rockfish, grass.................................",0,0,0,0,0,0,3,0,0,0,0,0,3
"Rockfish, greenblotched....................",0,0,0,0,372,260,0,30,0,0,0,0,662
"Rockfish, group red...........................",0,0,1303,939,968,1335,757,1392,478,1204,413,1479,10267
"Rockfish, group rosefish....................",0,0,0,0,70,0,0,0,0,0,0,0,70
"Rockfish, group slope........................",99,89,52,86,6,0,0,2,0,0,0,38,371
"Rockfish, olive...................................",0,0,0,0,82,126,49,0,144,0,27,0,428
"Rockfish, rosethorn...........................",0,0,0,43,0,0,0,0,0,0,0,0,43
"Rockfish, rosy...................................",0,0,0,0,32,18,0,0,0,0,0,0,50
"Rockfish, speckled............................",0,0,0,0,9,0,0,0,0,0,0,0,9
"Rockfish, splitnose............................",68,0,34,0,0,0,0,0,0,0,0,0,102
"Rockfish, squarespot.........................",0,66,75,27,63,0,0,30,0,0,0,0,261
"Rockfish, unspecified........................",0,8,0,60,0,23,54,47,17,28,8,28,273
"Rockfish, vermilion............................",5,0,0,0,0,0,0,0,0,0,2010,22,2037
"Rockfish, yellowtail............................",0,0,0,28,0,0,0,0,0,0,0,0,28
