Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Shad, American.............................",0,0,0,0,0  0,,0,0  0,,0,0,"1,310","1,310"
"Shad, threadfin..............................",0,0,0,612,"1,475  563",,745,"1,550  1,975",,"4,435","4,525",180,"16,060"
Crustaceans,,,,,,,,,,,,,
"Crayfish, red swamp....................",0,0,0,0,0  0,,43,"1,510  1,616",,0,0,0,"3,169"
"Crayfish, unspecified..................",707,"1,585","3,246","3,925","7,415  9,388",,"6,200","30,722  8,625",,"16,502","2,637","3,460","94,412"
Waters Area Total:,707,"1,585","3,246","4,537","8,890  9,951",,"6,988","33,782  12,216",,"20,937","7,162","4,950","114,951"
Grand Total:,707,"1,585","3,246","4,537","8,890  9,951",,"6,988","33,782  12,216",,"20,937","7,162","4,950","114,951"
"",,,,,*******************,,,,,,,,
"",,,,,,,,Total Records:,,515,,,
"",,,,,End of Report,,,,,,,,
