Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Shad, threadfin................................",0,0,60,"2,265","4,298  1,360",,"13,895","4,475  7,870",,"14,270","11,340",965,"60,798"
Crustaceans,,,,,,,,,,,,,
"Crab, armed box.............................",0,0,0,0,0  0,,0,0  0,,540,0,0,540
"Crayfish, red swamp........................",0,0,0,0,0  0,,0,"670  1,460",,0,0,0,"2,130"
"Crayfish, unspecified.......................",606,"1,248","1,125","2,019","4,416  6,995",,"1,967","59,584  36,900",,"10,143","1,685",843,"127,531"
Waters Area Total:,606,"1,248","1,185","4,284","8,714  8,355",,"15,862","64,729  46,230",,"24,953","13,025","1,808","190,999"
Other Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Shad, threadfin................................",0,0,0,0,0  0,,0,0  10,,0,0,0,10
Waters Area Total:,0,0,0,0,0  0,,0,0  10,,0,0,0,10
Grand Total:,606,"1,248","1,185","4,284","8,714  8,355",,"15,862","64,729  46,240",,"24,953","13,025","1,808","191,009"
"",,,,,*******************,,,,,,,,
"",,,,,,,,Total Records:,,534,,,
"",,,,,End of Report,,,,,,,,
