Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Shad, threadfin..................................","4,607",513,60,0,215  0,,0,"1,590  6,802",,"14,415","16,061","5,080","49,343"
Crustaceans,,,,,,,,,,,,,
"Crayfish, red swamp..........................",0,0,0,0,0  0,,0,"3,298  1,272",,0,0,0,"4,570"
"Crayfish, unspecified.........................",415,"1,705","1,532","2,764","3,664  4,151",,"6,171","37,859  34,030",,"4,831","1,528",845,"99,495"
"Shrimp, bay.......................................","1,100","1,053","1,147",655,"1,033  573",,685,757  911,,"1,235",0,595,"9,744"
Waters Area Total:,"6,122","3,271","2,739","3,419","4,912  4,724",,"6,856","43,504  43,015",,"20,481","17,589","6,520","163,152"
Other Waters,,,,,,,,,,,,,
Crustaceans,,,,,,,,,,,,,
"Crayfish, red swamp..........................",0,0,0,0,0  0,,0,"3,647  243",,0,0,0,"3,890"
"Crayfish, unspecified.........................",0,0,0,0,200  0,,0,273  0,,0,0,0,473
Waters Area Total:,0,0,0,0,200  0,,0,"3,920  243",,0,0,0,"4,363"
Grand Total:,"6,122","3,271","2,739","3,419","5,112  4,724",,"6,856","47,424  43,258",,"20,481","17,589","6,520","167,514"
"",,,,,*******************,,,,,,,,
"",,,,,End of Report,,,Total Records:,,800,,,
