Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Shad, threadfin..................................","5,391",0,0,0,0  18,,598,"2,717  7,488",,"8,229","13,384","14,416","52,241"
"Surfperch, barred..............................",0,0,0,0,0  0,,0,40  0,,0,0,0,40
Crustaceans,,,,,,,,,,,,,
"Crayfish, signal..................................",30,0,0,0,0  0,,0,0  0,,0,0,0,30
"Crayfish, unspecified.........................",395,385,160,100,"2,190  4,846",,"3,645","38,732  3,762",,"2,226",564,739,"57,744"
"Shrimp, bay.......................................",0,0,0,"1,099","1,522  576",,471,629  694,,"1,097","1,233","1,302","8,623"
Waters Area Total:,"5,816",385,160,"1,199","3,712  5,440",,"4,714","42,118  11,944",,"11,552","15,181","16,457","118,678"
Grand Total:,"5,816",385,160,"1,199","3,712  5,440",,"4,714","42,118  11,944",,"11,552","15,181","16,457","118,678"
"",,,,,*******************,,,,,,,,
"",,,,,End of Report,,,Total Records:,,922,,,
