Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Shad, threadfin..................................",655,7,0,196,50  140,,"2,570","8,265  5,120",,"7,290","13,235","9,452","46,980"
Crustaceans,,,,,,,,,,,,,
"Crayfish, red swamp..........................",0,0,0,0,0  0,,0,"1,775  0",,0,0,0,"1,775"
"Crayfish, signal..................................",0,0,0,0,0  0,,0,"38,081  0",,0,0,0,"38,081"
"Crayfish, unspecified.........................",95,464,364,155,"3,141  8,411",,"10,497","11,521  24,046",,"10,065","1,916","1,843","72,518"
Waters Area Total:,750,471,364,351,"3,191  8,551",,"13,067","59,642  29,166",,"17,355","15,151","11,295","159,354"
Grand Total:,750,471,364,351,"3,191  8,551",,"13,067","59,642  29,166",,"17,355","15,151","11,295","159,354"
"",,,,,*******************,,,,,,,,
"",,,,,End of Report,,,Total Records:,,571,,,
