Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Lamprey, Pacific..................................",0,0,0,185,0  0,,0,0  0,,0,0,0,185
"Shad, threadfin.....................................","3,577","4,285",720,"3,940","2,150  3,440",,"3,808","12,262  14,329",,"18,470","19,530","13,555","100,066"
Crustaceans,,,,,,,,,,,,,
"Crayfish, red swamp............................",0,0,0,0,0  0,,0,"4,151  1,350",,0,0,0,"5,501"
"Crayfish, unspecified............................",0,365,410,"1,185","2,000  7,415",,"7,782","24,007  17,659",,"7,745","1,960","1,654","72,182"
"Shrimp, bay..........................................",0,832,961,"1,111",0  0,,458,0  0,,0,0,0,"3,362"
Waters Area Total:,"3,577","5,482","2,091","6,421","4,150  10,855",,"12,048","40,420  33,338",,"26,215","21,490","15,209","181,296"
Grand Total:,"3,577","5,482","2,091","6,421","4,150  10,855",,"12,048","40,420  33,338",,"26,215","21,490","15,209","181,296"
"",,,,,*******************,,,,,,,,
"",,,,,End of Report,,,Total Records:,,"1,296",,,
