Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Lamprey, Pacific................................",0,0,12,0,643  45,,0,0  0,,0,0,0,700
"Shad, threadfin..................................","10,115","5,865","5,294","4,163","4,220  1,220",,"2,411","4,420  10,185",,"11,573","14,120","11,780","85,366"
Crustaceans,,,,,,,,,,,,,
"Crayfish, red swamp..........................",0,0,0,0,0  0,,0,0  448,,0,0,0,448
"Crayfish, unspecified.........................",430,"1,255","1,167","2,165","4,970  4,489",,"9,669","48,088  14,929",,"9,381","1,112","1,522","99,177"
Waters Area Total:,"10,545","7,120","6,473","6,328","9,833  5,754",,"12,080","52,508  25,562",,"20,954","15,232","13,302","185,691"
Other Waters,,,,,,,,,,,,,
Crustaceans,,,,,,,,,,,,,
"Crayfish, red swamp..........................",0,0,0,0,0  0,,"1,031","1,700  0",,0,0,0,"2,731"
"Crayfish, unspecified.........................",0,0,0,0,0  0,,0,"5,800  2,645",,0,0,0,"8,445"
Waters Area Total:,0,0,0,0,0  0,,"1,031","7,500  2,645",,0,0,0,"11,176"
Grand Total:,"10,545","7,120","6,473","6,328","9,833  5,754",,"13,111","60,008  28,207",,"20,954","15,232","13,302","196,867"
"",,,,,*******************,,,,,,,,
"",,,,,End of Report,,,Total Records:,,"1,283",,,
