Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Shad, American...............................",0,0,0,0,0  0,,0,"2,272  0",,0,0,0,"2,272"
"Shad, threadfin................................",640,0,525,"4,015","3,120  670",,"1,420","2,795  7,905",,"12,450","12,270","2,715","48,525"
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness.............................",579,0,0,0,0  0,,0,0  0,,0,0,0,579
"Crayfish, red swamp........................",0,0,0,0,0  0,,0,490  400,,0,0,0,890
"Crayfish, unspecified.......................","1,642",423,578,"1,448","4,677  7,027",,"6,430","56,407  47,517",,"9,599","1,219",687,"137,654"
Waters Area Total:,"2,861",423,"1,103","5,463","7,797  7,697",,"7,850","61,964  55,822",,"22,049","13,489","3,402","189,920"
Grand Total:,"2,861",423,"1,103","5,463","7,797  7,697",,"7,850","61,964  55,822",,"22,049","13,489","3,402","189,920"
"",,,,,*******************,,,,,,,,
"",,,,,,,,Total Records:,,645,,,
"",,,,,End of Report,,,,,,,,
