Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Shad, threadfin..................................","11,369","3,115","3,200","2,635","4,405  5,180",,"4,278","6,417  7,305",,"10,223","8,920","3,631","70,678"
Crustaceans,,,,,,,,,,,,,
"Crayfish, red swamp..........................",0,0,0,0,0  0,,0,480  0,,0,0,0,480
"Crayfish, unspecified.........................",649,989,"1,124","1,568","3,257  4,833",,"4,297","16,313  13,749",,"14,065","2,804","2,347","65,995"
Waters Area Total:,"12,018","4,104","4,324","4,203","7,662  10,013",,"8,575","23,210  21,054",,"24,288","11,724","5,978","137,153"
Grand Total:,"12,018","4,104","4,324","4,203","7,662  10,013",,"8,575","23,210  21,054",,"24,288","11,724","5,978","137,153"
"",,,,,*******************,,,,,,,,
"",,,,,End of Report,,,Total Records:,,"1,008",,,
