California Waters - Finfish,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,Decembe,Landings
"",,,,,,,,,,,r,
"Anchovy, northern 0",0,"4,170,346","2,752,167","1,189,707","1,458,872","21,951","1,617,627","819,414","1,090,599","3,953,041","3,197,797","20,271,521"
"Rockfish, splitnose",2,0,5,0,5,2,0,0,0,0,0,0,14
"Rockfish, starry",0,0,0,0,0,82,18,208,13,256,48,8,633
"Rockfish, treefish",21,33,0,0,15,42,0,66,0,79,5,1,262
"Rockfish, vermilion",246,50,235,113,712,496,757,"1,131",285,508,251,50,"4,833"
"Rockfish, widow",5,38,182,0,518,6,53,18,4,264,10,0,"1,098"
"Rockfish, yellowtail",5,0,0,0,200,494,463,271,185,432,265,55,"2,369"
Sablefish,"23,666","10,158","30,657","47,781","29,772","11,983","18,730","13,894","22,415","31,153","25,312","14,620","280,139"
Salmon,0,0,0,0,65,0,440,"1,339",0,0,0,0,"1,844"
"Salmon, Chinook",0,0,0,0,"177,245","195,151","94,844","2,185",368,0,0,0,"469,793"
"Salmon, Roe (Chinook,",0,0,0,0,0,0,5,0,0,0,0,0,5
Coho),,,,,,,,,,,,,
Sanddab,0,85,261,0,3,0,0,18,0,6,0,0,372
"Sanddab, Pacific",0,0,0,0,0,0,12,107,18,0,0,0,137
"Sardine, Pacific",0,0,0,63,"59,833","68,249","11,319","147,103","118,043","8,612",0,"91,995","505,216"
"Saury, Pacific",0,0,0,0,8,0,0,0,0,0,0,0,8
"Seabass, white",0,0,0,0,0,209,198,167,"11,594",202,0,0,"12,369"
"Shark, gray",0,0,0,0,14,38,0,0,0,0,0,0,52
smoothhound,,,,,,,,,,,,,
"Shark, spiny dogfish",9,0,36,0,28,0,0,0,0,0,0,12,85
"Shark, thresher",0,0,0,0,0,31,0,0,0,0,0,0,31
"Sheephead, California",0,0,0,0,0,0,19,0,0,0,9,0,28
"Sierra, Pacific",0,0,0,0,114,0,0,0,0,0,0,0,114
"Skate, big",15,0,92,0,0,0,0,0,0,32,0,0,139
"Skate, longnose",0,0,0,30,203,61,0,152,843,674,977,392,"3,332"
"Sole, Dover",10,8,4,0,24,38,72,76,223,52,320,96,923
"Sole, petrale",10,4,61,29,214,160,279,677,53,52,18,4,"1,560"
"Sole, rock",0,0,0,0,7,4,4,3,0,0,5,0,23
Species January,,February,March,April,May,June,July,August,September,October,November,Decembe,Landings
"",,,,,,,,,,,,r,
"Sole, sand 0",,0,0,0,0,0,2,2,5,4,0,0,13
"Surfperch, barred 105",,0,36,4,0,0,0,0,0,0,0,0,145
"Surfperch, walleye 2",,0,23,14,0,0,0,0,0,0,0,0,39
Swordfish 0,,0,0,0,0,0,0,0,0,0,78,0,78
"Thornyhead, longspine 23",,46,73,159,142,152,135,75,92,287,204,166,"1,554"
"Thornyhead, shortspine 3,409",,"1,237","2,836","2,914","3,370","2,332","1,587",769,"3,608","2,209","5,096","2,543","31,910"
"Trout, rainbow 0",,0,0,0,0,0,2,0,0,0,0,0,2
"Tuna, albacore 0",,0,0,0,0,0,0,946,"7,265",0,0,0,"8,211"
"Tuna, bluefin 0",,0,0,0,120,0,0,0,0,0,0,0,120
"Tuna, yellowfin 0",,0,0,0,0,1,0,0,0,0,0,0,1
"Whitefish, ocean 317",,44,97,37,21,10,1,11,0,72,17,0,626
"Whiting, Pacific 0",,0,9,65,52,9,17,15,44,21,62,9,302
California Waters – Crustaceans,,,,,,,,,,,,,
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, brown rock 150",,180,125,50,125,0,0,0,70,377,255,0,"1,332"
"Crab, Dungeness 24,522",,"21,204","29,019","10,416",0,0,0,0,0,0,0,"68,778","153,937"
"Crab, red rock 1,984",,"2,090","2,966","1,492","1,244","1,345","1,049","1,075","1,148","1,700","2,051",986,"19,129"
"Crab, rock unspecified 400",,12,120,20,0,32,0,0,0,0,0,0,584
"Crab, spider 0",,0,3,0,0,0,11,0,0,33,0,0,47
"Crab, tanner 16",,8,38,28,4,7,10,19,13,111,61,51,367
"Crab, yellow rock 222",,308,728,381,361,300,409,333,342,"1,564",227,221,"5,396"
"Prawn, spot 4,434",,"2,740","1,502",425,0,0,0,925,"2,106","2,800","2,986","1,818","19,736"
California Waters – Mollusks,,,,,,,,,,,,,
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
"Octopus, unspecified 4",,0,0,0,6,0,0,0,3,0,0,0,13
"Squid, market 374,366",,0,0,0,"276,059","198,028","1,872,801","2,046,138","103,958","158,632","37,201",0,"5,067,183"
California Waters – Plants,,,,,,,,,,,,
Species January,February,March,April,May June,July,August,,September,October,November,December,Landings
"Kelp, giant 0",3,0,0,0,0,0,0,0,3,0,0,6
California Waters – Worms,,,,,,,,,,,,
Species January,February,March,April,May June,July,August,,September,October,November,December,Landings
Jellyfish 0,0,0,0,0 0,"81,983",0,,"3,001",0,0,0,"84,984"
California Waters Total,,"4,270,287","2,830,567","1,767,631 1,983,417","2,163,092","3,880,337",,"1,114,549","1,340,622","4,049,030","3,399,119","27,321,360"
"",,,,,,,,,,,,
Other Waters – Finfish,,,,,,,,,,,,
Species January,February,March,April,May June,July,August,,September,October,November,December,Landings
"Bass, kelp 0",0,0,0,0 0,10,9,,0,11,0,0,30
Cabezon 0,0,0,0,0 0,89,109,,49,137,0,0,384
"Greenling, kelp 0",0,0,0,0 0,7,0,,5,14,0,0,25
Lingcod 0,0,0,0,0 0,108,86,,92,149,0,0,436
Opah 0,0,0,0,0 0,0,0,,0,745,983,0,"1,728"
"Rockfish, black 0",0,0,0,0 0,48,17,,10,66,0,0,140
"Rockfish, black-and- 0",0,0,0,0 0,108,136,,72,125,0,0,442
yellow,,,,,,,,,,,,
"Rockfish, grass 0",0,0,0,0 0,116,125,,74,236,0,0,551
"Rockfish, vermilion 0",0,0,0,0 0,9,0,,16,3,0,0,28
"Seabass, white 0",0,0,0,0 0,0,0,,28,0,0,0,28
"Shark, blue 0",0,0,0,0 0,0,0,,0,0,794,0,794
"Shark, shortfin mako 0",0,0,0,0 0,0,0,,0,"11,260","7,059",0,"18,319"
"Shark, thresher 0",0,0,0,0 0,0,0,,0,0,"2,949",0,"2,949"
Swordfish 0,0,0,0,0 0,0,0,,0,"18,178","64,233",0,"82,411"
"Tuna, bigeye 0",0,0,0,0 0,0,0,,0,0,822,0,822
"Tuna, bluefin 0",0,0,0,0 0,0,0,,0,0,159,0,159
"Tuna, yellowfin 0",0,0,0,0 0,0,0,,0,107,0,0,107
Other Waters Total 0,0,0,0,0 0,494,482,,346,"31,031","76,999",0,"109,353"
"Grand Total: 460,114","62,596","4,270,287","2,830,567","1,767,631 1,983,417","2,163,586","3,880,819",,"1,114,895","1,371,653","4,126,029","3,399,119","27,430,713"
