"",,,,,,,,,,,,,,Total
Species,January,,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,
"Anchovy, northern",0,,"1,609,628","6,325,379","4,315,829","1,223,101","4,938,696","5,744,158","1,279,015","5,622,060","3,165,167","783,738","160,520","35,167,291"
"Skate, unspecified",0,0,0,70,0,,0,,15,,0,0,0,,0,55,140
"Sole, Dover",44,15,42,82,157,,142,,308,,155,124,217,,52,8,"1,346"
"Sole, petrale",12,12,73,0,8,,37,,80,,30,0,8,,6,4,270
"Sole, rex",0,0,0,0,0,,21,,0,,0,0,0,,0,0,21
"Sole, rock",0,3,0,0,0,,0,,2,,0,0,0,,0,0,5
"Sole, sand",0,0,0,0,0,,0,,2,,10,0,0,,0,0,12
"Surfperch, barred",36,26,0,2,0,,0,,0,,111,13,0,,12,40,240
"Surfperch, walleye",50,10,0,54,0,,0,,0,,0,0,0,,0,14,128
"Thornyhead, longspine",54,48,288,248,173,,79,,116,,105,64,48,,123,22,"1,368"
"Thornyhead, shortspine","2,365","2,023","2,497","4,511","3,306",,"1,558",,"2,900",,"1,429","2,440","1,706",,"4,697","1,454","30,885"
"Tuna, albacore",0,0,0,0,0,,0,,0,,"1,452","1,864",0,,0,0,"3,316"
"Tuna, bluefin",0,0,0,0,0,,271,,0,,0,0,0,,0,0,271
Turbot,0,0,0,0,0,,0,,6,,0,0,4,,0,0,10
"Whitefish, ocean",0,0,0,0,390,,0,,20,,0,61,205,,341,183,"1,201"
"Whiting, Pacific",0,0,4,25,18,,13,,39,,14,84,104,,111,10,422
CRUSTACEANS,,,,,,,,,,,,,,,,,
"Crab, brown rock",0,0,0,0,0,,0,,0,,25,0,0,,50,57,132
Species,January,February,March,April,May June,,July,August,,September,,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,
CRUSTACEANS,,,,,,,,,,,,,,,,
"Crab, Dungeness","23,536","14,309","18,926","10,606","10,987 7,629",,0,,0,,0,0,,"34,796","33,306","154,094"
"Crab, red rock",0,0,10,0,0 0,,0,"1,532",,,700,608,,"1,415","1,086","5,350"
"Crab, rock unspecified","5,823","3,368","3,014","3,499","2,339 2,124",,"1,823",,0,,685,"1,068",,493,0,"24,236"
"Crab, spider",0,0,0,0,0 0,,0,,0,,10,0,,0,0,10
"Crab, tanner",11,0,13,35,22 3,,8,,10,,6,5,,4,4,121
"Crab, yellow rock",0,0,0,0,0 0,,0,,533,,574,346,,383,276,"2,112"
"Prawn, ridgeback",0,0,0,0,0 0,,0,,0,,0,0,,0,25,25
"Prawn, spot","6,391","6,639","4,615","2,652",0 0,,0,"4,686",,,"5,203","6,661",,"4,773","5,985","47,604"
"Shrimp, ocean (pink)",0,0,0,0,0 0,,0,,76,,0,0,,0,0,76
MOLLUSKS,,,,,,,,,,,,,,,,
"Octopus, unspecified",181,136,108,76,0 0,,0,,37,,0,0,,0,0,538
"Squid, market",0,0,0,"7,402,062","10,532,407 1,971,679",,"1,960,443","72,926",,,0,"47,791",,"2,115,453","3,266,538","27,369,299"
WORMS,,,,,,,,,,,,,,,,
Jellyfish,0,0,0,0,"25,048 0",,0,,0,,0,0,,0,0,"25,048"
Water Area Total:,"61,814","1,665,450","6,385,213","11,804,978","11,873,427 7,032,741",,"7,791,334","1,487,565",,,"5,729,022","3,428,639",,"3,059,724","3,508,164","63,828,070"
Grand Total:,"61,814","1,665,450","6,385,213","11,804,978","11,873,427 7,032,741",,"7,791,334","1,487,565",,,"5,729,022","3,428,639",,"3,059,724","3,508,164","63,828,070"
"",,,,,*******************,,Total Records:,,"8,487",,,,,,,
"",,,,,End of Report,,,,,,,,,,,
