$,% &,,"! &",,( $,,),(,%&,,%&,,)& &,,"!",,*$ !,,,"+ ,","!",,$ !,,',
"Sardine, Pacific..................................","5,858,555",,,"28,455",,0,,,0,,"94,870",,0,***********,0,"3,287,141",41,,,,0,,,0,,"22,204,459"
"Seabass, white...................................",135,,,0,,56,,,0,,28,,430,"2,171","30,628","45,557","23,925",,,,"6,357",,,343,,"109,629"
"Shark, soupfin....................................",0,,,0,,0,,,0,,0,,23,0,0,0,120,,,,0,,,110,,253
"Shark, spiny dogfish...........................",285,,,3,,0,,,0,,0,,4,0,0,0,4,,,,0,,,0,,296
"Shark, thresher...................................",0,,,0,,0,,,0,,0,,0,0,25,0,0,,,,0,,,0,,25
"Shark, unspecified..............................",0,,,0,,0,,,0,,0,,0,88,0,0,0,,,,54,,,0,,142
"Shark, white.......................................",0,,,0,,0,,,0,,0,,0,0,0,0,0,,,,85,,,0,,85
"Sheephead, California........................",0,,,0,,0,,,0,,0,,0,0,4,0,0,,,,0,,,7,,11
"Skate, longnose.................................",805,,,264,,142,,,"1,513",,"2,251",,"3,606","4,131","1,085",25,190,,,,128,,,"1,475",,"15,615"
"Skate, unspecified..............................",23,,,110,,0,,,219,,0,,166,814,579,806,305,,,,307,,,270,,"3,599"
"Sole, Dover.........................................","1,502",,,0,,"1,010",,,"38,732",,87,,"63,334","45,419","33,853","32,246","29,513",,,,"41,662",,,"12,936",,"300,294"
"Sole, English.......................................",229,,,35,,274,,,"1,624",,"1,181",,482,209,205,"1,405",808,,,,961,,,890,,"8,303"
"Sole, petrale.......................................",805,,,83,,899,,,"2,507",,"2,128",,"2,502",606,"1,951","3,216","2,376",,,,"6,351",,,"7,821",,"31,245"
"Sole, rex.............................................",816,,,284,,319,,,"1,275",,390,,426,394,363,317,269,,,,351,,,484,,"5,688"
"Sole, rock...........................................",0,,,0,,0,,,0,,0,,0,0,0,0,27,,,,0,,,0,,27
"Sole, sand..........................................",1,,,0,,0,,,0,,0,,0,2,2,0,8,,,,2,,,0,,14
"Sole, unspecified................................",0,,,0,,0,,,0,,0,,0,0,3,2,0,,,,0,,,0,,5
"Surfperch, barred...............................",17,,,12,,0,,,11,,0,,0,0,0,0,0,,,,0,,,2,,42
"Surfperch, walleye..............................",11,,,16,,0,,,0,,0,,0,0,0,0,0,,,,0,,,11,,38
"Thornyhead, longspine.......................","5,982",,,"7,875",,"4,356",,,"7,839",,"5,825",,"16,979","15,289","10,137","9,162","8,406",,,,"7,934",,,"6,914",,"106,698"
"Thornyhead, shortspine......................","7,471",,,"7,418",,"3,557",,,"6,853",,"5,591",,"11,445","8,192","6,847","4,898","4,531",,,,"4,662",,,"3,507",,"74,972"
$,% &,,,"! &",,( $,,,),,(,,%&,,%&,,)& &,,"!",,*$ !,,,"+ , !",,,$ !,,,'
California Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thornyheads......................................,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,,0,,2,,,,0,,2
"Tuna, albacore...................................",0,,,0,,,0,,0,,0,,0,,"1,676",,"1,799",,"118,888",,"30,149",,,"25,951",,,,0,,"178,463"
"Tuna, bluefin......................................",0,,,0,,,0,,0,,0,,0,,22,,0,,0,,,0,,0,,,,0,,22
"Turbot, curlfin.....................................",0,,,0,,,0,,0,,0,,0,,0,,0,,0,,,7,,15,,,,0,,22
"Whiting, Pacific...................................",0,,,0,,,0,,326,,0,,0,,0,,0,,0,,,0,,0,,,,0,,326
Yellowtail............................................,0,,,0,,,0,,0,,0,,0,,0,,12,,0,,,0,,0,,,,0,,12
Crustaceans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crab, Dungeness...............................","64,104",,,"56,266",,"31,444",,,"16,752",,"22,442",,"42,182",,"1,678",,0,,0,,,0,,"53,962",,,"193,708",,,"488,073"
"Crab, brown rock................................",0,,,0,,,0,,0,,15,,13,,0,,0,,0,,,0,,0,,,,0,,28
"Crab, red rock....................................",0,,,0,,,0,,223,,475,,603,,0,,0,,0,,,0,,3,,,,0,,"1,304"
"Crab, rock unspecified.......................",418,,,"2,398",,"3,074",,,"2,986",,"3,712",,240,,402,,324,,119,,27,,,"2,883",,,504,,,"17,085"
"Crab, spider........................................",0,,,0,,15,,,50,,21,,0,,0,,0,,0,,,0,,0,,,,0,,86
"Crab, tanner.......................................",0,,,23,,,8,,66,,1,,0,,45,,0,,0,,,6,,3,,,,27,,179
"Crab, yellow rock................................",0,,,0,,,0,,0,,12,,14,,0,,0,,0,,,0,,0,,,,0,,27
"Prawn, spot........................................","4,550",,,"6,223",,"2,904",,,"2,909",,14,,0,,0,,"5,931",,"6,516",,"9,268",,,"8,995",,,"9,522",,,"56,832"
"Shrimp, coonstriped...........................",0,,,0,,,0,,0,,0,,0,,27,,0,,0,,,0,,0,,,,0,,27
Mollusks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Octopus, unspecified.........................",0,,,0,,46,,,49,,60,,62,,60,,168,,25,,,6,,5,,,128,,,609
"Squid, market.....................................",0,,,0,,,0,,"447,737",,"7,972,370",,"5,112,003",,"2,688,687",,"8,571,428",,"4,810,494",,"927,021",,,0,,,,0,,"30,529,740"
Worms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jellyfish..............................................,0,,,0,,,0,,0,,0,,0,,0,,"9,396",,0,,,0,,0,,,,0,,"9,396"
Waters Area Total:,"7,478,276",,,"162,426",,"307,314",,,"1,354,510",,"8,460,175",,"5,341,451",,***********,,"8,759,293",,"8,390,061",,"1,124,073",,,"203,741",,,"1,664,379",,,"59,032,510"
Grand Total:,"7,478,276",,,"162,426",,"307,314",,,"1,354,510",,"8,460,175",,"5,341,451",,***********,,"8,759,293",,"8,390,061",,"1,124,073",,,"203,741",,,"1,664,379",,,"59,032,510"
"",,,,,,,,,,,,,,,,,,,,,"9,006",,,,,,,,,
