Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
"Surfperch, rubberlip.....................",0,0,0,12,0,0,0,0,0,0,0,0,,12
"Surfperch, walleye.......................",0,0,0,40,0,0,0,0,0,0,0,0,,40
"Thornyhead, longspine...............",93,392,389,562,558,398,209,159,448,"1,151",222,93,,"4,674"
"Thornyhead, shortspine..............","2,580",820,"3,670","4,747","3,973","2,124","2,746","2,055","2,412","3,633","2,871","2,186",,"33,818"
Species,January,February,March,April,May June,,July,August,September,October,November,December,,Landings
alifornia Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Tuna, albacore..............................",0,0,0,0,0  0,,0,0,"3,643",0,0,0,,"3,643"
"Tuna, bluefin..................................",0,0,0,0,0  17,,0,0,0,0,0,0,,17
"Tuna, yellowfin..............................",0,0,0,0,0  25,,0,0,0,0,0,0,,25
"Whitefish, ocean...........................",0,0,0,0,0  0,,0,5,0,0,0,539,,544
"Whiting, Pacific.............................",0,2,1,22,6  4,,6,0,49,41,21,5,,157
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness..........................","39,091","30,102","68,839","69,703","35,973  22,580",,963,"1,586",0,0,"68,844","74,301",,"411,980"
"Crab, red rock................................",0,0,0,0,0  0,,0,0,610,0,15,0,,625
"Crab, rock unspecified................","1,646",0,"3,551",732,"1,136  5,691",,"5,068","7,095","7,551","8,354","6,320","3,632",,"50,775"
"Crab, tanner...................................",5,0,17,59,22  11,,2,6,16,6,10,4,,158
"Prawn, spot....................................","14,362","6,852","11,399","9,717",0  0,,0,"8,949","3,614","5,669","3,360","6,704",,"70,626"
Mollusks,,,,,,,,,,,,,,
"Octopus, unspecified..................",12,12,60,44,3  5,,4,150,75,65,10,148,,588
"Squid, jumbo..................................",0,0,0,0,31  0,,0,0,0,0,0,0,,31
"Squid, market.................................",0,0,0,"84,694","3,151,932  1,191,916",,"5,768,908","1,803,796","2,064,644","606,968",0,0,,"14,672,858"
Waters Area Total:,"79,511","56,144","119,642","267,593","3,492,654  2,177,121",,"6,231,508","2,967,525","3,614,120","5,012,796","129,041","112,084",,"24,259,736"
ther Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Salmon, Chinook...........................",0,0,0,0,0  264,,0,110,0,0,0,0,,374
Waters Area Total:,0,0,0,0,0  264,,0,110,0,0,0,0,,374
Grand Total:,"79,511","56,144","119,642","267,593","3,492,654  2,177,384",,"6,231,508","2,967,635","3,614,120","5,012,796","129,041","112,084",,"24,260,110"
"",,,,,*******************,,,,,,,,,
"",,,,,,,,,Total Records:,"8,108",,,,
"",,,,,End of Report,,,,,,,,,
