Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern........................","4,961,986","1,512,313","2,356,961","2,714,312","5,787,436","8,394,773",600,460,"225,021","6,142,013","3,127,989","2,652,067","37,875,931"
"Shark, spiny dogfish....................",147,0,76,"3,205",487,374,130,0,0,0,0,0,,"4,419"
Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Shark, thresher..............................",0,0,0,0,0,0,10,0,0,0,0,0,,10
"Shark, unspecified.......................",0,5,16,40,0,0,"1,035",0,4,0,0,0,,"1,100"
"Sharks, cow...................................",0,633,0,0,0,0,0,0,0,0,0,0,,633
"Sheephead, California.................",0,9,0,0,5,0,0,16,13,0,17,0,,60
"Skate, California............................",0,0,279,0,0,0,29,65,22,0,0,0,,395
"Skate, big........................................","1,132","1,670","2,668",750,"2,499",504,"1,953",124,0,0,0,0,,"11,300"
"Skate, longnose............................","1,704","1,149","2,252","2,995","2,594","1,855","8,627",211,0,102,0,0,,"21,489"
"Skate, unspecified.......................",0,0,74,0,18,0,0,0,92,0,55,0,,239
"Sole, Dover.....................................","15,865","12,087","25,961","10,854","21,193",190,"12,788",20,65,33,0,0,,"99,056"
"Sole, English..................................","1,015",560,773,8,339,0,432,98,0,0,0,0,,"3,225"
"Sole, petrale...................................","5,524","4,026","7,976","1,026","8,665","6,676","14,958","1,754",6,0,0,0,,"50,611"
"Sole, rex..........................................",365,146,287,108,173,0,0,0,0,0,0,0,,"1,079"
"Sole, rock........................................",0,0,13,0,0,0,0,0,21,0,3,0,,37
"Surfperch, walleye.......................",0,10,75,0,0,0,0,0,0,0,0,0,,85
"Thornyhead, longspine...............","16,429","13,877","14,224","4,473","4,991","2,466","4,598",109,271,177,0,0,,"61,615"
"Thornyhead, shortspine..............","7,525","4,612","8,384","3,249","4,526","3,225","4,877","1,189","2,881","1,937",280,0,,"42,685"
Thornyheads..................................,0,0,0,0,0,0,0,0,99,0,0,0,,99
"Trawled fish, unspecified...........",0,512,0,0,40,0,246,0,0,0,0,0,,798
"Tuna, albacore..............................",0,0,0,0,0,0,0,0,0,"10,240",0,0,,"10,240"
"Tuna, bluefin..................................",0,0,0,0,0,0,0,0,0,297,0,0,,297
"Tuna, unspecified.........................",0,0,0,0,0,0,0,0,689,0,0,0,,689
"Tuna, yellowfin..............................",0,0,0,0,0,0,0,0,493,0,0,0,,493
"Turbot, curlfin................................",0,0,241,0,135,0,0,11,0,0,0,0,,387
Turbot..............................................,0,0,0,0,0,0,82,0,0,0,0,0,,82
"Whitefish, ocean...........................",0,0,0,0,0,0,36,0,8,0,0,0,,44
"Whiting, Pacific.............................",0,4,290,101,0,713,525,83,2,6,0,0,,"1,724"
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness..........................","159,098","77,308","49,389","30,614","23,060","18,107",0,0,0,0,0,0,,"357,574"
"Crab, brown rock...........................",10,1,0,0,17,0,0,0,2,0,0,0,,30
"Crab, red rock................................","1,134",0,0,0,0,0,0,0,0,45,23,0,,"1,202"
"Crab, rock unspecified................","5,591","3,556","5,921","3,991","1,193","1,503",660,"2,953","4,918","9,755","1,656",0,,"41,696"
"Crab, tanner...................................",0,37,95,198,162,5,16,7,15,9,0,0,,544
"Prawn, spot....................................","18,863","10,714","14,984","6,459",241,0,0,"7,080","15,896","16,003","13,436","6,207",,"109,881"
Echinoderms,,,,,,,,,,,,,,
"Sea urchin, red..............................",0,0,0,0,0,0,0,0,0,176,0,0,,176
Mollusks,,,,,,,,,,,,,,
Species,January,February,March,April,May June,,July,August,September,October,November,December,,Landings
alifornia Waters,,,,,,,,,,,,,,
Mollusks,,,,,,,,,,,,,,
"Octopus, unspecified..................",0,352,0,53,0  62,,93,10,0,37,0,7,,614
"Squid, market.................................",0,0,0,0,"0  611,540",,"15,447,340","6,527,243","1,950,685","1,420,862","3,851,652",0,,"29,809,322"
Waters Area Total:,"6,190,951","1,670,268","2,591,069","3,799,377","7,677,696  10,086,897",,"15,668,301","6,653,367","2,300,501","7,700,622","7,023,542","2,677,624",,"74,040,216"
Grand Total:,"6,190,951","1,670,268","2,591,069","3,799,377","7,677,696  10,086,897",,"15,668,301","6,653,367","2,300,501","7,700,622","7,023,542","2,677,624",,"74,040,216"
"",,,,,*******************,,,,,,,,,
"",,,,,,,,,Total Records:,"11,057",,,,
"",,,,,End of Report,,,,,,,,,
