"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year"
"Anchovy  northern",34447,14380,46950,41912,84154,121329,156560,138348,482986,6975801,4069563,1072444,13238874,2013
"Barracuda California",12,0,88,0,11956,2075,2864,210,12,0,473,0,17690,2013
"Bass giant sea",183,106,0,74,49,409,622,0,126,33,70,40,1712,2013
"Bonito Pacific",0,0,0,0,40670,0,0,310,0,0,506,18,41504,2013
"Butterfish Pacific pompano",1297,1174,718,533,372,82,94,45,776,1777,2694,2359,11920,2013
"Cabezon",5369,2213,0,0,7042,8783,10033,6041,5586,8984,6630,3168,63849,2013
"Cod Pacific",0,0,0,0,0,0,0,2,4,0,0,0,6,2013
"Corbina California",0,0,0,0,4,0,0,0,0,0,0,0,4,2013
"Croaker white",210,167,597,478,659,222,120,89,929,1125,1447,266,6308,2013
"Dolphin fish",0,228,649,0,257,0,35,61,333,129,228,85,2005,2013
"Eel California moray ",750,0,0,539,35,1732,0,178,0,431,0,0,3665,2013
"Eel monkey face prickleback",0,75,40,67,76,67,50,69,39,6,18,0,508,2013
"Eel wolf wolfeel",0,0,0,0,0,0,0,0,7,0,0,0,7,2013
"Eel",96,100,30,0,0,0,0,233,308,0,0,0,767,2013
"Escolar",409,2558,1439,0,328,0,0,0,0,0,499,0,5233,2013
"Fish unspecified",137,40,9,105,148,7,0,0,377,27,25,0,873,2013
"Flounder arrowtooth",12544,22917,24608,28061,13080,3906,12876,26071,18807,42425,28377,26495,260167,2013
"Flounder s tarry ",1403,966,1647,569,391,1034,1418,1818,2299,486,0,0,12031,2013
"Flounder unspecified",0,0,5,0,11,0,5,0,0,0,5,13,38,2013
"Fly ingfish",0,0,0,0,0,0,0,20,0,0,0,0,20,2013
"Goby  y ellowfin",0,0,12,0,0,0,0,0,0,0,0,0,12,2013
"Greenling kelp",1489,635,0,9,1237,1273,1970,1012,1326,1137,1403,600,12091,2013
"Greenling rock",0,0,0,0,2,0,0,11,20,2,0,0,35,2013
"Grenadier",5565,5593,18704,15230,20952,24345,20177,19225,12321,18266,10285,13244,183907,2013
"Grouper",0,0,0,0,0,0,0,0,0,0,152,0,152,2013
"Guitarfish shovelnose",753,6,415,376,545,16,0,0,45,0,140,13,2309,2013
"Hagfishes ",135917,97762,140889,78025,69725,95778,93750,204346,64479,138997,132448,100418,1352534,2013
"Halfmoon",0,0,0,0,0,0,0,0,0,0,1,0,1,2013
"Halibut California",37207,17992,29919,14953,22578,46708,86741,73893,22312,11948,4584,5745,374580,2013
"Halibut Pacific",0,0,0,0,0,40,0,0,0,0,0,0,40,2013
"Herring Pacific  roe on kelp",61748,16737,0,0,0,0,0,0,0,0,0,0,78485,2013
"Herring Pacific  roe",2543781,2049368,7098,0,0,0,0,0,0,16,0,0,4600263,2013
"Herring Pacific",162,300,0,0,0,0,64,0,0,0,0,0,526,2013
"Jacksmelt",14,0,0,0,2,0,88,694,5504,2516,1979,0,10797,2013
"Lingcod",1785,492,1328,2753,16564,16826,21915,18746,18357,23479,19774,569,142587,2013
"Lizardfish California",1368,1250,1308,1060,685,73,2932,18,0,444,668,699,10505,2013
"Louvar",69,0,0,0,0,73,16,103,98,365,164,69,957,2013
"Mackerel Pacific",4,5344,42197,368752,647963,55241,25803,695789,1628850,9113152,4579684,630882,17793661,2013
"Mackerel jack",0,0,30705,78929,301917,25775,19853,10296,29842,734814,661611,72791,1966533,2013
"Mackerel unspecified",0,0,0,5,118,328,91,534,627,663,718,0,3083,2013
"Midshipman plainfin",0,0,0,88,9,29,190,54,0,0,0,0,370,2013
"Mudsucker longjaw",20,0,0,0,0,0,0,0,0,2,3,6,31,2013
"Oilfish",251,229,437,0,0,0,0,0,0,0,516,390,1823,2013
"Opah",6560,7367,6403,0,4589,0,184,594,2412,6299,41814,7502,83724,2013
"Opaleye",0,4,0,0,0,2,8,8,12,9,13,10,66,2013
"Pomfret Pacific",27,220,49,0,102,0,0,0,19,20,523,4,964,2013
"Queenfish",0,0,0,0,0,0,0,0,0,464,40,0,504,2013
"Ratfish spotted",0,615,0,2,2,3,0,0,5,1,0,0,628,2013
"Ray  Pacific electric",45,0,0,99,0,0,135,0,0,140,220,0,639,2013
"Ray  bat",108,350,0,0,1606,101,3557,56,329,136,25,0,6267,2013
"Ray  unspecified",0,0,0,0,0,0,0,0,0,0,17,0,17,2013
"Rockfish China",175,73,7,32,235,212,503,448,346,430,471,205,3137,2013
"Rockfish Mexican",24,0,0,0,0,2,0,0,0,3,24,2,55,2013
"Rockfish Pacific ocean perch",7,2,6,7,2,3,15,16,9,11,40,5,123,2013
"Rockfish aurora",218,460,445,662,965,613,671,2512,1513,2099,123,230,10511,2013
"Rockfish bank",20554,6738,11031,26393,2186,12378,7003,320,1221,19231,715,6222,113992,2013
"Rockfish blackandyellow",1427,676,0,0,2509,2955,3113,2071,2054,3054,3715,1516,23088,2013
"Rockfish black",1559,567,1437,6195,7935,7596,12183,14967,6266,10663,5793,3173,78333,2013
"Rockfish blackgill",2917,21958,16273,19139,5579,5430,6294,7105,16620,47890,4781,6457,160443,2013
"Rockfish blue",535,546,569,71,922,888,1787,1840,791,1917,1882,994,12742,2013
"Rockfish bocaccio",1524,1189,1299,3329,5752,3064,6429,2201,6121,3664,682,1240,36494,2013
"Rockfish brown",5708,2931,159,0,3606,6878,8211,6886,6339,7896,7124,6013,61752,2013
"Rockfish canary ",0,0,187,34,775,398,519,678,594,377,0,0,3562,2013
"Rockfish chilipepper",2983,1033,52819,76884,158008,75145,98564,47785,108879,87242,1497,415,711253,2013
"Rockfish copper",1655,498,0,17,979,1083,955,1041,998,1780,1898,3565,14469,2013
"Rockfish cowcod",0,9,18,2,44,19,59,54,63,147,2,0,417,2013
"Rockfish darkblotched",1186,207,900,683,354,479,286,1237,466,675,1086,1688,9247,2013
"Rockfish flag",45,89,0,0,26,20,73,99,66,49,51,56,575,2013
"Rockfish gopher",5307,2499,0,2,4412,5125,6887,3977,2688,6147,7885,6083,51012,2013
"Rockfish grass ",1019,778,0,0,1423,2496,5145,4110,4253,4198,3048,1160,27630,2013
"Rockfish greenblotched",12,46,0,0,4,2,0,0,0,0,71,0,135,2013
"Rockfish greenspotted",362,359,26,0,215,270,745,441,442,413,223,267,3764,2013
"Rockfish greens triped",3,11,0,0,4,3,3,16,16,22,16,6,101,2013
"Rockfish group bolina",6,0,0,0,0,0,0,28,12,0,7,0,53,2013
"Rockfish group canary vermi",3,0,0,0,0,0,0,0,0,0,0,0,3,2013
"Rockfish group nearshore",0,0,0,0,0,4,0,0,0,5,9,0,18,2013
"Rockfish group red",710,573,260,72,440,274,443,257,259,468,283,160,4200,2013
"Rockfish group rosefish",0,0,0,0,0,25,0,0,0,0,0,0,25,2013
"Rockfish group shelf",1628,253,13,144,814,514,505,416,301,643,281,317,5830,2013
"Rockfish group s lope",3025,661,17570,4514,2498,183,1712,5308,5209,2342,3042,1224,47288,2013
"Rockfish group small",0,0,0,38,0,0,50,0,0,0,0,0,88,2013
"Rockfish honeycomb",0,0,0,0,11,1,1,14,14,4,4,8,57,2013
"Rockfish kelp",152,96,0,0,57,165,144,144,283,434,344,264,2082,2013
"Rockfish oliv e",277,250,5,0,152,207,230,545,412,387,326,160,2952,2013
"Rockfish pink",0,1,0,0,0,0,0,0,0,0,0,0,1,2013
"Rockfish pinkrose",0,0,0,0,0,0,0,22,36,4,34,7,102,2013
"Rockfish quillback",29,5,18,37,73,62,591,233,113,142,123,51,1477,2013
"Rockfish redbanded",0,10,6,44,55,2,56,16,80,52,0,0,321,2013
"Rockfish rosethorn",0,3,0,0,0,0,7,7,27,7,14,9,75,2013
"Rockfish rosy ",1,3,4,0,103,13,77,88,71,91,48,53,550,2013
"Rockfish shortbelly ",0,0,0,0,0,0,0,1,22,38,0,0,61,2013
"Rockfish speckled",42,16,0,0,9,40,13,60,12,60,186,64,501,2013
"Rockfish splitnose",1669,1952,7540,4413,727,1036,2669,1527,1209,4797,3203,1028,31770,2013
"Rockfish squarespot",11,0,15,0,16,12,20,32,0,14,5,0,125,2013
"Rockfish s tarry ",46,138,0,0,167,219,187,61,268,162,137,187,1572,2013
"Rockfish s tripetail",0,0,0,0,0,0,0,0,0,8,0,0,8,2013
"Rockfish treefish",389,226,0,0,174,196,381,207,128,248,419,321,2687,2013
"Rockfish unspecified",0,0,11,0,100,41,0,69,309,35,0,55,620,2013
"Rockfish v ermilion",5465,3171,47,154,2276,4594,4889,6613,6871,4816,6151,6183,51230,2013
"Rockfish widow",482,14,644,628,5033,91,92,76,1338,3858,229,139,12622,2013
"Rockfish y elloweye",0,0,0,0,7,0,5,0,0,12,0,0,24,2013
"Rockfish y ellowtail",127,136,161,28,737,1270,781,1799,1592,3136,660,1046,11472,2013
"Sablefish",150177,152516,317514,287689,239158,197933,200693,291556,369488,416836,233190,220216,3076968,2013
"Salmon Chinook",5,0,0,0,894390,983450,1410583,341384,130727,19231,0,0,3779770,2013
"Salmon Roe Chinook Coho",0,0,0,0,2,10,37,219,218,151,0,0,637,2013
"Sanddab Pacific",0,170,0,0,49,52,120,118,0,3376,1,0,3885,2013
"Sanddab longfin",0,0,0,0,0,1,8,3,0,0,0,0,11,2013
"Sanddab",839,1139,20994,12896,21641,33247,36540,44248,25462,19505,1077,1893,219480,2013
"Sardine Pacific",280082,1280,55873,1545331,3474636,543295,367439,1648995,2560161,3113181,1865492,138710,15594475,2013
"Sargo",140,0,0,0,6,34,0,9,0,0,0,0,189,2013
"Scorpionfish California",259,337,93,0,1048,1824,1171,811,104,221,9,67,5943,2013
"Sculpin s taghorn",139,82,124,128,79,56,196,333,779,934,727,299,3876,2013
"Seabass white",34731,6982,6894,364,2008,85249,79134,22765,6119,5893,1095,1172,252407,2013
"Seaperch s triped",486,994,1026,628,0,0,0,0,0,53,1271,1432,5890,2013
"Shad American",0,0,0,0,0,0,10,0,55,0,0,1310,1375,2013
"Shad threadfin",0,0,0,612,1475,563,745,1550,1975,4435,4525,180,16060,2013
"Shark Pacific angel",1318,1529,662,1261,2642,845,343,526,908,380,489,756,11658,2013
"Shark bigeye thresher",0,0,0,0,0,0,41,0,0,64,575,68,748,2013
"Shark blue",0,0,22,0,0,0,10,0,0,0,0,0,32,2013
"Shark brown smoothhound",42,11,0,13,0,25,24,61,71,0,0,0,247,2013
"Shark gray  smoothhound",7,0,0,0,0,1,0,0,0,0,0,20,28,2013
"Shark horn",0,47,0,0,0,0,0,0,0,20,53,12,132,2013
"Shark leopard",304,424,608,174,179,40,173,21,66,73,125,169,2356,2013
"Shark pelagic thresher",0,0,0,0,0,75,0,0,0,0,0,7604,7679,2013
"Shark salmon",765,0,0,0,0,0,0,0,0,0,0,0,765,2013
"Shark sevengill",0,108,0,0,45,61,54,0,0,49,82,0,399,2013
"Shark shortfin mako",2281,1409,1409,215,940,5998,6421,1867,1131,7673,9860,7095,46298,2013
"Shark s ixgill",0,0,9,0,0,0,0,0,0,0,0,0,9,2013
"Shark soupfin",296,89,0,111,239,142,522,133,56,473,480,129,2669,2013
"Shark spiny  dogfish",143,323,0,0,758,18,18,683,0,12,31,112,2098,2013
"Shark swell",24,5,0,0,0,0,0,0,0,0,0,0,29,2013
"Shark thresher",24899,1263,386,197,8188,7613,3479,3354,1084,1575,19935,19543,91515,2013
"Shark unspecified",374,48,65,26,369,21,69,0,64,396,228,559,2220,2013
"Sharks  cow",0,0,0,0,0,0,0,0,0,0,0,150,150,2013
"Sheephead California",5525,4929,32,0,9976,8059,9245,6959,2422,4845,4791,5226,62009,2013
"Skate California",13,0,0,0,0,0,0,0,0,0,0,0,13,2013
"Skate big",0,0,46,712,4584,7826,16807,5035,3882,6383,78,0,45353,2013
"Skate longnose",9163,10401,28581,22980,27244,17498,24857,53651,34432,50268,44874,9643,333591,2013
"Skate thornback",0,0,0,0,0,0,0,0,0,0,10,0,10,2013
"Skate unspecified",1518,1789,3371,4539,5105,1823,1990,2242,2557,4247,871,1261,31313,2013
"Smelt night",369,14347,59062,59467,83372,37252,36670,23470,349,0,0,0,314358,2013
"Smelt surf",0,64,5,461,5503,28058,19583,2913,801,0,0,0,57388,2013
"Sole Dover",167030,263826,473339,500147,546946,289534,427061,729379,326912,483606,396152,288248,4892178,2013
"Sole English",3246,2702,12948,6152,6458,10238,21716,15039,14957,13061,822,550,107889,2013
"Sole butter",0,0,0,0,0,0,0,0,0,88,2,0,90,2013
"Sole petrale",74816,35745,60457,49283,79265,66047,94698,55893,81582,126732,131202,183937,1039658,2013
"Sole rex",9924,7256,14914,8275,6116,2193,5129,11168,8522,11232,7729,7482,99940,2013
"Sole rock",66,218,757,40,962,1212,492,1199,771,2276,380,101,8474,2013
"Sole sand",5299,2176,4176,2433,3096,5407,7775,1886,522,748,6,197,33721,2013
"Sole unspecified",6634,3740,5195,3486,4249,612,738,1050,1314,3497,2670,4284,37469,2013
"Splittail",0,0,0,0,90,0,0,2148,0,0,28,0,2266,2013
"Stingray ",121,0,0,0,0,4,0,15,703,60,129,0,1032,2013
"Surfperch barred",1206,744,635,114,0,3,0,1081,627,735,963,746,6853,2013
"Surfperch black",18,82,32,20,3,0,0,0,42,55,7,104,362,2013
"Surfperch calico",88,73,10,304,0,0,0,0,0,0,0,0,475,2013
"Surfperch pile",0,0,13,27,0,2,1,1,0,23,16,11,95,2013
"Surfperch rainbow",915,1,338,0,0,2,2,6,14,0,2,41,1320,2013
"Surfperch redtail",0,97,293,573,0,0,0,2675,1245,0,582,0,5465,2013
"Surfperch rubberlip",11,77,25,0,0,0,0,0,2,0,0,63,178,2013
"Surfperch shiner",3,0,5,19,27,55,14,45,0,6,17,6,196,2013
"Surfperch unspecified",744,584,462,1373,0,2,66,334,249,418,311,359,4901,2013
"Swordfish",150015,147879,186924,0,522,1389,5316,1792,933,13503,162581,139076,809929,2013
"Thornyhead longspine",38619,59452,207113,176045,140898,127332,115289,198918,104877,134275,77685,56827,1437330,2013
"Thornyhead shortspine",56941,64243,101610,75350,84316,65743,71696,92020,75402,95825,81602,79654,944402,2013
"Thornyheads",2,109,0,0,0,0,0,12611,0,0,0,2,12724,2013
"Tomcod Pacific",0,0,0,0,0,51,17,0,0,0,0,0,68,2013
"Topsmelt",0,0,0,0,0,0,0,0,0,0,3662,0,3662,2013
"Trawled fish unspecified",134,262,1111,587,765,295,268,902,247,289,566,550,5976,2013
"Triggerfish",0,0,0,0,0,2,0,0,0,0,0,0,2,2013
"Tuna albacore",464,976,949,0,1889,95,406,104479,235541,322449,42213,3928,713388,2013
"Tuna bigeye",350,16172,22680,0,13041,0,0,0,0,0,3369,198,55810,2013
"Tuna bluefin",365,272,0,0,0,208,615,1112,1855,9422,5679,2329,21857,2013
"Tuna skipjack",0,59,97,0,14,0,0,0,0,785,69,0,1024,2013
"Tuna unspecified",0,0,360,0,0,0,0,0,0,0,0,0,360,2013
"Tuna y ellowfin",0,5968,1227,0,4923,0,0,28,286,0,535,0,12968,2013
"Turbot curlfin",0,0,0,0,30,26,101,95,594,0,0,0,846,2013
"Turbot diamond",0,0,0,0,0,0,2,14,0,0,0,0,16,2013
"Turbot hornyhead",142,106,560,783,813,916,1238,1354,511,135,258,92,6908,2013
"Turbot",75,110,293,74,34,142,72,48,40,1,0,0,889,2013
"Wahoo",0,505,2753,0,1737,0,0,0,0,0,0,0,4995,2013
"Whitefish ocean",277,250,0,0,428,72,250,119,124,377,590,331,2817,2013
"Whiting Pacific",168,29,4988,30,16,1,485,1005,2885,2417,361,898,13283,2013
"Yellowtail",87,262,403,217,656,6664,6583,2789,2988,932,86,165,21831,2013
"Crab Dungeness ",11843943,3906662,1562590,678065,603991,340728,63318,20999,334,2722,6103871,6065014,31192237,2013
"Crab armed box",8,15,11,0,0,0,0,30,0,0,0,0,64,2013
"Crab box",1561,320,405,1005,556,323,329,334,69,12,99,121,5134,2013
"Crab brown rock",2995,4370,3941,5090,8835,6701,5534,5131,7820,9293,10149,14588,84446,2013
"Crab claws",479,275,11,0,58,39,27,17,0,8,0,10,924,2013
"Crab king",123,64,104,207,150,9,10,111,121,5,118,90,1112,2013
"Crab pelagic red",0,0,0,0,0,2,80,0,0,0,0,0,82,2013
"Crab red rock",30211,29939,34542,46168,46720,49454,52268,55432,52016,61779,57815,68143,584487,2013
