Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern...........................","1,495,630","30,019","1,844","732,686","266,320",0,"141,570","6,025","14,430",0,0,0,"2,688,524"
"Barracuda, California......................",0,4,0,0,"19,786",0,"2,132","2,102",0,0,0,0,"24,024"
"Bass, giant sea..................................",258,214,72,23,60,347,659,205,0,0,49,49,"1,935"
"Bass, kelp...........................................",3,4,0,0,0,0,0,0,0,0,0,0,7
"Bonito, Pacific..................................",0,0,0,"1,067,525","1,704,488",451,103,"1,238,399","629,748","38,553",12,0,"4,679,279"
Butterfish (Pacific pompano).........,461,171,0,334,142,0,0,0,0,0,78,56,"1,242"
Cabezon...........................................,0,45,0,0,228,0,127,0,40,0,20,0,461
"Croaker, unspecifed........................",5,0,0,0,0,0,0,0,0,0,0,0,5
"Croaker, white..................................","1,464","1,600",813,481,453,434,366,81,0,16,4,31,"5,743"
"Croaker, yellowfin............................",0,0,0,0,0,0,35,0,0,0,0,0,35
Eel......................................................,0,0,0,0,0,0,28,0,0,0,0,0,28
"Flounder, unspecified......................",5,0,0,0,0,0,0,0,0,0,0,0,5
"Guitarfish, shovelnose......................",830,340,156,36,8,88,99,0,0,0,0,225,"1,782"
Hagfishes...........................................,"5,620","3,811","6,508","6,020","13,694","10,189","8,388","7,247","7,218","7,111","2,491","10,768","89,065"
Halfmoon..........................................,0,0,0,0,1,0,0,0,0,0,0,0,1
"Halibut, California............................","6,376","2,201",430,"2,052","1,044","4,982","1,065","1,887","1,287",839,"1,801","1,520","25,483"
Jacksmelt..........................................,0,0,0,0,0,0,"4,529",0,0,0,523,258,"5,310"
Lingcod.............................................,0,0,0,150,137,92,144,0,32,0,6,0,561
Louvar...............................................,0,0,0,0,0,0,0,0,0,0,62,54,116
"Mackerel, Pacific.............................","1,109,249","173,619","95,425","72,071","2,109,735","2,517,046","633,377","2,679,338","1,162,005","341,291","98,372","57,311","11,048,839"
"Mackerel, jack.................................","34,189","17,572","14,057","23,902",0,"3,332","32,020","4,227",0,0,992,0,"130,291"
"Mackerel, unspecified....................","2,152",2,0,0,0,0,13,0,0,0,164,0,"2,331"
Opah.................................................,89,0,0,0,0,0,0,118,0,"4,835","9,272","2,160","16,474"
Opaleye............................................,0,0,0,0,232,0,29,123,0,0,0,0,384
"Ray, Pacific electric.........................",195,39,0,0,0,0,58,0,0,0,0,0,292
"Ray, bat............................................","1,731",105,0,100,0,10,"1,394",0,0,0,0,182,"3,522"
"Ray, unspecified..............................",40,0,0,0,0,0,"1,383",0,0,0,0,0,"1,423"
"Rockfish, aurora...............................",0,0,4,0,61,81,31,40,1,2,411,6,637
"Rockfish, blackgill.............................",339,499,176,765,"1,129",634,398,146,46,46,14,28,"4,220"
"Rockfish, blue...................................",0,0,0,0,0,0,0,2,0,0,0,0,2
"Rockfish, bocaccio..........................",88,38,0,0,93,158,72,39,39,9,9,17,562
"Rockfish, chilipepper.......................",12,8,0,0,1,29,3,18,0,2,0,0,72
"Rockfish, flag....................................",6,3,0,0,9,7,10,1,1,7,0,6,50
"Rockfish, gopher..............................",0,0,0,0,0,0,0,1,0,0,0,0,1
"Rockfish, grass..................................",0,4,0,0,1,1,0,0,0,0,0,0,6
"Rockfish, greenspotted...................",162,109,0,0,74,67,99,129,78,118,0,88,923
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, greenstriped.....................",18,23,0,0,11,10,19,10,16,11,0,92,210
"Rockfish, group nearshore..............",72,44,0,0,37,117,90,0,0,0,0,0,360
"Rockfish, group red..........................",44,0,0,7,2,0,2,0,0,0,0,0,56
"Rockfish, group rosefish...................",0,0,3,0,0,0,0,0,0,0,0,0,3
"Rockfish, group shelf........................",682,72,0,0,255,467,346,0,0,0,0,0,"1,822"
"Rockfish, rosy....................................",0,0,0,0,0,0,85,0,0,0,0,0,85
"Rockfish, shortbelly...........................",0,0,0,0,2,0,0,0,0,0,0,0,2
"Rockfish, speckled...........................",0,0,0,0,0,5,19,3,9,13,0,8,57
"Rockfish, splitnose............................",0,0,74,0,0,0,0,0,0,0,0,0,74
"Rockfish, squarespot........................",0,0,0,0,22,0,3,0,1,0,0,74,100
"Rockfish, starry..................................",5,7,0,0,15,2,8,8,16,8,0,9,78
"Rockfish, treefish...............................",0,0,0,0,1,0,0,0,0,0,0,0,1
"Rockfish, unspecified.......................",0,8,0,0,3,0,12,26,0,0,0,0,50
"Rockfish, vermilion............................",0,15,0,0,13,15,39,15,25,38,7,14,181
"Rockfish, yellowtail...........................",0,0,0,0,0,0,0,4,0,0,0,0,4
Sablefish............................................,"3,524","5,418","9,079","9,998","9,412","6,640","11,358","9,876","11,967","12,863","5,619","4,244","99,997"
"Sanddab, Pacific.............................",21,15,0,0,0,0,0,0,0,0,0,0,35
Sanddab...........................................,95,57,93,190,520,986,633,594,112,46,43,290,"3,660"
"Sardine, Pacific................................","15,255,137","4,967,059","16,400","13,200","3,614","47,944","5,772,997","58,172","1,009,828","89,627","90,216","53,392","27,377,586"
Sargo.................................................,0,0,0,0,4,0,0,20,4,0,0,0,28
"Scorpionfish, California....................",352,134,10,0,"1,177","1,097","1,527","1,227",523,444,125,359,"6,975"
"Seabass, white.................................",0,826,"1,062",0,246,"49,084","15,484",781,19,0,0,9,"67,511"
"Shark, Pacific angel.........................",83,0,0,0,0,30,56,0,0,0,0,26,195
"Shark, bigeye thresher.....................",0,0,0,0,0,0,0,0,0,323,"1,338",0,"1,661"
"Shark, brown smoothhound...........",0,0,0,0,0,0,0,0,37,0,0,0,37
"Shark, gray smoothhound...............",0,12,0,19,47,12,4,0,0,11,0,10,115
"Shark, horn........................................",15,0,0,0,0,0,7,0,0,0,0,0,22
"Shark, leopard..................................",266,137,36,256,42,121,83,0,0,0,85,0,"1,026"
"Shark, salmon...................................",0,0,0,0,0,0,0,0,0,62,0,0,62
"Shark, shortfin mako........................",87,0,0,150,339,"1,460","1,360","1,011",114,263,670,594,"6,048"
