California Waters - Finfish,,,,,,,,,,,,,
Species January,February,March,April,May,June,,July,August,September,October,November,December,Landings
"Sheephead, California",132,0,0,0,"2,575",959,191,640,134,"1,337","1,938","1,304","9,210"
"Skate, California",106,370,265,440,819,318,161,89,4,0,0,0,"2,572"
"Skate, unspecified",0,66,0,204,596,77,47,87,83,51,56,17,"1,284"
"Smelt, surf",0,0,0,0,300,0,0,0,0,0,82,0,382
"Sole, curlfin",0,0,53,17,0,0,0,0,0,0,0,0,70
"Sole, Dover",8,17,12,15,39,16,0,32,0,0,11,56,206
"Sole, English",25,196,281,28,0,0,0,0,0,0,0,0,530
"Sole, fantail",0,0,0,0,0,0,35,100,63,17,13,5,233
"Sole, petrale",0,19,30,163,45,12,43,2,0,0,2,0,316
"Sole, rex",57,0,0,0,0,0,0,0,0,0,0,0,57
"Sole, rock",0,0,0,0,0,34,4,0,0,0,0,0,38
"Sole, unspecified",0,167,147,0,0,0,0,0,2,3,5,3,327
Stingray,0,554,0,0,0,0,0,0,0,300,0,0,854
"Sunfish, ocean",0,0,0,0,0,0,0,0,0,11,0,0,11
Swordfish,"14,172",0,0,0,259,0,"1,820","13,316","20,438","26,613","9,469","5,359","91,445"
"Thornyhead, longspine",99,159,213,247,173,143,160,153,46,188,515,872,"2,968"
"Thornyhead, shortspine","1,359","1,368","1,813","1,837","2,173",624,503,604,76,485,"1,090","2,525","14,455"
Thornyheads,0,0,0,24,214,229,153,41,94,118,0,0,873
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
"Tomcod, Pacific 0",,0,0,0,0,0,100,0,0,0,0,0,100
"Tuna, albacore 0",,0,0,0,0,0,0,0,0,"7,574",0,0,"7,574"
"Tuna, bigeye 0",,0,0,0,0,0,0,0,42,0,0,0,42
"Tuna, bluefin 925",,0,0,352,0,652,"223,752","277,687","4,095","1,350",640,"2,513","511,966"
"Tuna, skipjack 0",,0,0,0,0,0,"1,667",0,"4,666","21,866",0,0,"28,199"
"Tuna, yellowfin 316",,0,0,0,0,41,"517,395","38,967","197,269","38,067","2,346",0,"794,399"
"Whitefish, ocean 801",,876,760,857,"1,308",504,277,567,"1,226",582,"1,126",117,"9,001"
"Whiting, Pacific 0",,4,5,13,0,0,0,0,0,0,0,4,26
Yellowtail 405,,563,44,352,156,"1,451","1,089","1,970",251,258,25,0,"6,564"
California Waters – Crustaceans,,,,,,,,,,,,,
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, box 0",,371,143,0,0,0,0,0,0,0,0,0,514
"Crab, brown rock 188",,123,187,111,201,221,198,283,226,334,295,189,"2,556"
"Crab, king 0",,0,0,0,0,0,0,8,0,0,0,0,8
"Crab, red rock 983",,"1,115",120,17,154,69,61,"1,552",484,888,714,322,"6,479"
"Crab, rock unspecified 654",,367,"2,000",249,0,0,78,0,0,456,0,0,"3,803"
"Crab, spider 2,900",,"2,968","2,579","1,855",952,497,809,347,584,"3,841","3,856","4,050","25,238"
"Crab, spider/sheep claws 28",,0,536,204,0,0,0,0,55,0,0,0,823
"Crab, yellow rock 6,477",,"6,427","4,631","9,288","13,079","11,712","14,258","14,413","12,548","14,140","11,392","10,074","128,438"
"Crustacean, unspecified 0",,0,20,0,0,0,0,0,0,0,0,0,20
"Lobster, California spiny 35,810",,"24,034","10,344",0,0,0,0,0,0,"71,969","44,870","44,597","231,624"
"Prawn, ridgeback 10,311",,"2,297","1,302","2,078",594,0,0,0,0,"1,001",0,0,"17,583"
"Prawn, spot 0",,"5,242","9,511","10,358","12,579","13,412","15,354","11,930","8,765","11,675",0,0,"98,826"
"Shrimp, unspecified 10",,15,50,0,0,0,0,0,0,0,0,0,75
California Waters – Echinoderms,,,,,,,,,,,,
Species January,February,March,April,May,June July,August,,September,October,November,December,Landings
Bat star 2,5,18,72,26,0,0,0,0,0,0,0,122
Bryozoan 0,0,0,0,0,0,0,0,0,0,0,16,16
"Sea cucumber, giant red 0",0,0,0,0,577,0,0,0,0,0,0,577
