Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
"Shark, swell...................................",0,5,0,0,0,0,0,0,0,0,0,0,5
"Shark, thresher.............................",85,0,0,0,0,972,308,0,102,0,206,"4,834","6,507"
Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Shark, unspecified.......................",30,10,0,10,0,0,0,0,0,0,0,0,50
"Sheephead, California.................",863,522,0,0,"3,705","1,943","2,202","2,051",634,283,716,315,"13,234"
"Skate, thornback..........................",0,0,0,0,0,0,0,0,0,0,10,0,10
"Skate, unspecified.......................",382,771,429,36,458,0,0,0,17,41,264,309,"2,707"
"Sole, Dover....................................",2,2,4,18,10,0,0,27,16,61,47,43,229
"Sole, English..................................",0,0,0,0,0,0,0,0,0,0,48,0,48
"Sole, petrale..................................",0,0,0,0,0,0,2,2,1,0,0,0,5
"Sole, rex..........................................",0,0,100,0,213,0,0,0,0,293,0,126,732
"Sole, unspecified.........................","1,010","1,969","1,863","1,047","1,042",449,362,803,"1,149",312,106,994,"11,106"
Stingray ..........................................,121,0,0,0,0,4,0,15,703,60,129,0,"1,032"
"Surfperch, unspecified...............",0,0,0,0,0,0,0,0,0,0,0,6,6
Swordfish.......................................,0,0,0,0,0,0,951,"1,084",200,196,890,"4,871","8,192"
"Thornyhead, longspine...............",555,654,"1,565","1,696","1,768",844,"1,271","1,016",866,176,761,660,"11,829"
"Thornyhead, shortspine.............","3,559","5,329","7,026","4,298","5,319","3,649","5,293","2,534","2,541",392,"5,460","5,554","50,952"
Thornyheads.................................,0,74,0,0,0,0,0,0,0,0,0,0,74
Topsmelt.........................................,0,0,0,0,0,0,0,0,0,0,"3,662",0,"3,662"
"Tuna, albacore..............................",0,0,0,0,0,0,0,0,0,"112,725","5,598",0,"118,323"
"Tuna, bluefin..................................",0,0,0,0,0,0,0,56,0,"2,283",90,730,"3,158"
"Tuna, skipjack...............................",0,0,0,0,0,0,0,0,0,289,0,0,289
"Turbot, hornyhead........................",142,106,560,783,813,916,"1,238","1,352",511,135,258,92,"6,906"
"Whitefish, ocean..........................",0,81,0,0,66,5,105,39,90,82,76,93,637
Yellowtail........................................,0,0,45,0,122,970,813,366,181,203,29,9,"2,737"
Crus taceans,,,,,,,,,,,,,
"Crab, box........................................",659,210,310,897,521,310,210,213,0,0,81,0,"3,411"
"Crab, brown rock..........................",0,0,0,0,0,0,11,0,0,0,133,881,"1,025"
"Crab, king.......................................",123,64,17,207,142,0,0,105,121,0,118,0,897
"Crab, red rock................................",10,82,0,0,35,"1,832",115,20,42,30,"1,297","6,096","9,559"
"Crab, rock unspecified................","8,037","8,052","10,746","19,899","18,258","25,328","23,996","22,799","20,320","13,723","8,091","1,750","181,124"
"Crab, shore....................................",0,0,0,0,0,0,0,0,0,0,0,0,0
"Crab, spider...................................","1,889","2,633","2,176","1,587","2,271","2,223","2,513","3,135",363,"2,884","1,789",850,"24,348"
"Crab, spider/sheep claws..........",7,0,0,0,0,0,0,0,0,0,0,0,7
"Crab, y ellow rock..........................","1,640","2,032",897,"5,651","9,773","6,708","10,802","12,034","3,205","1,443","5,945","8,890","69,020"
"Lobs ter, California spiny ............","26,685","16,244","8,106",0,0,0,0,0,0,"83,676","51,973","44,055","230,748"
"Prawn, ridgeback..........................","1,422","2,223","5,257",715,"1,223",0,0,0,0,211,0,"3,372","14,423"
"Prawn, spot....................................",11,"6,606","8,522","6,920","12,390","15,214","14,265","12,399","10,541","8,503",0,46,"95,417"
"Shrimp, ghos t................................",341,30,23,0,5,21,12,0,0,0,0,0,432
"Shrimp, mantis ...............................",0,0,32,45,27,8,4,0,0,0,0,0,116
Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
California Waters,,,,,,,,,,,,,
