Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Shark, white......................................",0,0,0,0,0,350,0,0,0,0,0,0,350
"Sheephead, California.......................",562,295,98,0,"1,447","1,431","4,339","3,144","1,923",25,"2,462","1,710","17,435"
"Skate, unspecified.............................","1,483","1,435","1,137",468,"1,208",738,861,"1,084","1,020",662,0,69,"10,164"
"Smelts, true.......................................",0,0,0,0,0,0,0,290,0,0,0,0,290
"Sole, Dover.......................................",31,1,4,6,21,30,21,3,42,9,6,6,180
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Sole, sand.........................................",0,0,0,0,0,3,0,0,0,0,0,0,3
"Sole, unspecified...............................","3,065","2,381","1,615","1,543","1,703","1,490","1,332","1,349","1,832",450,"1,416","1,025","19,200"
Stingray.............................................,0,0,0,129,139,728,180,254,0,0,0,0,"1,430"
"Surfperch, pile...................................",0,0,28,0,0,0,0,0,0,0,0,0,28
"Surfperch, rubberlip...........................",0,0,0,0,0,41,54,184,0,0,0,0,279
"Surfperch, unspecified.......................",0,0,36,4,0,0,0,0,2,0,0,5,47
Swordfish..........................................,318,0,0,0,663,"3,711","22,325","26,291","8,089","5,598","13,137","16,862","96,994"
"Thornyhead, longspine......................",375,400,199,521,541,346,60,126,83,71,0,0,"2,722"
"Thornyhead, shortspine.....................","14,444","18,534","19,361","15,292","17,335","10,941","7,258","20,254","8,474","9,666",140,"5,172","146,871"
Thornyheads.....................................,941,755,"1,116","1,434","1,798","1,490","1,541","1,790","1,279","1,364",906,785,"15,199"
"Tuna, albacore..................................",0,0,0,0,0,0,617,"1,359",0,"3,261",154,0,"5,391"
"Tuna, bluefin.....................................",67,0,0,0,0,0,251,"443,713",0,0,902,0,"444,933"
"Tuna, skipjack...................................",0,0,0,0,0,0,0,"440,077","363,947",0,0,0,"804,024"
"Tuna, unspecified..............................",0,0,0,0,0,0,0,0,0,365,0,0,365
"Tuna, yellowfin..................................",0,0,0,0,0,0,0,"181,525","26,131",158,0,0,"207,814"
Turbot................................................,18,689,0,0,0,0,0,0,0,0,0,0,707
"Whitefish, ocean................................",31,41,105,0,160,16,41,14,15,18,26,76,544
"Whiting, Pacific.................................",0,0,62,39,1,4,77,246,16,188,249,211,"1,093"
Yellowtail...........................................,104,0,636,0,202,309,"1,853","1,142",21,827,0,0,"5,094"
Zebraperch........................................,0,0,0,0,0,0,0,8,0,0,0,0,8
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness..............................","1,836",42,83,0,1,0,0,0,0,0,1,32,"1,995"
"Crab, box..........................................",0,0,0,377,122,190,62,30,0,0,0,0,781
"Crab, claws.......................................",220,93,73,25,0,0,0,0,0,24,3,64,502
"Crab, red rock...................................",0,0,0,388,328,0,0,0,0,0,0,0,716
"Crab, rock unspecified.......................","6,144","7,543","7,950","7,487","7,286","10,372","9,663","14,049","9,231","6,817","5,593","7,314","99,446"
"Crab, shore.......................................",0,0,0,0,0,0,0,0,25,0,0,0,25
"Crab, spider.......................................","4,956","6,046","4,481","1,564","1,554",932,874,881,"2,077","4,394","1,891","5,047","34,697"
"Crustacean, unspecified....................",1,0,15,0,13,6,13,0,0,8,0,0,56
