Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Anchovy, northern........................",0,"2,645",80,0,"72,358",450,"161,376",165,0,0,0,"49,937","287,011"
"Barracuda, California...................",0,0,4,196,"4,845","16,317","5,924","3,118",0,0,0,0,"30,404"
"Bass, barred sand........................",29,0,12,22,6,0,0,0,0,0,0,0,69
"Bass, giant sea.............................",54,16,36,0,0,31,87,152,0,0,22,0,398
"Bass, kelp.......................................",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonito, Pacific...............................",0,0,0,0,23,0,0,0,0,0,0,0,23
Butterfish (Pacific pompano).....,0,0,0,0,0,"3,307",0,0,0,0,200,314,"3,821"
Cabezon..........................................,4,55,0,0,216,95,162,161,2,0,221,80,996
"Croaker, white................................",0,0,55,0,0,0,0,0,0,0,0,282,337
"Croaker, yellowfin.........................",0,0,45,0,0,0,0,0,0,0,0,0,45
Dolphin (fish).................................,0,0,0,0,0,0,0,200,37,39,0,0,276
"Eel, California moray....................",0,0,0,0,0,0,0,0,0,0,9,0,9
Eel.....................................................,0,12,0,0,0,0,0,0,0,0,0,60,72
"Fish, unspecified..........................",0,0,0,0,0,22,20,0,0,0,0,0,42
Flyingfish........................................,0,0,0,0,5,0,0,0,0,0,0,0,5
"Greenling, kelp..............................",0,0,0,0,0,0,72,0,0,0,0,0,72
"Guitarfish, shovelnose................",22,33,29,0,0,33,0,0,0,0,0,0,117
Hagfishes.......................................,"2,004",0,0,0,110,230,100,"2,301","2,394",0,0,"2,230","9,369"
Halfmoon.........................................,0,0,0,0,0,0,3,0,0,0,0,0,3
"Halibut, California.........................","3,063","5,529","1,716",295,"1,046","2,342","3,879","3,260","3,183","3,255","3,042","1,855","32,464"
"Halibut, Pacific..............................",0,0,0,0,0,25,0,0,0,0,0,0,25
Jacksmelt........................................,42,8,250,0,0,0,0,0,0,0,0,0,300
"Kelpfish, giant................................",0,0,0,0,0,501,0,0,0,0,0,0,501
Kelpfishes.......................................,0,0,0,0,0,"5,062",0,0,0,0,0,0,"5,062"
Lingcod............................................,61,56,41,16,27,43,0,36,72,141,56,0,547
"Lizardfish, California....................",0,0,0,0,154,0,0,0,0,0,0,44,198
"Mackerel, Pacific..........................","448,671","120,191","50,710","298,537","663,756","259,018","487,907","1,149,680","1,019,313","1,524,645","1,284,703","289,655","7,596,786"
"Mackerel, jack................................","12,347","41,361","1,033","2,826","7,927","7,191","15,083","40,065","2,354","23,224","57,349","91,200","301,960"
"Mackerel, unspecified.................",181,26,7,0,449,15,0,13,65,142,0,0,897
"Midshipman, plainfin....................",0,0,0,0,6,0,0,0,0,0,0,0,6
Opaleye...........................................,0,0,0,0,6,3,2,7,0,0,4,0,22
"Ray, Pacific electric....................",700,41,0,0,52,30,0,0,0,40,142,44,"1,049"
"Ray, bat...........................................","1,248",43,9,40,317,"2,183",558,667,885,"2,045","6,230",0,"14,225"
"Ray, unspecified...........................",40,0,0,0,0,0,0,0,0,0,0,0,40
"Rockfish, Mexican........................",0,0,0,0,6,0,0,3,0,0,0,0,9
"Rockfish, aurora............................",0,37,18,22,42,0,0,23,0,0,5,0,147
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, bank...............................",0,0,0,0,0,0,0,0,26,0,0,0,26
"Rockfish, blackgill........................","1,134",137,"1,618",900,58,251,975,"1,479",705,201,533,"1,677","9,666"
"Rockfish, bocaccio......................",115,38,0,0,153,44,73,324,314,572,120,113,"1,866"
"Rockfish, bronzespotted.............",0,0,0,0,0,0,0,6,0,0,0,0,6
"Rockfish, brown............................",0,0,0,0,0,0,0,19,187,16,0,12,234
"Rockfish, chilipepper...................",1,36,0,4,1,1,0,6,9,32,10,2,102
"Rockfish, copper...........................",0,0,0,0,1,20,0,257,162,5,29,39,513
"Rockfish, flag.................................",30,11,0,0,9,2,6,13,20,39,23,7,161
"Rockfish, grass.............................",0,0,0,0,11,22,16,7,0,0,4,2,61
"Rockfish, greenblotched.............",0,2,0,0,94,35,0,2,33,0,0,0,166
"Rockfish, greenspotted...............",68,22,0,0,94,43,68,204,72,321,156,59,"1,106"
"Rockfish, greenstriped................",6,1,0,0,2,3,2,8,6,2,3,1,33
"Rockfish, group red......................",0,0,56,0,0,3,0,39,0,0,0,0,98
"Rockfish, group rosefish............",50,5,0,0,0,0,0,29,16,0,0,0,100
"Rockfish, group shelf..................",0,0,0,0,406,127,332,342,317,440,130,371,"2,465"
"Rockfish, honeycomb..................",1,0,0,0,1,1,1,1,2,0,0,1,7
"Rockfish, olive...............................",0,0,0,0,0,0,3,0,0,0,0,0,3
"Rockfish, pinkrose........................",0,0,0,0,0,1,0,0,0,0,0,0,1
"Rockfish, rosethorn......................",0,28,0,13,14,156,75,76,95,10,0,33,499
"Rockfish, rosy...............................",0,0,0,0,0,0,0,0,9,61,43,0,113
"Rockfish, speckled.......................",0,0,0,0,23,1,0,0,0,0,0,2,26
"Rockfish, splitnose......................",0,0,163,8,0,6,6,14,0,0,6,0,203
"Rockfish, squarespot..................",50,14,0,28,183,0,0,32,17,0,13,11,347
"Rockfish, starry.............................",8,2,0,0,5,4,15,13,4,177,108,21,357
"Rockfish, treefish.........................",0,0,0,0,27,0,0,4,0,0,0,0,31
"Rockfish, unspecified..................",244,4,1,0,0,1,1,23,13,0,0,0,287
"Rockfish, vermilion.......................",113,102,0,3,110,35,168,281,259,500,208,28,"1,807"
"Rockfish, widow............................",0,0,0,0,0,0,0,0,10,142,92,3,246
"Rockfish, yellowtail......................",0,0,0,0,0,0,0,0,8,48,36,0,92
Sablefish.........................................,"9,007","6,701","11,104","7,509","4,627","6,233","13,765","11,923","10,078","8,180","9,197","4,915","103,237"
"Sanddab, Pacific..........................",0,0,0,0,3,0,101,22,41,2,0,0,169
Sanddab..........................................,541,529,368,298,"1,063","1,231","2,204","1,797","1,458",645,157,381,"10,674"
