"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, bronzespotted.................",,0,17,27,6,23,7,0,10,0,0,6,10,106
"Rockfish, brown..............................",,"4,190","2,338",0,2,"5,109","5,363","5,304","6,868","7,292","3,892","6,421","1,539","48,318"
"Rockfish, canary............................",,96,0,98,35,123,766,490,109,132,205,191,8,"2,253"
"Rockfish, chilipepper......................",,"4,177",259,"3,571","2,959","37,223","8,555","15,029","14,031","15,131","9,109","11,024","4,852","125,920"
"Rockfish, copper............................",,711,259,355,187,459,"1,717","1,762","2,246","1,872",538,"1,121",322,"11,549"
"Rockfish, cowcod...........................",,0,0,0,0,0,0,0,0,95,35,0,0,130
"Rockfish, darkblotched...................",,"8,740","6,812","9,300","9,376","8,597","9,326","8,209","7,342","5,178","7,579","7,589","2,029","90,077"
"Rockfish, flag.................................",,20,59,0,0,52,25,31,38,12,34,32,37,340
"Rockfish, gopher............................",,"2,721","3,363",2,2,"4,723","5,199","5,170","6,202","6,669","4,320","3,799","1,985","44,155"
"Rockfish, grass..............................",,"2,195","1,362",0,0,"6,441","3,903","5,989","8,343","6,461","3,288","3,055",949,"41,986"
"Rockfish, greenblotched.................",,69,138,891,0,240,145,77,26,0,55,237,23,"1,901"
"Rockfish, greenspotted...................",,206,12,0,0,187,163,323,256,260,286,167,56,"1,915"
"Rockfish, greenstriped....................",,1,0,0,0,7,0,1,0,2,17,5,7,40
"Rockfish, group black/blue.............",,0,0,0,0,3,0,0,0,0,0,0,0,3
"Rockfish, group bolina....................",,404,78,5,0,688,56,23,21,32,0,0,45,"1,351"
"Rockfish, group deep nearshore.....",,34,188,0,0,502,55,18,41,38,0,8,6,889
"Rockfish, group gopher..................",,81,46,0,0,863,76,305,2,260,41,16,21,"1,711"
"Rockfish, group nearshore.............",,0,354,0,0,81,0,96,27,99,183,24,61,925
"",Species,January,February,March,April,May June,,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Rockfish, group red........................",,787,"5,224",190,"1,227","13,095  734",,491,797,"1,175",354,825,636,"25,533"
"Rockfish, group rosefish.................",,"14,404","1,437","5,429",407,"399  7,697",,745,105,"5,480","6,699","1,974",168,"44,944"
"Rockfish, group shelf......................",,"1,360","1,351",26,21,"1,585  1,412",,776,"2,395","2,697","1,228",941,314,"14,105"
