Finfish,,,,,,,,,,,,,,
Species,January,February,March,April,May,June,,July,August,September,October,November,December,Landings
"Rockfish, blue","3,363","1,891","1,435",324,"2,531","5,079","3,681","5,388","3,181","5,238","4,624","1,477","38,212"
"Rockfish, bocaccio","2,273","2,956","73,508","75,590","146,517","91,539","100,961","50,510","50,099","104,649","48,073","18,376","765,051"
"Rockfish, brown","3,784","1,633",0,0,"4,219","5,817","3,784","4,630","2,112","4,777","2,434",432,"33,622"
"Rockfish, calico",0,0,0,0,0,0,0,0,0,3,0,0,3
"Rockfish, rougheye",0,0,31,44,186,"1,277",21,278,154,105,131,75,"2,302"
"Rockfish, shortbelly",0,0,267,130,450,552,391,159,975,11,"5,596",0,"8,531"
"Rockfish, shortraker",0,0,0,0,7,31,0,6,0,0,11,0,55
"Rockfish, speckled",328,180,65,17,79,155,96,9,4,78,87,33,"1,130"
"Rockfish, splitnose",6,0,"12,280",24,41,931,"2,643","2,161",3,375,302,19,"18,783"
"Rockfish, squarespot",13,13,0,0,12,18,0,17,15,0,2,17,107
"Rockfish, starry",168,393,0,1,141,326,246,687,680,663,812,899,"5,018"
"Rockfish, stripetail",0,0,0,404,162,772,61,669,125,411,0,0,"2,604"
"Rockfish, treefish",549,296,0,0,318,837,477,850,547,591,431,196,"5,093"
"Rockfish, unspecified",0,0,2,0,0,74,13,158,273,876,910,0,"2,306"
"Rockfish, vermilion","14,255","12,044",750,260,"16,302","20,498","15,800","18,185","13,911","14,870","14,982","8,985","150,841"
"Rockfish, widow","70,918","15,699","141,915","89,728","5,801","3,649","2,095","3,073","2,405","1,780","3,628",506,"341,196"
"Rockfish, yelloweye",0,0,1,0,5,18,11,7,23,5,2,0,72
"Rockfish, yellowtail","1,295","1,177","1,640","2,137","2,860","6,396","9,536","7,521","2,349","2,509","4,340",405,"42,165"
Sablefish,"151,042","103,595","249,830","301,617","333,861","306,442","266,531","333,078","297,007","379,425","256,499","143,572","3,122,499"
Salmon,0,0,0,0,"2,808","6,176","2,556","5,408",154,0,0,0,"17,101"
"Salmon, Chinook",80,1,145,11,"603,347","883,433","413,417","587,459","75,657","10,058",177,50,"2,573,835"
"Salmon, Roe (Chinook,",0,0,0,0,0,320,15,163,269,103,0,0,870
Coho),,,,,,,,,,,,,
Sanddab,921,"1,750","2,422","1,334","1,168",637,10,201,176,173,335,178,"9,305"
"Sanddab, Pacific",37,113,"1,053",873,"1,181","6,868","17,142","20,652","9,066","2,771","3,631",937,"64,324"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Sardine, Pacific","52,270","80,477","262,401","533,272","337,726","515,489","348,025","541,243","535,747","425,870","246,504","200,753","4,079,776"
Sargo,0,0,0,0,0,0,1,0,0,0,0,0,1
"Saury, Pacific",0,0,0,0,8,0,0,0,0,0,0,0,8
"Scorpionfish, California",35,189,0,0,486,290,562,626,251,368,177,355,"3,338"
"Sculpin, staghorn",11,2,12,0,25,5,8,1,0,2,0,3,70
"Sculpin, yellowchin",0,0,0,0,0,0,1,2,15,1,0,0,20
"Seabass, white",758,845,"1,068","1,259","1,362","57,617","51,302","15,466","13,227","7,279","1,098",300,"151,581"
"Seaperch, striped",68,139,292,537,0,0,0,2,0,10,0,50,"1,098"
"Shad, American",0,0,240,0,2,27,29,75,0,0,147,29,549
"Shad, threadfin",0,0,0,"1,660",955,360,725,"1,721","2,768","3,404","2,453",132,"14,178"
"Shark, bigeye thresher",0,0,0,0,0,335,0,187,251,124,124,227,"1,248"
"Shark, blue",1,40,0,58,189,0,0,0,135,"6,292",800,"10,056","17,571"
"Shark, brown",108,29,16,4,4,10,13,67,63,32,30,20,396
smoothhound,,,,,,,,,,,,,
"Shark, gray",0,0,0,0,805,58,0,14,10,0,0,33,920
smoothhound,,,,,,,,,,,,,
"Shark, horn",5,0,0,0,0,15,0,0,0,0,0,0,20
"Shark, leopard",821,731,421,"1,591",827,"1,075","1,487",190,159,413,298,632,"8,646"
"Shark, Pacific angel","2,592","2,400","1,924","2,441","2,332","3,278","2,761","3,065","4,020","2,765","4,150","2,783","34,509"
"Shark, pelagic thresher","3,403",444,0,41,53,0,0,0,0,565,164,"3,425","8,095"
"Shark, salmon",0,0,0,0,0,0,357,0,0,0,0,0,357
"Shark, sevengill",0,32,0,33,0,89,0,0,0,0,135,14,303
