"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Mackerel, jack................................",,"57,751","168,607","133,914","692,663","193,238","5,847","478,335","332,062","35,428","84,183","32,527","2,159","2,216,714"
"Mackerel, unspecified....................",,"2,688",340,0,0,50,180,17,5,382,126,2,0,"3,790"
"Midshipman, plainfin......................",,25,11,15,0,0,5,0,0,0,0,0,0,56
Oilfish.............................................,,165,0,0,0,0,0,0,0,0,0,0,0,165
Opah..............................................,,"14,541",176,52,42,"1,459",336,"2,518",109,"5,379","14,766","17,251","13,873","70,502"
Opaleye..........................................,,109,149,60,32,653,136,0,285,0,373,272,405,"2,473"
Pacific Pomfret...............................,,0,0,0,0,0,0,18,0,21,19,0,0,58
Queenfish.......................................,,0,0,0,0,50,0,"1,630","1,685",910,"1,008",309,317,"5,909"
"Ratfish, spotted..............................",,0,0,0,"3,458",0,0,0,0,0,0,0,0,"3,458"
"Ray, Pacific electric........................",,0,0,0,0,20,0,0,0,80,0,0,0,100
"Ray, unspecified.............................",,77,0,0,0,0,0,0,0,0,0,0,0,77
"Rockfish, China..............................",,449,"1,064",464,315,911,823,"2,949","1,810",573,"1,440",512,3,"11,313"
"Rockfish, Mexican..........................",,0,8,0,0,61,59,0,0,0,0,0,0,128
"Rockfish, Pacific ocean perch........",,52,0,45,0,0,5,0,6,0,0,0,0,108
"Rockfish, aurora.............................",,110,81,0,0,0,0,83,53,50,128,165,155,825
"Rockfish, bank...............................",,"16,850","55,965","17,323","110,402","29,368","45,264","49,758","44,563","19,230","15,704","1,733","32,946","439,106"
"Rockfish, black-and-yellow.............",,"1,153","2,569",32,10,"2,656","2,753","5,019","4,641",5,0,60,0,"18,897"
"Rockfish, black...............................",,"1,904","4,585","10,528","16,696","30,817","28,642","25,149","35,199","21,731","16,391","9,978","2,267","203,889"
"Rockfish, blackgill..........................",,"17,517","28,870","18,884","25,685","5,152","9,866","13,235","18,127","14,479","19,028","19,615","14,818","205,273"
"Rockfish, blue................................",,"1,291","2,308","2,559","1,869","2,871","1,998","5,616","8,245","4,203","4,239","2,661",246,"38,106"
"Rockfish, bocaccio.........................",,"4,898","7,634","11,645","4,943","9,666","6,358",64,0,224,12,0,15,"45,458"
"Rockfish, bronzespotted.................",,0,109,0,0,0,0,0,0,0,0,0,0,109
"Rockfish, brown..............................",,"6,644","7,496",343,510,"5,814","4,876","9,776","9,801","1,047",895,112,1,"47,315"
"Rockfish, canary............................",,158,"1,176","2,900","1,939","5,310","4,805","4,777","1,076",397,"1,168",75,73,"23,854"
"Rockfish, chilipepper......................",,"35,487","66,420","60,410","60,837","49,121","51,399","14,567",59,"4,321","1,635",82,834,"345,171"
"Rockfish, copper............................",,"1,182","1,472","3,730","2,491","4,427","3,707","2,906","2,680",992,"3,495","1,014",0,"28,096"
"Rockfish, cowcod...........................",,0,40,0,0,0,0,19,0,0,0,0,53,112
"Rockfish, darkblotched...................",,648,869,"3,143","18,201","11,255","4,779",955,969,139,32,"1,407",137,"42,533"
"Rockfish, flag.................................",,0,18,4,28,1,102,7,0,0,3,0,0,163
"Rockfish, gopher............................",,"10,123","12,645",522,594,"9,203","8,557","18,630","14,121",55,8,2,0,"74,458"
"Rockfish, grass..............................",,914,"2,097","3,724","3,001","4,126","4,926","7,068","10,465","1,010",63,0,0,"37,396"
"Rockfish, greenblotched.................",,18,0,4,22,26,58,0,0,0,0,0,0,128
"Rockfish, greenspotted...................",,183,525,124,38,145,120,0,0,0,18,1,357,"1,510"
"Rockfish, greenstriped....................",,0,2,22,48,50,9,58,21,0,1,0,63,274
"Rockfish, group bolina....................",,"2,802","3,326",425,186,"2,180","3,555","2,556","2,777",36,0,3,0,"17,846"
"Rockfish, group deepwater reds.....",,0,0,0,0,0,0,0,0,0,0,0,21,21
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Rockfish, group gopher..................",,272,"1,142",248,227,412,138,82,265,23,0,0,0,"2,809"
"Rockfish, group nearshore.............",,0,11,2,31,181,"1,264",271,647,21,118,0,0,"2,545"
"Rockfish, group red........................",,241,978,"4,093","1,902","2,425","3,715",247,387,"1,236",0,"2,011",539,"17,774"
"Rockfish, group rosefish.................",,"9,875","20,279","9,362","13,977","11,094","19,372","5,061","15,704","12,432","13,567","17,976","16,921","165,621"
"Rockfish, group shelf......................",,371,930,"1,977","2,874","3,685","7,844","4,721","1,436",72,"2,320",213,53,"26,495"
"Rockfish, group slope.....................",,"44,202","80,446","78,479","47,886","24,942","20,128","30,746","26,541","19,252","11,557","10,050","17,051","411,279"
"Rockfish, group small.....................",,82,"2,676","6,571",55,57,399,1,"1,622",21,239,912,0,"12,635"
"Rockfish, kelp.................................",,374,570,61,40,289,198,573,390,0,6,0,0,"2,500"
"Rockfish, olive................................",,87,222,247,34,315,256,429,293,0,0,0,0,"1,882"
"Rockfish, pink.................................",,42,0,0,6,0,0,0,0,0,0,0,0,48
"Rockfish, quillback.........................",,534,933,774,677,768,475,612,"1,210",806,"2,317",813,2,"9,919"
"Rockfish, redbanded......................",,6,624,64,0,20,62,32,135,213,414,7,8,"1,585"
"Rockfish, rosethorn........................",,135,59,0,0,6,0,0,0,0,0,0,0,200
"Rockfish, rosy................................",,144,"1,162",744,175,0,"4,127",40,11,0,90,0,0,"6,493"
"Rockfish, shortbelly........................",,0,0,0,0,0,25,0,0,0,0,0,0,25
"Rockfish, speckled.........................",,0,0,0,0,0,35,0,0,0,0,0,0,35
"Rockfish, splitnose.........................",,"3,922","6,989","3,913","4,997","1,637","1,352","4,468","3,152","2,534","1,241","5,694",168,"40,066"
"Rockfish, starry..............................",,34,9,7,38,21,15,64,10,0,0,0,0,196
"Rockfish, treefish...........................",,416,276,151,71,373,258,732,414,0,0,0,0,"2,690"
"Rockfish, unspecified.....................",,617,"4,968","10,720","17,310","2,022","4,611",165,"1,010",103,140,62,117,"41,843"
"Rockfish, vermilion.........................",,"1,866","3,133","1,698","1,613","2,857","2,516",666,"1,058",689,"1,272",635,4,"18,008"
"Rockfish, widow.............................",,"2,537","2,712","1,784","2,214","6,407","4,276","1,540","1,360",43,0,"85,108",6,"107,987"
"Rockfish, yelloweye........................",,9,8,20,0,100,7,1,1,0,0,0,0,146
"Rockfish, yellowtail.........................",,369,"1,277","1,868","3,253","1,423","5,570","12,464","1,154",145,"2,948",116,175,"30,760"
Sablefish........................................,,"140,083","242,890","262,392","275,344","234,330","234,527","219,348","224,461","342,455","282,728","289,297","90,861","2,838,716"
"Salmon, Roe (Chinook and Coho)",,0,0,0,0,0,0,19,137,31,8,0,0,196
"Salmon, chinook.............................",,0,63,0,107,"966,879","1,210,996","1,568,302","744,946","319,924","9,001","1,028",0,"4,821,245"
Salmon...........................................,,0,0,0,0,0,0,109,0,0,0,0,0,109
"Sanddab, Pacific............................",,0,0,0,0,0,0,43,0,22,0,0,0,65
"Sanddab, speckled.........................",,0,64,0,0,0,0,0,0,0,0,0,0,64
Sanddab.........................................,,"30,685","159,624","136,685","151,495","121,698","224,780","120,856","93,418","7,551","91,448","52,519","51,378","1,242,137"
"Sardine, Pacific..............................",,"9,741,092","16,877,620","13,007,819","10,471,862","3,964,539","1,043,391","6,869,594","16,307,032","9,732,253","19,442,550","11,814,820","9,372,523","128,645,094"
"Sardine, juvenile.............................",,0,0,181,0,0,0,0,0,0,0,0,0,181
Sargo.............................................,,0,0,5,0,12,11,0,479,0,74,6,0,587
"Scorpionfish, California..................",,"1,602",772,"5,773","8,843","2,896","4,311","3,459",824,131,"1,038",60,51,"29,761"
"Sculpin, staghorn...........................",,322,143,336,182,80,204,45,450,791,"2,505","1,946",548,"7,551"
"Seabass, white...............................",,"23,025","8,471","23,295","4,099","2,928","129,965","130,926","33,132","24,350","9,485","13,927","13,274","416,877"
Senorita..........................................,,0,0,0,0,0,0,0,0,0,0,0,31,31
"Shad, American..............................",,0,0,0,0,8,0,0,0,0,0,0,0,8
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Shad, threadfin...............................",,"4,622",513,60,0,215,0,0,"1,590","6,802","14,605","16,061","5,080","49,548"
"Shark, Pacific angel.......................",,"2,975","3,591","2,145","2,898","3,289","1,653","1,398","1,018","1,006",845,"1,880","1,453","24,150"
"Shark, basking...............................",,0,0,0,0,0,237,0,0,0,0,0,0,237
"Shark, blue.....................................",,0,13,210,0,0,0,0,"60,098",44,0,29,0,"60,394"
"Shark, brown smoothhound............",,580,"1,157",827,223,100,157,95,66,27,86,653,732,"4,702"
"Shark, gray smoothhound..............",,98,70,125,0,30,0,80,20,0,0,0,20,443
"Shark, leopard................................",,904,"1,317","1,040","2,507","4,902","4,286","3,181","2,989","1,493","1,166",900,149,"24,831"
"Shark, pelagic thresher..................",,526,368,0,0,0,0,351,148,660,690,0,0,"2,743"
"Shark, sevengill..............................",,0,12,0,0,69,49,18,0,0,13,0,0,161
"Shark, shortfin mako......................",,"4,152",200,252,7,316,"11,029","14,939","25,249","22,041","27,752","16,400","2,224","124,562"
"Shark, sixgill...................................",,0,9,6,0,0,0,0,0,0,161,0,0,176
"Shark, soupfin................................",,"7,153","3,403","2,404","1,907","2,394","10,284","5,865","1,975","2,068","1,667","2,886",303,"42,308"
"Shark, spiny dogfish.......................",,163,"14,008",107,"17,749",138,"4,000",65,0,5,0,0,26,"36,259"
"Shark, swell....................................",,0,10,0,0,0,0,0,0,0,0,0,0,10
"Shark, thresher...............................",,"33,356","17,970",174,519,"53,881","24,417","77,014","28,501","90,530","31,562","35,104","15,572","408,599"
"Shark, unspecified..........................",,304,848,281,"3,038","1,192",65,385,537,0,189,612,51,"7,501"
"Sheephead, California....................",,674,438,"18,937","21,698","14,447","21,775","24,293","18,164",0,0,12,67,"120,506"
Silversides......................................,,432,0,0,0,0,0,0,0,0,0,0,0,432
"Skate, unspecified..........................",,"24,302","27,051","36,892","12,342","7,224","4,584","1,583","4,109","4,476","22,623","22,530","13,066","180,782"
"Smelt, night....................................",,"3,091","23,952","21,915","33,425","28,214","13,621","35,620","24,643","9,063",0,0,0,"196,419"
"Smelt, surf......................................",,11,335,524,781,"18,398","22,800","29,862","35,920","24,655",594,60,0,"133,940"
"Smelts, true....................................",,0,151,8,0,0,0,0,0,0,0,0,0,159
"Sole, Dover....................................",,"420,833","553,207","630,438","620,955","624,479","479,902","636,985","660,480","763,308","620,692","674,355","196,097","6,881,731"
"Sole, English..................................",,"24,080","75,288","123,785","119,518","78,295","91,378","110,069","93,618","27,716","46,555","23,950","7,702","821,953"
"Sole, bigmouth...............................",,0,0,0,0,0,0,0,0,"1,391",0,0,0,"1,391"
"Sole, butter.....................................",,0,0,69,0,0,0,0,0,0,0,0,0,69
"Sole, fantail....................................",,360,47,2,105,4,0,6,45,4,8,37,5,622
"Sole, petrale...................................",,"264,683","144,004","82,707","56,311","56,704","62,931","53,368","57,946","19,053","41,162","111,915","104,790","1,055,574"
"Sole, rex.........................................",,"61,829","81,584","91,354","78,715","49,384","42,262","44,111","56,024","29,270","34,771","43,313","21,224","633,841"
"Sole, rock.......................................",,"1,368","6,567","8,973","10,396",24,386,37,9,12,11,679,31,"28,494"
"Sole, sand......................................",,"16,392","14,732","14,921","5,745","12,723","14,543","26,741","4,909",422,"2,808","2,538","3,103","119,576"
"Sole, unspecified............................",,"3,327","2,830","2,830","4,032","3,407","1,612","1,021",397,195,222,113,125,"20,110"
"Stickleback, threespine..................",,9,5,7,6,9,5,4,5,6,8,6,4,75
Stingray..........................................,,319,161,95,0,38,0,0,0,0,0,0,0,613
Sucker............................................,,0,3,0,0,0,0,0,0,0,0,0,0,3
"Surfperch, barred...........................",,767,"2,179","2,571","3,572",0,0,415,"1,116",503,"1,231",545,696,"13,595"
"Surfperch, black.............................",,61,0,90,2,0,4,50,0,0,0,0,0,207
"Surfperch, calico............................",,0,0,419,374,0,0,110,267,0,0,0,0,"1,171"
"Surfperch, pile................................",,0,0,0,202,0,0,0,0,0,0,0,0,202
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Surfperch, rainbow.........................",,0,0,4,27,0,0,0,0,0,0,0,0,31
"Surfperch, redtail............................",,283,603,"2,560","3,274",20,0,"2,292","5,964","5,489","7,065",301,49,"27,900"
"Surfperch, rubberlip........................",,0,30,5,29,0,1,2,3,0,18,0,41,129
"Surfperch, shiner............................",,29,76,0,53,0,0,0,250,171,37,0,0,616
"Surfperch, unspecified....................",,"3,015","3,892","5,322","4,055",0,15,741,"1,107","1,143","1,499","2,082","1,373","24,244"
"Surfperch, walleye..........................",,0,0,0,6,0,0,2,0,0,0,0,0,8
"Surfperch, white.............................",,0,0,0,605,0,0,0,0,0,0,0,0,605
Swordfish.......................................,,"207,018","364,449","259,140","414,619","201,603","55,934","15,543","44,911","104,384","232,705","383,410","296,658","2,580,373"
"Thornyhead, longspine...................",,"122,483","236,898","262,543","170,260","232,313","178,544","220,457","185,213","253,750","298,005","252,081","69,997","2,482,544"
"Thornyhead, shortspine..................",,"55,228","74,529","79,478","62,715","78,424","56,956","73,833","75,015","89,118","89,874","94,327","27,238","856,733"
Thornyheads..................................,,"11,048","16,759","27,093","2,055","4,811","1,810","4,473","2,445","6,380","4,288","57,246","10,384","148,790"
"Tuna, albacore...............................",,"2,362",0,50,465,772,"7,124","307,226","1,187,493","2,017,708","1,232,924","1,106,457","61,246","5,923,828"
"Tuna, bigeye..................................",,590,"3,799","10,147","5,277",0,250,0,0,151,148,0,284,"20,646"
"Tuna, bluefin..................................",,"1,009",258,109,0,0,121,661,"7,366","3,437","3,293","3,976",852,"21,082"
"Tuna, skipjack................................",,"245,464",0,"25,217","16,353",0,0,0,0,11,"23,551","199,708","10,491","520,795"
"Tuna, unspecified...........................",,0,0,0,0,0,0,"1,200","1,500",723,0,55,118,"3,596"
"Tuna, yellowfin...............................",,"27,418",0,"498,987","132,741","151,970",0,"152,943",0,546,"86,266","71,928","75,929","1,198,728"
"Turbot, curlfin.................................",,0,0,20,41,0,0,0,0,0,0,0,0,61
Turbot............................................,,0,267,"2,701",210,98,806,497,"1,525",0,529,0,0,"6,633"
Wahoo............................................,,0,0,"1,430",0,0,50,0,0,0,0,0,0,"1,480"
"Whitefish, ocean.............................",,54,96,"1,897",297,676,701,638,598,252,76,8,74,"5,366"
"Whiting, Pacific..............................",,141,0,6,"1,671,312","1,751,296","2,082,486","603,814",15,"4,703",0,0,301,"6,114,074"
Yellowtail........................................,,338,"1,027",579,"3,200",644,"4,771","7,525","11,080","7,997","21,101","17,269",31,"75,560"
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness...........................",,"770,263","282,629","129,076","120,736","76,823","61,051","46,665",0,0,0,"2,331,761","3,476,609","7,295,613"
"Crab, box.......................................",,0,9,27,87,60,18,82,357,37,192,260,237,"1,366"
"Crab, brown rock............................",,0,0,7,0,0,0,0,0,0,0,0,0,7
"Crab, claws....................................",,306,778,230,612,464,731,357,317,134,171,324,373,"4,797"
"Crab, king.......................................",,0,75,0,25,111,371,198,788,216,140,121,105,"2,150"
"Crab, pelagic red............................",,0,0,0,0,7,20,0,0,0,0,0,0,27
"Crab, red rock................................",,519,886,0,449,0,35,0,0,0,"1,130",247,427,"3,693"
"Crab, rock unspecified....................",,"76,555","88,208","94,407","94,339","118,660","128,663","131,967","133,546","103,421","82,876","84,386","80,930","1,218,008"
"Crab, sand.....................................",,0,0,0,0,45,48,19,7,0,0,0,0,119
"Crab, spider...................................",,"6,482","9,569","9,856","4,350","2,868","3,687","4,721","5,443","4,089","6,495","8,347","11,761","77,668"
"Crab, yellow rock............................",,0,0,6,0,0,0,0,0,0,0,0,0,6
"Crayfish, red swamp......................",,0,0,0,0,0,0,0,"6,945","1,515",0,0,0,"8,459"
"Crayfish, unspecified......................",,415,"1,705","1,532","2,764","3,864","4,151","6,171","38,132","34,030","4,831","1,528",845,"99,968"
"Crustacean, unspecified.................",,0,0,4,0,0,0,0,0,0,0,0,0,4
"Lobster, California spiny.................",,"66,334","46,732","27,592",0,0,0,0,0,0,"261,557","136,533","144,046","682,794"
Species,January,February,March,April,May June,,July,August,September,October,November,December,Landings
Crustaceans,,,,,,,,,,,,,
"Prawn, ridgeback...........................","79,718","77,697","52,073","13,979","6,410  863",,434,295,182,"94,288","50,759","64,775","441,472"
"Prawn, spot....................................","6,584","61,576","47,621","40,222","31,271  31,278",,"38,514","47,961","31,489","39,627","10,206","6,966","393,396"
"Shrimp, Pacific Ocean....................",0,0,12,"363,969","504,693  792,667",,"852,883","898,141","607,163","96,472",30,183,"4,116,213"
"Shrimp, bay....................................","10,994","9,302","6,485","3,302","5,237  7,824",,"7,892","7,417","5,361","6,668","5,258","4,802","80,542"
"Shrimp, brine..................................","7,563","5,925","29,311","65,739","193,745  177,220",,"125,693","51,472","25,239","17,631","6,492","4,924","710,954"
"Shrimp, coonstriped.......................",34,26,224,"1,659","20,365  11,423",,"13,989","8,096","10,742","10,706","4,974",0,"82,239"
"Shrimp, ghost.................................",183,99,35,62,168  70,,94,6,3,0,13,468,"1,200"
"Shrimp, mantis...............................","1,235","1,423",239,316,50  3,,5,1,4,0,"1,510","2,647","7,433"
"Shrimp, unspecified........................",110,10,109,22,59  3,,8,0,14,60,212,948,"1,554"
Echinoderms,,,,,,,,,,,,,
"Sea cucumber, unspecified............","19,068","78,141","155,674","139,997","131,175  145,761",,"148,547","69,311","27,277","16,046","10,173","3,531","944,702"
Sea stars........................................,0,0,0,0,0  0,,0,405,816,0,0,0,"1,221"
"Urchin, purple sea..........................",1,0,"2,409","2,367",50  564,,620,"1,048",0,512,"1,944",395,"9,910"
"Urchin, red.....................................","1,564,291","1,215,461","1,325,024","1,316,814","878,833  595,971",,"465,853","1,087,697","1,439,538","1,851,484","1,411,632","781,406","13,934,005"
Mollusks,,,,,,,,,,,,,
"Clam, California jackknife...............",16,0,0,11,32  16,,0,0,0,0,0,0,75
"Clam, northern razor......................",0,0,0,0,0  0,,6,0,0,0,0,0,6
"Clam, rosy razor.............................",0,0,0,0,0  0,,20,0,0,0,0,0,20
"Limpet, unspecified........................",0,0,0,0,0  0,,91,51,0,61,21,39,263
"Mollusk, unspecified.......................",0,0,0,318,0  0,,0,0,0,0,0,0,318
Mussel...........................................,210,0,575,300,168  500,,"1,520",0,0,400,600,0,"4,273"
"Octopus, unspecified......................",988,"4,476","6,419","3,744","1,402  1,782",,928,"1,515","1,555",920,332,442,"24,504"
Sea hare........................................,182,150,0,0,0  327,,291,0,139,55,0,0,"1,144"
"Snail, freshwater............................",0,0,0,0,950  10,,0,0,0,0,0,0,960
"Snail, sea.......................................",527,140,833,"1,226","2,741  1,715",,"1,716","1,187","1,153",234,93,147,"11,712"
"Snail, top........................................",0,0,506,0,0  0,,0,0,0,0,0,0,506
"Snails, moon..................................",718,270,30,283,797  465,,18,0,539,382,183,"1,483","5,167"
"Squid, jumbo..................................",0,0,0,0,0  0,,"2,208","5,327",8,100,950,100,"8,693"
"Squid, market.................................","34,276,358","26,447,228","10,229,940","18,333,928","13,632,343  9,320,264",,"5,229,232","7,097,532","3,264,233","17,189,341","8,314,571","7,330,943","160,665,912"
"Whelk, Kellet's................................","8,659","3,605","2,610",720,"3,031  3,792",,"3,568","2,921","1,315","9,565","8,075","5,583","53,443"
Worms,,,,,,,,,,,,,
"Invertebrates, colonial....................",0,0,0,65,0  0,,0,0,0,0,0,0,65
"Worms, marine...............................",0,3,2,19,0  0,,0,0,0,0,8,0,31
Turtles,,,,,,,,,,,,,
Terrapin..........................................,0,0,0,0,0  0,,0,0,306,0,"16,445","26,327","43,078"
Total Pounds:,"52,526,287","54,632,868","30,319,108","39,026,992","25,738,347  18,365,255",,"20,504,449","31,909,819","22,455,244","44,558,319","28,800,082","23,391,963","392,231,740"
Species,January,February,March,April,May,June,July,August September,October,,November,December,Landings
"",,,,,,*******************,,Total Records:,"150,847",,,,
"",,,,,,End of Report,,,,,,,
