"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, aurora.............................",,1,2,14,38,14,106,168,1,254,81,117,82,876
"Rockfish, bank...............................",,"2,246","11,022","8,353","1,713","5,748","1,720","14,643","6,140","1,705","5,004","6,882","11,934","77,109"
"Rockfish, black-and-yellow.............",,"1,401","1,269",0,0,"2,091","3,176","2,545","1,854","2,431","2,096",905,634,"18,401"
"Rockfish, black...............................",,199,"1,404",531,"6,574","19,923","20,055","20,324","24,119","23,791","13,576","1,861","6,063","138,421"
"Rockfish, blackgill..........................",,"7,339","15,694","8,782","21,469","10,157","9,707","9,086","12,116","12,656","19,342","15,056","6,846","148,250"
"Rockfish, blue................................",,"1,705","4,648",849,"2,049","2,594","2,775","2,378","4,832","5,842","5,297","2,770","3,897","39,636"
"Rockfish, bocaccio.........................",,565,715,325,360,"1,614",928,"1,026",767,"1,000","1,544",745,904,"10,492"
"Rockfish, bronzespotted.................",,37,0,0,0,21,0,9,43,97,0,0,0,206
"Rockfish, brown..............................",,"2,220","6,257",0,0,"4,882","6,733","4,793","4,623","4,632","4,915","3,491","2,958","45,505"
"Rockfish, canary............................",,99,0,0,34,634,428,673,290,"1,537","1,570",81,139,"5,485"
"Rockfish, chilipepper......................",,520,"1,934","5,235","21,665","23,796","5,329","6,028","6,242","13,626","4,825","3,222","1,355","93,775"
"Rockfish, copper............................",,175,406,0,467,932,944,702,"1,077","1,094","1,356",268,913,"8,335"
"Rockfish, darkblotched...................",,"4,559","7,264","4,849","8,179","8,191","7,657","1,471",597,322,295,"2,049",314,"45,747"
"Rockfish, flag.................................",,7,0,0,10,474,8,2,6,10,6,10,1,531
"Rockfish, gopher............................",,"1,275","2,525",0,3,"3,388","6,866","3,798","5,553","4,576","3,765","1,395","1,274","34,419"
"Rockfish, grass..............................",,693,"1,954",0,0,"2,566","7,097","5,211","6,303","4,972","5,955","3,024","1,241","39,015"
"Rockfish, greenblotched.................",,0,0,0,12,92,100,171,147,154,101,169,41,986
"Rockfish, greenspotted...................",,2,39,0,63,0,3,54,11,27,171,76,7,453
"Rockfish, greenstriped....................",,0,0,0,0,0,1,158,1,5,7,5,4,180
"Rockfish, group bolina....................",,193,181,0,7,430,"1,374","1,509",823,632,855,837,208,"7,049"
"Rockfish, group deep nearshore.....",,19,7,0,0,146,10,54,5,50,0,500,0,791
"Rockfish, group gopher..................",,197,297,0,0,158,823,401,495,478,792,503,130,"4,274"
"Rockfish, group nearshore.............",,0,0,0,0,190,202,328,125,548,146,4,149,"1,692"
"Rockfish, group red........................",,938,871,653,"2,485","1,009","1,121","1,814",692,719,887,"1,408",772,"13,369"
"Rockfish, group rosefish.................",,"39,953","64,239","27,877","29,853","25,692","50,772","12,774","12,846","2,312","9,976","11,158","10,856","298,308"
"Rockfish, group shelf......................",,573,840,918,"1,538","2,564","3,277","1,335","1,798","2,039","1,047","1,419","1,292","18,640"
"Rockfish, group slope.....................",,"2,658","6,714","4,551","22,233","5,208","30,824","22,905","9,712","8,234","6,634","4,343","2,188","126,204"
"Rockfish, group small.....................",,0,94,634,49,6,545,134,"1,647",0,0,0,0,"3,109"
"Rockfish, honeycomb.....................",,0,0,0,18,0,0,0,0,0,0,0,0,18
"Rockfish, kelp.................................",,160,94,0,0,168,300,393,169,104,82,38,51,"1,559"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Rockfish, olive................................",,54,544,0,0,326,172,280,385,175,136,283,230,"2,585"
"Rockfish, quillback.........................",,84,116,0,188,667,"1,063","1,550","1,385","2,092","1,376",121,532,"9,173"
"Rockfish, redbanded......................",,0,0,0,75,3,20,95,0,886,0,0,0,"1,079"
"Rockfish, rosethorn........................",,0,38,0,0,0,1,8,10,10,0,0,0,66
"Rockfish, rosy................................",,0,0,0,0,706,4,6,1,3,45,28,4,796
"Rockfish, shortbelly........................",,0,0,0,608,0,0,0,0,0,0,0,0,608
"Rockfish, speckled.........................",,609,0,0,0,0,0,0,6,0,0,2,30,646
"Rockfish, splitnose.........................",,0,2,12,351,"5,012",5,31,"8,434",58,268,"2,641",790,"17,605"
"Rockfish, starry..............................",,11,35,8,16,39,40,35,18,28,20,26,5,280
"Rockfish, swordspine.....................",,0,0,0,0,0,0,0,0,5,3,14,4,25
"Rockfish, treefish...........................",,99,148,0,0,351,271,197,103,158,137,190,58,"1,712"
"Rockfish, unspecified.....................",,41,"1,846",313,"1,101","1,373",527,646,814,185,215,67,390,"7,516"
"Rockfish, vermilion.........................",,909,"2,591",715,453,"4,170","4,557","4,277","4,025","3,805","4,720","2,025","1,761","34,008"
"Rockfish, widow.............................",,8,675,9,"3,551","4,566",287,"1,583","2,711",306,"1,814",483,"2,045","18,037"
"Rockfish, yelloweye........................",,0,0,0,0,0,8,0,0,0,2,0,0,10
"Rockfish, yellowtail.........................",,709,147,150,11,794,863,"1,764","1,444","2,034","2,044","1,069",542,"11,571"
Sablefish........................................,,"118,056","181,230","123,377","267,917","283,093","368,579","429,286","451,617","495,596","379,863","311,915","147,419","3,557,947"
"Salmon, Chinook............................",,0,0,0,866,"121,093","6,110","246,099","265,995","366,794","25,381",0,0,"1,032,338"
"Salmon, Roe (Chinook, Coho)...",,0,0,0,0,1,7,0,28,39,19,0,0,93
"Sanddab, Pacific............................",,0,0,0,0,0,0,0,0,191,132,0,0,323
Sanddab.........................................,,467,915,"5,262","15,337","22,421","66,466","53,342","51,628","23,450","12,442",869,749,"253,348"
"Sardine, Pacific..............................",,"3,946,529","6,246,886","10,968,772","7,026,289","7,682,098","1,649,572","528,936","4,540,645","5,101,797","22,089,853","19,378,614","13,523,801","102,683,792"
Sargo.............................................,,0,0,0,0,0,9,0,0,0,0,2,0,12
"Scorpionfish, California..................",,723,630,115,7,943,660,723,737,373,316,192,516,"5,936"
"Sculpin, staghorn...........................",,3,0,19,13,54,51,49,119,566,792,562,265,"2,493"
"Seabass, white...............................",,"11,052","9,047","1,401",800,"1,230","158,550","170,787","14,004","5,450","3,283","6,607","1,728","383,939"
Senorita..........................................,,0,0,0,10,0,0,0,10,0,6,1,0,27
"Shad, American..............................",,0,0,0,530,150,0,0,0,0,0,0,2,682
"Shad, threadfin...............................",,785,7,0,846,50,140,"2,759","8,265","5,120","7,290","13,235","9,452","47,949"
"Shark, Pacific angel.......................",,"1,520","2,294","1,176","1,823",685,350,249,346,"1,498","2,894",788,"1,383","15,004"
"Shark, bigeye thresher...................",,0,0,0,0,0,0,54,834,"1,241",539,"1,913","1,031","5,612"
"Shark, brown smoothhound............",,"1,130",630,149,467,150,60,96,542,165,"1,172",419,321,"5,301"
"Shark, gray smoothhound..............",,0,0,140,243,103,0,100,10,0,20,0,4,619
"Shark, horn....................................",,0,9,4,0,0,7,0,0,1,0,0,0,21
"Shark, leopard................................",,"2,528","2,079","1,473","1,550","2,610","1,451","1,311","1,646","1,340","1,353",729,"1,624","19,693"
"Shark, pelagic thresher..................",,0,0,0,28,0,0,14,16,0,18,127,0,203
"Shark, sevengill..............................",,111,88,0,0,90,0,0,89,0,0,40,0,418
"Shark, shortfin mako......................",,"1,214",443,373,653,383,"3,788","8,323","4,625","9,708","13,076","18,699","8,211","69,495"
"Shark, smooth hammerhead..........",,0,0,0,0,0,0,142,127,0,27,102,0,398
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Shark, soupfin................................",,"1,380","3,331","2,571",790,"6,675","9,854","3,822","2,077","3,348","3,664","1,829","1,190","40,532"
"Shark, spiny dogfish.......................",,"16,124",5,149,785,616,"4,851",78,"8,686",13,0,0,430,"31,737"
"Shark, swell....................................",,0,63,27,0,80,0,0,0,37,0,0,0,207
"Shark, thresher...............................",,"27,718","5,345",392,542,"19,422","16,624","19,345","14,951","41,383","17,206","19,630","23,011","205,569"
"Shark, unspecified..........................",,238,125,0,99,"2,191","1,867",946,291,0,"1,211","1,785",102,"8,854"
"Shark, white...................................",,0,0,0,0,0,56,106,305,0,0,0,0,467
"Sharks, cow...................................",,0,0,0,0,0,0,0,20,0,0,0,0,20
"Sheephead, California....................",,"4,659","5,742",0,6,"12,262","11,703","11,180","10,290","3,499","9,858","8,667","7,733","85,599"
Silversides......................................,,0,0,0,3,2,0,0,0,0,0,0,0,5
"Skate, thornback............................",,0,0,0,0,0,0,0,0,0,2,0,0,2
"Skate, unspecified..........................",,"1,303","5,685","12,201","12,247","29,833","55,590","27,109","35,802","47,250","28,233","11,215","1,819","268,286"
"Smelt, night....................................",,715,"11,156","9,360","32,189","29,692","69,361","30,358","23,139","1,585",0,0,0,"207,555"
"Smelt, surf......................................",,0,0,0,15,"5,536","18,619","75,443","25,508","9,432","4,702",0,0,"139,255"
"Sole, Dover....................................",,"140,498","189,111","254,037","450,364","389,602","335,683","362,529","458,367","365,331","445,586","355,210","133,622","3,879,938"
"Sole, English..................................",,"22,344","43,715","31,528","50,167","47,658","74,214","51,955","59,117","89,900","65,968","64,366","58,859","659,790"
"Sole, butter.....................................",,0,0,157,0,0,0,0,0,0,0,0,0,157
"Sole, petrale...................................",,"151,709","122,878","79,439","94,083","133,513","150,482","139,624","109,251","170,288","123,317","205,674","179,113","1,659,370"
"Sole, rex.........................................",,"20,177","39,306","22,339","29,599","27,660","29,364","20,546","32,197","30,116","28,080","31,065","18,625","329,074"
"Sole, rock.......................................",,"2,474","1,703","1,182","1,638",441,288,971,"1,531","1,457",552,76,273,"12,585"
"Sole, sand......................................",,"4,413","3,358","1,119","2,052",867,"1,365","1,363","1,158",228,188,18,338,"16,465"
"Sole, unspecified............................",,"1,573","2,386","2,397","1,993","2,389","1,107",703,862,"1,067","3,737","6,187","5,869","30,269"
Stingray..........................................,,0,88,0,0,0,0,0,0,0,55,0,20,163
"Sunfish, ocean...............................",,0,0,6,0,0,0,0,0,0,0,0,0,6
"Surfperch, barred...........................",,401,571,836,801,0,0,313,542,687,979,378,266,"5,775"
"Surfperch, black.............................",,0,0,0,0,0,3,1,1,1,0,0,0,6
"Surfperch, pile................................",,0,0,0,103,0,0,0,0,0,0,0,0,103
"Surfperch, rainbow.........................",,0,0,0,0,6,0,0,0,0,0,0,0,6
"Surfperch, redtail............................",,0,144,776,"1,731",0,0,32,"5,397","2,256","2,502",241,0,"13,078"
"Surfperch, rubberlip........................",,0,0,0,0,45,33,23,46,29,0,0,13,189
"Surfperch, shiner............................",,0,0,0,0,0,0,0,0,0,0,0,135,135
"Surfperch, unspecified....................",,"1,265","4,276","2,044","2,024",90,93,41,"1,124","1,284","1,814","1,690","1,641","17,386"
"Surfperch, walleye..........................",,0,35,0,0,0,0,0,0,0,0,0,10,45
Swordfish.......................................,,"30,872",559,"36,039",771,110,"7,612","18,120","13,692","41,715","176,791","239,030","254,182","819,493"
"Thornyhead, longspine...................",,"38,339","60,864","24,074","106,635","101,375","131,547","94,645","187,665","188,204","165,486","75,401","51,511","1,225,745"
"Thornyhead, shortspine..................",,"47,513","39,733","34,100","58,405","64,438","71,616","59,875","87,739","75,266","78,643","48,745","42,254","708,327"
Thornyheads..................................,,"1,074","2,558","1,023","2,566","2,058","3,663","3,644","3,182","2,703","1,868","2,439","2,045","28,822"
Topsmelt........................................,,0,0,0,12,0,0,0,0,0,0,0,0,12
"Tuna, albacore...............................",,0,"5,155","1,899","6,308","9,630","2,042","85,336","22,289","123,292","178,722","15,790","7,387","457,850"
"Tuna, bigeye..................................",,0,"19,713","15,745","20,118","13,267",0,0,0,0,0,0,0,"68,842"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Tuna, bluefin..................................",,131,0,0,0,0,25,423,0,0,292,672,138,"1,681"
"Tuna, skipjack................................",,0,0,111,147,327,0,0,0,65,"2,392","102,003",0,"105,045"
"Tuna, unspecified...........................",,0,0,0,0,0,0,0,200,0,"1,572",0,0,"1,772"
"Tuna, yellowfin...............................",,339,"16,875","9,623","4,650","5,343",138,494,"1,515","1,102",96,"123,099",497,"163,771"
"Turbot, curlfin.................................",,0,0,0,0,0,25,0,138,0,0,0,0,163
Turbot............................................,,0,161,0,131,146,203,141,222,193,16,2,0,"1,214"
Wahoo............................................,,0,225,386,"1,220",145,0,0,0,0,0,0,0,"1,976"
"Whitefish, ocean.............................",,136,80,226,147,472,243,560,220,150,376,364,197,"3,170"
"Whiting, Pacific..............................",,0,25,"3,943","5,724,784","5,729,195","229,961","281,899",42,9,53,21,44,"11,969,975"
"Wrasse, rock..................................",,0,15,0,0,4,0,0,0,0,8,0,0,27
Yellowtail........................................,,172,"5,842","5,853",110,217,"5,872","10,114","7,099","2,559",884,384,"1,300","40,406"
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness...........................",,"6,907,787","7,802,649","1,955,810","1,304,036","1,011,375","509,613","90,287",0,0,1,"3,341,327","3,249,075","26,171,959"
"Crab, box.......................................",,0,0,4,0,3,243,405,158,138,87,230,92,"1,359"
"Crab, claws....................................",,277,147,246,137,43,33,40,138,72,4,14,59,"1,208"
"Crab, hermit...................................",,0,0,10,0,0,0,0,0,0,0,0,0,10
"Crab, king.......................................",,0,0,6,0,0,0,0,3,0,12,0,18,39
"Crab, rock unspecified....................",,"81,074","84,849","89,580","87,452","97,082","116,326","119,765","116,759","111,857","84,989","80,616","94,033","1,164,381"
"Crab, spider...................................",,"11,554","9,696","7,893","3,681","3,217","5,627","8,062","8,107","6,551","5,793","6,966","8,335","85,482"
"Crab, tanner...................................",,0,0,0,0,5,0,0,0,0,0,0,0,5
"Crayfish, red swamp......................",,0,0,0,0,0,0,0,"1,775",0,0,0,0,"1,775"
"Crayfish, signal..............................",,0,0,0,0,0,0,0,"38,081",0,0,0,0,"38,081"
"Crayfish, unspecified......................",,95,464,364,155,"3,141","8,411","10,497","15,653","24,046","10,065","1,916","1,843","76,650"
"Crustacean, unspecified.................",,5,5,1,23,15,7,4,1,3,5,1,0,69
"Lobster, California spiny.................",,"70,469","56,951","32,679",0,0,0,479,0,36,"378,919","203,508","144,523","887,565"
"Prawn, golden................................",,0,0,0,70,40,0,0,0,0,0,0,0,110
"Prawn, ridgeback...........................",,"12,895","10,341","16,261","12,280","11,551",8,75,24,215,"35,101","27,710","34,436","160,898"
"Prawn, spot....................................",,"9,375","28,256","26,079","32,060","33,290","30,572","26,161","38,128","34,020","44,223","10,576","8,576","321,316"
"Shrimp, bay....................................",,104,83,460,182,"1,445","3,076","6,201","5,687","5,259","5,352","7,173","4,910","39,932"
"Shrimp, brine..................................",,0,0,"1,874","6,714","90,384","105,109","129,433","119,768","47,506","2,034",0,0,"502,823"
"Shrimp, coonstriped.......................",,0,0,0,0,"13,355","3,195","3,793","4,921","7,889","2,784",0,0,"35,937"
"Shrimp, mantis...............................",,21,159,37,0,0,0,0,0,0,0,0,43,260
"Shrimp, ocean (pink).................",,0,0,0,0,"17,175","69,614",0,"6,155","46,957",0,0,0,"139,901"
"Shrimp, unspecified........................",,0,0,0,0,0,0,0,0,36,0,0,0,36
Echinoderms,,,,,,,,,,,,,,
Bryozoan........................................,,0,0,0,0,0,0,0,0,0,105,0,0,105
"Echinoderm, unspecified................",,6,2,40,35,56,15,10,30,0,3,0,0,197
Sand dollar.....................................,,0,0,0,0,0,0,0,0,0,35,18,28,81
Species,January,February,March,April,May June,,July,August September,October,,November,December,Landings
Echinoderms,,,,,,,,,,,,,
"Sea cucumber, giant red................","1,756","8,811","5,206","7,777","4,100  35,065","36,190",,"12,540  17,948","11,698",,"2,261","3,204","146,556"
"Sea cucumber, unspecified............",10,0,0,"1,310",954  800,"1,910",,0  26,,41,0,0,"5,050"
"Sea cucumber, warty.....................","16,133","43,217","46,658","41,785","55,873  72,692","27,677",,"13,725  4,656",,31,55,296,"322,797"
Sea stars........................................,10,30,62,80,40  80,,30,70,8,65,55,5,535
"Sea urchin, purple..........................",0,14,381,24,"62  1,728","1,480",,114  240,,165,40,45,"4,293"
"Sea urchin, red...............................","905,006","950,753","749,154","701,730","1,048,230  679,383","670,096",,"889,523  910,655","1,207,907",,"991,415","955,603","10,659,455"
Mollusks,,,,,,,,,,,,,
"Limpet, keyhole..............................",0,0,0,0,0  0,,0,0,0,10,0,3,13
"Limpet, unspecified........................",50,0,4,60,40  0,,15,750,0,0,0,0,919
"Mollusk, unspecified.......................",0,38,2,727,625  3,,0,130  76,,3,8,0,"1,612"
Mussel...........................................,12,20,0,"1,575",0  0,,0,0,0,0,13,0,"1,620"
"Octopus, unspecified......................",159,165,283,625,732  716,,875,75,3,180,63,23,"3,899"
Sea hare........................................,"1,041",502,761,796,"1,102  1,064",,638,"1,140  996",,662,471,524,"9,697"
Sea slug.........................................,1,0,0,1,0  0,,0,0,0,0,0,0,3
"Snail, sea.......................................",410,0,94,96,0  15,,19,124,0,131,133,0,"1,022"
"Snail, tegula...................................",0,0,0,0,0  0,,0,0,0,0,0,129,129
"Snail, top........................................",30,90,1,113,0  2,,0,134,0,0,0,0,370
"Squid, jumbo..................................",0,0,0,204,96  270,"5,624",,"15,795","0  2,681",,60,"28,100","52,830"
"Squid, market.................................","46,928,529","31,571,638","5,614,586","253,131","885,132  6,092,864","6,252,206",,"731,953  58,617","280,646",,"1,195,572","8,498,305","108,363,180"
"Whelk, Kellet's................................","11,567","9,794","11,119","16,802","17,756  16,038","15,368",,"20,871  17,670","17,447",,"17,205","19,541","191,177"
Plants,,,,,,,,,,,,,
"Algae, marine.................................",5,0,0,0,0  15,,0,0,0,21,1,40,82
Kelp................................................,25,0,10,0,170  15,,12,155  13,,0,80,0,480
Worms,,,,,,,,,,,,,
Invertebrate Unspecified................,0,0,0,0,0  0,,0,0,0,0,17,0,17
"Invertebrates, colonial....................",4,0,31,2,223  57,,2,2,0,5,0,0,326
"Lancelets, amphioxus....................",0,0,0,0,0  0,,0,11,0,0,0,0,11
Sea pansy......................................,0,0,0,0,0  0,,0,0,3,3,0,0,6
"Spiders, sea...................................",0,0,0,0,0  0,,0,0,0,0,0,59,59
Themiste........................................,0,0,18,0,0  0,,0,0,0,0,0,0,18
Tunicates.......................................,0,5,0,0,0  0,,0,0,0,0,0,0,5
"Worms, marine...............................",15,5,10,0,0  0,,0,0,0,0,0,0,30
Total Pounds:,"61,807,308","48,786,527","23,345,814","23,199,168","27,555,794  14,846,314","11,573,121",,"12,680,738  15,585,737","34,165,821",,"31,036,788","29,977,505","334,560,635"
"",,,,,*******************,,,Total Records:,"109,913",,,,
"",,,,,End of Report,,,,,,,,
