"","#",$ %,,"! %",' #,,(,',$%,$%,(% %,"!",)# !,,* + !,,"# !",,&
Fishes,,,,,,,,,,,,,,,,,,,
"Anchovy, northern.....................",,"1,746,716",,"554,751","375,278",,"793,043","288,794","90,360","141,366","186,283","89,760","54,528",,"35,437",,"1,378,526",,"5,734,842"
"Barracuda, California................",,,0,0,0,,106,"31,827","30,475","10,365","3,865",668,440,,8,,"1,649",,"79,402"
"Bass, giant sea..........................",,530,,386,77,,115,125,807,"1,040",78,123,0,,0,,229,,"3,509"
Blacksmith...................................,,,7,10,0,,0,0,0,0,0,0,0,,0,,,0,17
"Bonito, Pacific............................",,,0,0,0,,0,0,0,0,"75,423","121,577",0,,"46,487",,,0,"243,487"
Butterfish (Pacific pompano)..,,222,,223,47,,221,171,8,10,0,3,184,,79,,48,,"1,217"
Cabezon.......................................,,"4,439",,"4,483",13,,0,"9,716","7,555","11,032","6,089","9,502","8,265",,"5,460",,"4,338",,"70,892"
"Croaker, white.............................",,"2,055",,202,105,,216,190,7,44,133,171,"1,393",,"1,455",,864,,"6,833"
Dolphin (fish)..............................,,,0,619,"1,402",,"2,477",0,0,0,0,"1,036",563,,123,,55,,"6,275"
"Eel, California moray.................",,,0,3,0,,0,0,342,656,144,0,0,,5,,158,,"1,308"
"Eel, monkeyface (prickleback)",,,0,4,0,,0,4,0,3,3,18,14,,17,,34,,96
"Eel, spotted cusk-.....................",,,0,0,0,,0,0,0,0,0,0,0,,"2,151",,,0,"2,151"
"Eel, wolf (wolf-eel).....................",,,0,0,0,,0,220,451,0,0,0,0,,0,,,0,671
Eel..................................................,,,0,1,0,,0,0,0,0,0,0,3,,0,,,0,4
Escolar.........................................,,962,,"2,143","3,476",,"3,151",168,13,9,0,0,156,,0,,"1,035",,"11,113"
"Fish, unspecified.......................",,,6,27,72,,50,165,171,40,167,"1,708",84,,0,,,1,"2,491"
"Flounder, arrowtooth.................",,352,,"8,211","12,585",,"18,579","5,354","5,953","27,383","20,455","29,789","21,945",,"18,389",,"21,473",,"190,468"
"Flounder, starry..........................",,"1,661",,"2,662","1,020",,578,309,231,"2,197","2,198","2,051","2,150",,54,,161,,"15,271"
"Flounder, unspecified...............",,,4,6,2,,11,24,110,25,30,0,0,,0,,,0,211
"Goby, yellowfin..........................",,,0,0,0,,0,0,0,0,0,0,9,,11,,11,,31
"Greenling, kelp...........................",,519,,300,0,,0,694,385,654,348,576,326,,369,,309,,"4,479"
"Greenling, rock...........................",,,0,0,0,,0,0,0,0,0,2,0,,0,,,0,2
Grenadier.....................................,,"15,718",,"15,421","9,110",,"19,686","12,952","18,274","14,027","32,729","20,015","17,262",,"6,724",,"9,995",,"191,912"
"Guitarfish, shovelnose.............",,546,,512,143,,563,230,307,13,23,283,14,,80,,457,,"3,170"
Hagfishes....................................,,"45,432",,"42,887","14,189",,"46,234","69,311","61,933","48,716","47,902","130,921","81,853",,"75,434",,"130,556",,"795,367"
Halfmoon......................................,,,0,221,0,,0,2,0,0,2,1,11,,0,,45,,282
"Halibut, California......................",,"51,403",,"40,131","30,321",,"30,625","28,213","41,753","72,036","68,409","38,252","22,013",,"9,120",,"8,631",,"440,906"
"Halibut, Pacific...........................",,,0,0,0,,0,0,303,502,0,0,0,,0,,,0,805
"Halibut, unspecified..................",,,0,0,0,,0,0,0,0,0,0,0,,64,,,0,64
"Herring, Pacific - roe................",,"3,453,089",,0,0,,0,0,0,0,0,0,0,,0,,,0,"3,453,089"
Jacksmelt.....................................,,10,,0,0,,4,27,0,0,0,0,0,,"3,220",,"3,048",,"6,308"
Kelpfishes....................................,,,0,0,0,,0,0,0,0,0,0,1,,0,,,0,1
Lingcod.........................................,,,8,36,163,,351,"6,848","9,120","9,283","10,932","10,956","9,186",,"8,770",,"6,591",,"72,243"
"Lizardfish, California.................",,"1,330",,187,"1,330",,"3,488","1,561",0,10,7,8,"1,122",,"3,732",,"1,762",,"14,537"
Louvar...........................................,,,0,0,0,,0,0,0,0,0,44,280,,220,,276,,820
"Mackerel, Pacific.......................",,"957,933",,"286,936","10,619",,"19,769","85,005","47,783","477,636","93,722","811,571","71,851",,"89,199",,"38,946",,"2,990,971"
"Mackerel, jack.............................",,"2,115",,"8,591",0,,0,0,767,"73,888","55,622","27,639","3,202",,"4,443",,104,,"176,371"
"Mackerel, unspecified..............",,,0,0,0,,0,0,11,0,5,61,376,,0,,,0,453
"Midshipman, plainfin.................",,,0,0,0,,56,13,0,0,0,0,0,,0,,,0,69
Oilfish...........................................,,,0,0,0,,0,0,0,0,0,970,562,,528,,377,,"2,437"
"","#",$ %,,"! %",' #,,(,',$%,$%,(% %,"!",)# !,,* + !,,"# !",,&,
Fishes,,,,,,,,,,,,,,,,,,,,
Opah.............................................,,240,,"3,477","6,069",,"5,925","1,769",209,0,964,"27,079","17,803",,"22,604",,"23,354",,,"109,493"
Opaleye........................................,,0,,54,0,,98,0,0,0,0,0,60,,0,,,0,,212
"Pomfret, Pacific..........................",,0,,80,33,,98,49,0,0,0,152,86,,50,,130,,,678
"Ratfish, spotted.........................",,0,,5,3,,0,0,0,12,0,0,0,,35,,,0,,55
"Ray, Pacific electric.................",,335,,55,41,,134,22,0,0,0,101,0,,50,,,0,,738
"Ray, bat........................................",,953,,20,162,,0,549,50,732,"1,833","2,420",0,,"1,799",,,0,,"8,518"
"Ray, unspecified........................",,22,,0,0,,0,0,0,0,0,62,0,,0,,,0,,84
"Rockfish, China..........................",,227,,186,0,,0,224,430,524,616,544,730,,274,,544,,,"4,300"
