"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Anchovy, northern........................",,"5,905",0,"27,343",0,"14,720","65,776","80,624","124,638","547,479","1,312,025","37,399","44,939","2,260,848"
"Barracuda, California...................",,0,268,0,517,"7,571","19,591","13,604",217,273,56,12,0,"42,109"
"Bass, barred sand.........................",,0,0,0,4,0,10,13,0,0,0,0,0,27
"Bass, giant sea...............................",,"1,033","1,366",895,551,133,"1,114","6,358","1,576",463,0,128,434,"14,049"
"Bass, kelp.......................................",,0,0,0,0,0,40,0,0,0,0,0,0,40
"Bass, spotted sand........................",,0,20,0,0,0,0,0,0,0,0,0,0,20
Blacksmith......................................,,0,0,0,15,0,6,0,0,0,0,0,14,35
"Bonito, Pacific...............................",,84,655,12,0,0,0,0,"34,086","5,820",0,0,0,"40,657"
Butterfish (Pacific pompano)......,,87,596,96,113,83,0,0,1,3,"2,455",55,"1,288","4,777"
Cabezon........................................,,"2,567","2,786",0,0,"6,392","4,033","5,309","3,816","11,330","10,002","2,704","1,500","50,440"
Carp...............................................,,0,0,0,0,0,491,0,0,0,0,0,0,491
"Corvina, shortfin............................",,0,0,37,0,0,0,0,0,0,0,0,0,37
"Croaker, unspecifed....................",,0,90,0,0,0,0,0,40,4,218,86,42,479
"Croaker, white...............................",,"1,952",484,154,326,617,341,"3,558",8,152,632,"2,157","1,464","11,846"
Dolphin (fish)..................................,,0,0,507,229,36,0,0,0,107,"6,322",0,161,"7,362"
"Eel, California moray....................",,0,165,"3,356",0,41,10,69,46,87,0,176,6,"3,956"
"Eel, monkeyface (prickleback)...",,0,2,0,0,3,3,0,9,6,13,0,0,35
Escolar............................................,,0,0,921,506,314,0,0,0,0,773,0,"1,409","3,923"
"Fish, unspecified............................",,0,14,8,21,6,33,97,0,0,30,165,67,440
"Flounder, arrowtooth....................",,"9,148","16,007","18,628","18,724","6,945","12,638","6,419","13,560","7,030","21,045","13,253","5,701","149,098"
"Flounder, starry..............................",,"2,649","3,360","3,624","3,059",388,619,"2,391","2,080","5,534","5,033","1,012",13,"29,761"
"Flounder, unspecified...................",,0,0,4,4,0,0,0,30,193,53,30,13,327
"Goby, yellowfin.............................",,10,0,0,0,0,0,0,0,0,0,12,0,22
"Greenling, kelp..............................",,378,200,0,0,603,332,681,431,621,364,0,0,"3,609"
Grenadier......................................,,"5,936","9,005","14,196","20,228","21,770","17,957","18,963","28,451","22,518","23,894","17,446","8,770","209,134"
"Guitarfish, shovelnose...................",,"1,440",512,376,533,303,259,48,389,540,0,586,114,"5,099"
Hagfishes........................................,,"102,255","128,774","56,327","63,358","72,159","75,520","70,800","129,554","114,854","65,973","49,930","24,805","954,309"
Halfmoon.......................................,,23,14,2,0,0,0,1,0,5,3,2,0,50
"Halibut, California.........................",,"29,308","51,765","62,081","41,300","30,013","53,728","102,435","80,090","32,787","18,390","13,905","12,343","528,145"
"Halibut, Pacific..............................",,0,0,0,0,0,75,155,0,0,0,0,0,230
"Herring, Pacific - roe....................",,"2,433",0,0,0,0,0,0,0,0,0,0,0,"2,433"
Jacksmelt.......................................,,179,0,5,0,780,"2,434",726,441,266,162,6,0,"4,999"
Kelpfishes.......................................,,0,0,0,0,0,0,13,0,0,0,0,0,13
Lingcod..........................................,,"3,410",831,"3,736","2,529","13,220","10,139","19,470","12,087","15,349","9,447","5,891","6,781","102,889"
"Lizardfish, California......................",,47,5,30,30,185,0,3,0,0,214,"1,372","1,154","3,040"
Louvar............................................,,76,0,0,0,0,0,17,49,204,560,95,10,"1,010"
"Mackerel, Pacific..........................",,"59,575","79,137","64,420","91,804","632,170","521,633","636,135","755,604","946,840","385,880","329,228","30,479","4,532,904"
"Mackerel, jack..............................",,"23,234","2,059",826,"8,057","213,821","26,079","244,494","24,225","16,156","97,274","15,479","10,943","682,645"
"Mackerel, unspecified.................",,0,0,12,5,0,0,0,0,0,0,0,10,27
"Midshipman, plainfin....................",,0,35,27,0,0,0,43,0,0,0,0,0,105
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
Oilfish..............................................,,352,245,491,0,0,0,0,0,0,0,0,0,"1,088"
Opah..............................................,,"5,541",50,"2,560","3,063","5,065",273,173,"1,197","9,638","22,751","21,444","18,307","90,061"
Opaleye.........................................,,11,15,0,0,0,49,46,3,0,0,0,1,125
"Pomfret, Pacific.............................",,0,0,0,0,12,0,0,0,26,69,0,0,107
Queenfish......................................,,0,0,0,"3,802",0,0,0,0,0,0,0,0,"3,802"
"Ratfish, spotted.............................",,0,0,0,0,0,18,0,0,5,2,2,3,29
"Ray, Pacific electric......................",,155,13,197,55,53,40,112,0,428,297,49,0,"1,399"
"Ray, bat.........................................",,315,878,654,"1,728",480,141,"2,175","2,430","3,262","1,658",190,0,"13,911"
"Ray, unspecified...........................",,0,0,642,7,81,0,0,0,0,0,0,0,730
"Rockfish, China.............................",,284,240,26,9,358,210,"1,014",719,693,406,438,203,"4,599"
"Rockfish, Pacific ocean perch....",,0,5,0,8,23,0,0,5,4,46,1,0,92
"Rockfish, aurora............................",,31,28,16,52,76,44,133,7,95,69,41,58,651
"Rockfish, bank...............................",,921,3,"2,599","1,775","5,166",300,"1,266","2,110","1,450",841,36,45,"16,512"
"Rockfish, black-and-yellow........",,"1,294","1,268",0,0,"2,246","3,115","3,284","3,147","3,769","2,219","1,635","1,366","23,343"
"Rockfish, black..............................",,717,"1,485","1,882","9,862","18,680","14,453","24,042","17,316","20,994","4,588","2,338",735,"117,092"
"Rockfish, blackgill..........................",,"5,044","5,927","15,725","14,573","15,975","18,197","20,317","24,273","26,176","28,492","22,165","14,366","211,231"
"Rockfish, blue................................",,219,851,441,423,458,408,"1,118",647,973,754,263,356,"6,910"
"Rockfish, bocaccio.......................",,227,572,658,494,"1,026",699,"1,286",598,"1,290",521,709,416,"8,496"
"Rockfish, brown.............................",,"3,400","2,938",0,21,"6,892","6,913","8,172","7,645","5,767","6,798","4,254","5,876","58,677"
"Rockfish, calico.............................",,0,0,0,0,0,0,0,0,0,0,0,1,1
"Rockfish, canary............................",,0,0,99,114,144,130,336,6,48,14,87,0,978
"Rockfish, chilipepper....................",,"24,134","16,914","61,936","56,762","144,033","33,328","106,816","36,614","136,395","59,302","63,718","15,027","754,978"
"Rockfish, copper...........................",,841,305,0,47,"1,163",472,"1,069",755,699,751,213,166,"6,478"
"Rockfish, cowcod.........................",,0,0,0,0,0,66,0,0,0,0,0,0,66
"Rockfish, darkblotched................",,"1,582","1,865","3,984","7,810","8,624","2,183","1,173","1,052","4,539","3,363","1,180",851,"38,205"
"Rockfish, flag.................................",,29,55,0,0,79,18,24,24,19,14,31,25,318
"Rockfish, gopher...........................",,"4,000","4,319",0,0,"4,203","5,925","12,666","8,293","6,026","6,793","6,131","4,059","62,415"
"Rockfish, grass...............................",,"1,156","1,513",0,0,"3,198","2,220","5,022","4,077","3,279","3,158","2,630",998,"27,250"
"Rockfish, greenblotched.............",,16,0,0,0,0,3,19,0,0,102,10,63,212
"Rockfish, greenspotted................",,59,153,0,55,142,257,208,158,261,201,260,95,"1,847"
"Rockfish, greenstriped..................",,1,3,0,0,8,2,4,5,13,11,8,8,63
"Rockfish, group bolina..................",,35,0,0,0,0,32,0,0,0,0,0,0,67
"Rockfish, group gopher................",,35,0,0,0,0,0,0,0,0,13,3,0,51
"Rockfish, group nearshore...........",,0,0,0,0,17,10,5,9,4,0,0,0,45
"Rockfish, group red.......................",,0,6,4,0,27,353,356,144,56,47,369,126,"1,488"
"Rockfish, group rosefish................",,0,0,0,2,0,6,0,0,0,32,0,0,40
"Rockfish, group shelf.....................",,317,325,0,1,432,257,660,362,47,15,28,4,"2,447"
"Rockfish, group slope...................",,"28,047","3,325","12,805","19,523","19,730","6,690","10,342","12,787","29,900","7,593","12,220","9,562","172,524"
"",Species,January,February,March,April,May,June July,,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Rockfish, group small....................",,0,0,0,0,0,0  0,,6,0,0,0,0,6
"Rockfish, honeycomb..................",,0,0,0,0,1,0  0,,1,0,0,0,0,1
"Rockfish, kelp.................................",,92,91,0,0,166,150  245,,197,619,244,199,240,"2,242"
"Rockfish, olive................................",,5,37,0,32,62,163  113,,103,219,389,51,66,"1,239"
"Rockfish, pinkrose..........................",,0,0,0,0,0,0  0,,0,1,0,0,0,1
"Rockfish, quillback........................",,48,50,8,123,190,144  225,,289,559,282,4,0,"1,921"
"Rockfish, redbanded....................",,233,101,2,448,5,18  8,,99,168,57,52,0,"1,191"
"Rockfish, rosethorn........................",,3,0,0,0,0,0  0,,0,1,0,0,0,4
"Rockfish, rosy.................................",,24,69,0,0,12,13  17,,14,113,86,40,32,419
"Rockfish, shortbelly........................",,0,0,0,0,498,0  0,,0,0,0,0,0,498
"Rockfish, speckled........................",,85,288,0,0,15,3  0,,70,19,10,15,4,508
"Rockfish, splitnose.........................",,"13,843","9,074","5,205","8,918","43,387","7,689  6,969",,"5,369","13,491","12,945","11,084","3,237","141,211"
"Rockfish, squarespot.....................",,29,9,0,0,0,0  82,,1,0,4,0,2,126
