"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Anchovy, northern............................",,"4,205","171,847","512,675","742,129","244,532","331,932","156,844","144,108","144,106","206,879","385,706","650,815","3,695,778"
"Barracuda, California........................",,249,180,695,"13,871","12,605","37,531","14,246","1,170",76,194,72,56,"80,945"
"Bass, giant sea.................................",,888,509,550,705,522,"1,329","1,017","1,119",335,119,549,339,"7,981"
"Blackfish, Sacramento......................",,0,0,"1,438",239,62,0,0,0,0,221,489,0,"2,449"
Blacksmith........................................,,210,0,0,0,0,0,1,0,0,0,0,0,211
"Bonito, Pacific...................................",,120,109,160,0,807,222,805,"1,009",344,"1,127",297,410,"5,410"
"Bullhead, brown................................",,0,323,5,0,0,0,0,0,0,0,0,0,328
Butterfish (Pacific pompano)........,,"1,522",354,772,"3,125","4,222","1,228","7,195",276,"1,773","3,706",201,0,"24,373"
Cabezon...........................................,,"4,823","9,980",61,30,"28,695","26,075","17,800",0,0,0,0,0,"87,464"
Carp..................................................,,"10,795","4,032","5,318","8,491","15,313","3,664","4,307","4,742","6,083","7,763","21,218","16,478","108,204"
"Cod, Pacific......................................",,23,4,0,166,2,0,162,309,588,54,2,4,"1,314"
"Croaker, unspecifed.........................",,0,0,0,0,0,34,45,16,0,84,888,"2,973","4,040"
"Croaker, white..................................",,"26,501","10,646","15,983","10,909","11,846","20,286","22,315","13,576","12,944","7,887","12,245","3,447","168,584"
Dolphin (fish)................................,,0,12,792,376,0,0,0,12,0,0,666,"11,297","13,155"
"Eel, California moray.........................",,282,0,0,0,0,0,0,7,0,536,56,49,930
"Eel, monkeyface (prickleback).....",,32,8,0,0,0,39,18,0,0,0,0,0,96
Escolar..............................................,,235,219,650,"1,416",0,0,0,0,863,416,0,663,"4,462"
"Fish, unspecified...............................",,0,0,65,10,45,3,52,139,0,146,0,0,460
"Flounder, arrowtooth.........................",,"9,011","15,018","6,175","3,504","5,461","6,966","9,883","7,488","14,349","7,106","10,729",18,"95,708"
"Flounder, starry.................................",,"8,131","12,261","7,515","6,149","1,068","3,357","5,845","4,345","7,032","4,651","3,040",54,"63,448"
