"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Anchovy, northern........................",,"1,515,640","30,019","2,134,732","818,666","487,609","533,826","217,826","21,050","113,090","9,575",0,15,"5,882,048"
"Barracuda, California...................",,0,4,780,447,"30,667","8,351","2,358","45,196","13,886",0,0,6,"101,696"
"Bass, giant sea...............................",,788,803,462,378,223,996,"1,643",629,72,131,263,195,"6,583"
"Bass, kelp.......................................",,5,4,0,0,9,0,0,0,2,0,0,0,19
"Bonito, Pacific...............................",,77,"19,228","2,248","1,067,525","1,704,497",567,231,"1,238,941","629,866","38,922",49,92,"4,702,244"
Butterfish (Pacific pompano)......,,561,296,236,762,664,0,0,0,9,87,328,220,"3,163"
Cabezon........................................,,"6,668","2,908",0,0,"7,781","5,018","3,910","3,397","4,768","2,347","2,478","1,276","40,550"
Carp...............................................,,0,0,0,0,0,"1,600","3,561","1,783","1,395",0,0,0,"8,339"
"Croaker, unspecifed....................",,12,4,0,0,0,2,0,1,1,3,0,0,23
"Croaker, white...............................",,"10,315","11,154","9,998","10,299","2,831","3,098","66,145",363,422,"1,013",105,299,"116,042"
"Croaker, yellowfin.........................",,0,0,0,0,0,0,35,0,0,0,0,0,35
Dolphin (fish)..................................,,276,0,701,0,3,0,18,50,109,0,0,194,"1,351"
"Eel, California moray....................",,401,354,880,"1,040",853,187,725,501,90,0,0,0,"5,031"
"Eel, monkeyface (prickleback)...",,11,0,0,0,12,3,6,9,20,15,4,0,79
Eel...................................................,,0,0,0,0,0,0,28,0,0,0,0,0,28
Escolar............................................,,997,0,"1,769",93,0,0,0,0,0,0,0,614,"3,473"
"Fish, unspecified............................",,12,10,13,2,2,0,14,4,3,4,6,0,69
"Flounder, arrowtooth....................",,"5,252","4,976","20,475","15,187","4,157","5,174","3,753","9,722","16,221","8,005","5,759","1,425","100,106"
"Flounder, starry..............................",,"4,203","8,523","7,478","3,186",989,"1,464","1,535","1,328",852,"1,046","2,395","3,792","36,792"
"Flounder, unspecified...................",,98,19,198,32,0,0,139,63,0,198,100,80,928
Flyingfish.........................................,,0,0,0,0,0,0,0,2,0,0,0,0,2
"Goby, yellowfin.............................",,0,0,0,0,0,305,57,0,0,0,352,0,714
"Greenling, kelp..............................",,786,286,84,0,744,363,530,349,4,0,0,0,"3,146"
Grenadier......................................,,"9,434","6,219","7,695","10,392","13,664","14,937","15,710","24,905","30,391","13,982","5,705","3,430","156,464"
"Guitarfish, shovelnose...................",,"1,941","1,329",348,"2,280",187,430,157,208,137,42,77,446,"7,582"
Hagfishes........................................,,"233,002","179,274","170,719","75,068","137,585","206,235","130,901","184,026","171,278","112,339","53,713","67,103","1,721,243"
Halfmoon.......................................,,0,0,0,122,1,0,4,0,0,8,0,0,135
"Halibut, California.........................",,"69,050","55,688","63,859","36,432","34,439","80,103","79,497","70,488","49,977","22,794","23,394","32,864","618,586"
"Halibut, Pacific..............................",,0,0,0,0,0,0,64,0,0,0,0,0,64
"Herring, Pacific - roe on kelp......",,"6,654",0,0,0,0,0,0,0,0,0,0,0,"6,654"
"Herring, Pacific - roe....................",,"849,160","164,450",0,0,0,0,0,0,0,0,0,708,"1,014,318"
"Herring, Pacific..............................",,0,0,0,"10,697",0,"153,398",0,0,0,0,0,0,"164,095"
Jacksmelt.......................................,,"17,000",0,0,0,0,931,"5,821","4,758","4,358",16,523,258,"33,664"
"Kelpfish, giant................................",,0,0,0,0,0,2,0,0,0,0,0,0,2
"Lamprey, Pacific...........................",,0,0,0,0,12,0,0,0,0,0,0,0,12
Lingcod..........................................,,"3,370","2,712","8,207","4,483","13,185","12,051","14,311","17,401","17,423","16,743","11,000","3,653","124,539"
"Lizardfish, California......................",,13,52,245,97,102,0,0,0,0,27,32,15,583
