"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Anchovy, northern..........................",,"485,949","755,380","1,579,588","4,542,971","4,236,887","4,383,254","2,494,013","1,758,973","1,164,462","2,315,769","806,068","123,377","24,646,691"
"Barracuda, California......................",,6,0,0,607,"11,318","29,624","35,133","2,441",69,5,122,0,"79,325"
"Bass, giant sea..............................",,697,344,512,497,184,475,"1,393",662,448,196,162,319,"5,889"
"Blackfish, Sacramento...................",,0,0,0,0,0,0,0,0,0,0,0,2,2
Blacksmith.....................................,,0,0,7,0,50,0,0,0,0,0,0,0,57
"Bonito, Pacific................................",,0,494,631,169,0,22,51,500,"5,052",50,"16,053",0,"23,020"
Butterfish (Pacific pompano)......,,0,32,25,151,154,409,773,582,"2,768",769,138,107,"5,908"
Cabezon.........................................,,"3,152","4,624",89,9,"9,746","7,432","8,228","3,316","31,551",39,0,19,"68,204"
Carp...............................................,,903,0,506,0,"7,151","4,249","1,684","2,416","1,982",0,834,"3,568","23,293"
"Croaker, unspecifed.......................",,"4,719","3,513","2,221",74,89,532,526,"2,461","2,217",914,"1,146",562,"18,973"
"Croaker, white................................",,"1,714","2,032","5,994","6,750","7,118","9,168","6,055","2,622","4,045","3,622","4,695","9,854","63,669"
Dolphin (fish).............................,,0,0,109,0,0,0,0,61,182,0,30,0,382
"Eel, California moray......................",,0,590,0,0,7,0,0,0,0,107,0,0,704
"Eel, monkeyface (prickleback)...",,1,0,0,0,12,0,12,12,16,3,44,2,104
Escolar...........................................,,0,53,89,0,0,0,0,0,0,0,0,47,189
"Fish, unspecified............................",,0,0,0,0,0,25,0,0,0,0,0,0,25
"Flounder, arrowtooth......................",,"4,949","20,224","21,612","13,671","7,911","4,904","5,410","11,606","2,325","1,252",769,"1,060","95,693"
"Flounder, starry..............................",,"9,216","19,065","8,427","8,198","4,103","6,348","8,166","10,242","5,531","3,212",596,834,"83,938"
"Flounder, unspecified.....................",,166,271,70,101,713,45,0,968,180,65,12,19,"2,610"
"Goby, yellowfin...............................",,0,3,0,0,0,0,0,7,0,69,0,0,79
"Greenling, kelp...............................",,491,647,0,0,922,606,"1,151",22,0,0,0,0,"3,840"
Grenadier.......................................,,"5,281","11,747","16,142","24,258","18,796","43,269","10,037","43,711","36,002","47,678","25,491","11,865","294,276"
"Guitarfish, shovelnose....................",,"2,196","3,747","2,389","2,330",701,385,"3,103",431,576,348,734,804,"17,742"
Hagfishes.......................................,,"6,288",867,0,610,"25,269","15,408","6,431","6,924","26,913","19,309","7,991","3,026","119,036"
Halfmoon........................................,,0,7,92,3,80,0,32,93,5,68,54,15,449
"Halibut, California...........................",,"110,162","158,919","107,019","61,412","44,110","74,323","146,855","118,067","44,450","21,602","21,852","15,444","924,216"
"Herring, Pacific - roe......................",,"140,855","159,685",0,0,0,0,0,0,0,0,0,0,"300,540"
