Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, bocaccio...................","2,472","1,106",845,"27,104","1,694","1,505","4,805","3,036","3,704","5,164","2,719","2,295","56,450"
"Rockfish, brown.........................","5,356","3,997",0,1,"4,527","6,959","8,715","7,899","5,670","6,665","6,112","1,982","57,882"
"Rockfish, canary........................",44,43,441,934,560,196,267,232,483,"1,006",81,9,"4,296"
"Rockfish, chilipepper................","61,782","31,392","128,665","64,916","63,961","19,106","33,551","25,370","18,304","48,298","73,043","11,609","579,998"
"Rockfish, copper........................","1,357",635,2,4,858,983,"2,377","1,119","1,775","1,503","1,946","1,744","14,303"
"Rockfish, cowcod......................",23,17,28,33,24,74,35,11,71,49,14,46,425
"Rockfish, darkblotched............","2,368",249,917,429,553,490,284,151,391,668,"1,375",620,"8,494"
"Rockfish, flag..............................",54,70,0,83,100,46,134,37,65,4,36,69,697
"Rockfish, gopher........................","5,595","2,746",0,0,"4,991","6,309","8,585","6,173","6,242","6,302","6,377","3,554","56,874"
"Rockfish, grass..........................",964,"2,101",0,0,"3,800","1,169","4,360","2,829","2,951","1,976","1,951","1,597","23,698"
"Rockfish, greenblotched..........",27,61,2,0,2,0,0,6,0,0,0,0,98
"Rockfish, greenspotted............",114,172,174,33,341,264,522,421,489,652,488,214,"3,884"
"Rockfish, greenstriped.............",11,4,102,154,102,59,74,52,10,18,9,23,618
"Rockfish, group black/blue.....",0,0,0,0,0,0,0,0,4,0,0,0,4
"Rockfish, group bocaccio/chi",0,0,0,0,0,0,0,0,0,0,34,0,34
"Rockfish, group bolina.............",0,82,0,0,2,5,45,0,0,41,0,0,175
"Rockfish, group nearshore......",0,0,0,0,0,0,1,34,0,0,0,0,35
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,
"Rockfish, group red...................",518,44,0,152,634,"1,029",839,"1,160","1,501",565,781,776,"7,998"
"Rockfish, group rosefish.........",1,0,0,0,15,0,0,5,0,12,0,0,33
"Rockfish, group shelf...............",182,226,38,477,"2,914",890,"2,054","1,031","2,128",549,303,464,"11,255"
"Rockfish, group slope..............","8,195",944,"2,276","2,832","5,813",220,"2,315","2,226","23,952","16,779","1,410","2,676","69,638"
"Rockfish, group small...............",0,0,0,0,0,22,0,0,0,0,0,0,22
"Rockfish, honeycomb...............",0,0,0,0,1,0,0,0,0,0,0,0,1
"Rockfish, kelp.............................",218,157,0,0,170,53,205,123,222,158,112,274,"1,691"
"Rockfish, olive............................",290,131,0,0,158,161,331,364,234,212,177,129,"2,187"
"Rockfish, pinkrose.....................",15,0,0,0,0,0,0,0,0,0,0,0,15
"Rockfish, quillback....................",29,4,0,0,89,44,184,240,133,164,101,0,988
"Rockfish, redbanded.................",25,6,62,11,25,0,13,4,101,2,2,7,259
"Rockfish, rosethorn...................",4,2,0,0,2,0,28,55,25,27,6,0,148
"Rockfish, rosy............................",15,52,0,0,50,14,79,109,207,10,18,41,594
"Rockfish, shortbelly..................",0,0,16,3,14,20,1,0,1,0,0,0,55
"Rockfish, speckled....................",126,4,0,0,32,5,2,50,38,13,148,101,520
"Rockfish, splitnose...................","6,101","3,052","10,630","4,666",652,145,477,730,444,"5,340","3,138","1,679","37,053"
"Rockfish, squarespot...............",0,0,0,2,1,13,9,25,40,27,17,17,149
"Rockfish, starry..........................",69,213,0,0,327,19,217,183,310,27,126,327,"1,819"
"Rockfish, stripetail....................",0,0,0,2,0,0,1,0,0,1,0,0,4
"Rockfish, treefish......................",532,176,0,0,292,544,567,635,697,593,462,229,"4,727"
"Rockfish, unspecified...............",0,0,0,0,49,153,27,451,"1,002",99,68,138,"1,988"
"Rockfish, vermilion....................","5,358","3,251",30,21,"6,308","2,940","8,171","5,766","7,999","7,568","6,399","4,237","58,046"
"Rockfish, widow.........................",638,257,344,362,811,"3,160",615,525,504,"2,048",357,288,"9,909"
"Rockfish, yelloweye..................",7,0,92,3,3,9,0,0,10,14,0,0,138
"Rockfish, yellowtail...................","1,097",421,5,746,293,"1,488","2,346","1,358","2,450","1,310",979,384,"12,878"
Sablefish......................................,"250,688","173,232","266,178","463,460","345,304","123,152","261,320","301,360","418,022","510,775","342,349","155,373","3,611,212"
"Salmon, Chinook........................",0,0,0,0,"391,103","530,253","763,146","354,558","157,942","42,336",231,0,"2,239,568"
"Salmon, Roe (Chinook, Coho).","1,487",0,0,0,0,16,56,499,577,377,0,0,"3,010"
"Sanddab, Pacific.......................",2,3,"7,708","5,756",0,"2,362","16,071","3,738","1,552","8,674",716,130,"46,712"
"Sanddab, longfin........................",0,0,0,0,0,0,2,0,0,0,0,0,2
Sanddab.......................................,"11,235","5,447","11,299","6,317","27,141","30,460","59,965","27,829","17,351","8,121","2,881","1,581","209,627"
"Sardine, Pacific..........................","1,820,465","2,838,046","1,875,362","4,563,114","1,275,570","73,360","176,586","75,511","4,180,166","232,237","15,022",0,"17,125,439"
"Sardine, juvenile........................","1,014",0,0,0,28,0,0,0,0,0,0,0,"1,042"
Sargo............................................,1,0,0,0,1,0,0,5,1,0,0,0,8
"Scorpionfish, California............",86,45,126,0,680,506,606,520,47,9,2,0,"2,627"
"Sculpin, staghorn......................",158,115,65,73,90,91,109,262,187,0,294,0,"1,443"
"Seabass, white..........................","2,710","21,391","9,099",664,572,"139,553","46,803","27,270","3,176","7,941","3,258",676,"263,112"
"Seaperch, striped......................",703,0,962,353,0,0,0,0,2,0,645,812,"3,477"
"Shad, threadfin...........................",280,0,0,689,787,14,260,"1,885","2,675","5,300","1,905",53,"13,848"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,
"Shark, Pacific angel..................",971,"1,574",516,"1,355",244,623,"1,232",494,280,600,505,516,"8,911"
"Shark, bigeye thresher.............",0,0,0,0,0,0,0,0,0,521,550,648,"1,719"
"Shark, brown smoothhound....",54,8,9,21,"1,461",796,381,22,100,0,601,518,"3,970"
"Shark, horn..................................",0,0,0,0,10,0,0,0,0,0,35,0,45
"Shark, leopard............................",769,307,89,19,275,985,497,254,942,639,530,236,"5,542"
"Shark, pelagic thresher............",583,0,326,0,0,0,0,0,0,"6,030","1,217",0,"8,156"
"Shark, sevengill.........................",0,0,0,0,75,194,9,31,61,224,67,54,715
