Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
"Scorpionfish, California..............",4,8,0,0,6,128,157,60,26,218,5,27,639
Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Seabass, white.............................","34,689","6,826","6,642",337,"1,696","57,737","59,735","19,886","5,177","3,993",966,667,"198,352"
"Shark, Pacific angel....................","1,282","1,517",632,"1,246","2,515",731,343,526,890,315,370,716,"11,082"
"Shark, bigeye thresher...............",0,0,0,0,0,0,41,0,0,0,0,0,41
"Shark, brown smoothhound.......",42,11,0,13,0,25,24,61,71,0,0,0,247
"Shark, horn.....................................",0,47,0,0,0,0,0,0,0,0,23,12,82
"Shark, leopard...............................",24,0,0,138,161,11,37,0,0,46,41,22,479
"Shark, pelagic thresher..............",0,0,0,0,0,75,0,0,0,0,0,0,75
"Shark, shortfin mako....................",29,209,0,0,76,"1,371","4,016","1,192",33,396,881,849,"9,052"
"Shark, soupfin...............................",296,26,0,18,214,60,18,42,24,247,428,129,"1,502"
"Shark, spiny  dogfish...................",12,12,0,0,120,18,0,0,0,0,0,0,162
"Shark, thresher.............................",969,423,182,125,95,"2,805","1,915","1,749",284,272,"1,218","2,438","12,475"
"Shark, unspecified.......................",33,0,12,0,0,21,0,0,0,0,0,0,66
"Sheephead, California.................","2,486","1,093",32,0,"1,463","2,067","2,704","1,967","1,389","3,383","2,655","3,085","22,323"
"Skate, California...........................",13,0,0,0,0,0,0,0,0,0,0,0,13
"Skate, longnose............................",53,0,71,0,0,72,10,"1,347",0,27,0,67,"1,646"
"Skate, unspecified.......................",316,149,200,57,115,132,77,161,144,28,98,80,"1,557"
"Sole, Dover....................................",13,21,39,33,55,43,4,37,64,39,6,0,352
"Sole, English..................................",364,335,421,135,245,183,0,84,26,217,210,207,"2,427"
"Sole, petrale..................................",0,0,22,0,32,143,6,239,182,0,0,3,627
"Sole, rock.......................................",64,52,0,0,0,343,0,333,308,"2,050",5,2,"3,156"
"Sole, sand......................................",0,0,0,0,0,46,0,0,0,0,0,0,46
"Sole, unspecified.........................","1,336",661,"1,488",566,169,160,372,238,153,18,64,85,"5,309"
Splittail............................................,0,0,0,0,90,0,0,"2,148",0,0,0,0,"2,238"
"Surfperch, barred.........................",166,32,0,0,0,0,0,312,114,97,325,257,"1,303"
"Surfperch, black...........................",8,0,2,0,3,0,0,0,42,55,0,69,179
"Surfperch, rainbow.......................",0,1,0,0,0,2,0,6,14,0,2,0,24
