Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
"Shark, Pacific angel.....................","1,321","2,145","2,044","1,628","1,391","1,090","1,331","2,263","1,187",904,971,"1,724","17,999"
"Shark, bigeye thresher................",0,0,0,0,0,0,0,0,101,0,0,0,101
"Shark, brown smoothhound.......",13,23,17,16,55,42,12,26,12,0,55,0,271
"Shark, gray smoothhound..........",17,0,0,0,0,0,0,0,0,0,0,0,17
Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Shark, horn.....................................",49,9,0,0,0,0,0,0,0,0,0,0,,58
"Shark, leopard...............................",0,810,15,103,469,11,37,213,134,145,47,194,,"2,177"
"Shark, pelagic thresher...............",0,0,0,0,0,0,0,71,145,0,0,0,,216
"Shark, sevengill............................",0,0,0,0,0,0,0,58,0,0,0,0,,58
"Shark, shortfin mako....................",130,0,8,30,355,751,"1,204",242,725,"1,231",844,170,,"5,690"
"Shark, soupfin...............................",177,66,0,4,"1,344",0,731,566,130,41,399,388,,"3,845"
"Shark, spiny dogfish....................",11,0,0,0,0,0,0,0,0,0,0,130,,141
"Shark, thresher..............................","3,674",83,103,365,"2,264","2,263","2,922","1,218",604,493,426,"3,684",,"18,098"
"Shark, unspecified.......................",0,0,0,335,0,15,160,0,710,662,662,688,,"3,232"
"Sheephead, California.................","1,473","1,776",0,0,"4,178","1,584","1,742","2,860","2,458",92,591,"2,535",,"19,287"
"Skate, California............................",0,70,0,0,0,15,0,0,0,0,0,0,,85
"Skate, longnose............................",9,91,270,304,277,57,15,726,138,27,74,195,,"2,183"
"Skate, thornback...........................",11,0,0,0,0,0,0,0,0,0,0,0,,11
"Skate, unspecified.......................",841,429,46,328,515,156,119,196,76,159,424,647,,"3,936"
"Sole, Dover.....................................",169,10,68,531,34,43,36,38,40,23,13,40,,"1,045"
"Sole, English..................................",272,402,358,184,224,91,130,87,10,190,54,181,,"2,183"
