Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Shark, blacktip..................................",0,0,0,0,0,0,0,0,0,0,0,7,7
"Shark, brown smoothhound...........",113,83,23,92,7,2,3,0,0,24,0,0,346
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Shark, gray smoothhound...............",0,142,0,5,0,5,5,0,9,0,80,0,246
"Shark, leopard..................................",117,151,65,0,50,87,31,20,119,172,99,0,911
"Shark, sevengill.................................",0,0,0,0,0,0,0,0,26,0,0,0,26
"Shark, shortfin mako........................",0,228,198,0,0,"3,182","3,701","2,382",870,784,454,470,"12,270"
"Shark, sixgill.......................................",0,0,25,0,0,0,0,0,0,0,0,0,25
"Shark, smooth hammerhead..........",0,0,0,0,0,0,208,0,0,0,0,0,208
"Shark, soupfin...................................",642,256,20,0,59,245,42,51,0,22,238,28,"1,604"
"Shark, spiny dogfish.........................",12,20,0,89,5,72,26,"22,228","10,481",4,0,0,"32,937"
"Shark, swell........................................",0,0,0,0,0,0,0,0,12,0,0,0,12
"Shark, thresher..................................","2,216",136,763,259,346,"11,620","5,941","7,823","11,136","15,705","5,295","11,993","73,234"
"Shark, unspecified............................",0,0,0,13,0,0,0,0,0,0,0,0,13
"Shark, white......................................",0,0,0,0,0,0,60,68,0,0,0,0,128
"Sheephead, California....................","1,087",886,0,0,"1,400","2,042","2,091","2,765","1,259",318,"3,011",669,"15,526"
"Skate, California...............................",0,0,0,0,20,0,0,0,0,0,0,0,20
"Skate, big..........................................",0,0,0,0,123,0,0,0,0,0,0,0,123
"Skate, unspecified...........................",57,100,170,344,91,327,50,25,42,"1,326",40,12,"2,584"
"Smelts, true.......................................",15,0,0,0,0,0,0,0,0,0,0,0,15
"Sole, Dover........................................",23,56,0,54,14,0,0,0,0,47,0,10,204
"Sole, English......................................",0,34,502,149,0,167,83,0,0,15,0,0,949
"Sole, fantail.......................................",0,0,3,18,10,130,9,2,0,0,0,0,172
"Sole, petrale.....................................",12,0,0,7,0,0,990,0,4,0,0,0,"1,013"
"Sole, rex.............................................",51,6,0,0,0,0,0,0,0,0,0,0,58
"Sole, rock..........................................",0,0,7,0,0,1,0,0,0,0,0,0,8
"Sole, unspecified..............................","4,669","4,484","2,039",817,"7,283",147,251,60,22,173,178,143,"20,265"
"Surfperch, barred.............................",0,0,0,0,0,0,0,0,0,25,57,17,99
"Surfperch, black...............................",12,10,0,0,2,0,0,0,2,8,15,4,53
"Surfperch, rainbow..........................",0,0,0,0,1,0,0,1,1,0,2,0,5
"Surfperch, rubberlip.........................",0,0,0,0,0,0,0,19,3,7,7,0,36
"Surfperch, unspecified....................",26,0,0,0,1,15,0,0,0,0,0,13,56
"Surfperch, walleye...........................",0,0,0,0,0,0,0,0,0,0,0,1,1
"Surfperch, white...............................",0,0,0,0,0,0,0,0,0,0,2,0,2
Swordfish...........................................,135,64,497,0,0,"1,300",630,"1,052",851,"18,020","6,279","7,985","36,813"
"Thornyhead, longspine....................",612,568,719,750,696,900,311,360,848,376,0,0,"6,141"
"Thornyhead, shortspine...................","2,298","3,787","4,351","6,106","5,945","5,114","3,685","4,871","6,129","3,538",144,0,"45,965"
Thornyheads.....................................,0,412,0,0,0,0,0,142,0,0,0,0,554
"Tuna, albacore.................................",0,252,346,0,0,0,0,0,664,"4,499",82,26,"5,869"
