"",,,,,,,,,,,,,,,,,,,,Total
Species,January,,February,March,,April,,May,,June,,July,,August,,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,
"Anchovy, northern",0,,0,0,,0,,0,,0,,0,,0,,0,"11,176",0,0,"11,176"
"Barracuda, California",0,,0,0,,47,,"21,552",,"2,059",,84,,54,,0,0,36,0,"23,832"
"Bass, giant sea",18,,8,13,,173,,0,,188,,518,,368,,24,37,234,0,"1,581"
"Bonito, Pacific",203,,21,184,,0,,0,,68,,29,,23,,480,"1,045","1,097",951,"4,102"
Butterfish (Pacific,38,,107,65,,0,,50,,0,,0,,0,,0,0,0,78,338
pompano),,,,,,,,,,,,,,,,,,,,
Cabezon,50,,566,0,,0,,149,,389,,911,,534,,439,600,502,0,"4,139"
"Croaker, white","6,673",,619,"4,418",,"1,959",,728,,13,,73,,13,,312,"8,313","5,750","7,279","36,150"
Dolphin (fish),0,,0,0,,0,,0,,0,,0,,83,,0,0,0,0,83
Eel,0,,0,0,,0,,0,,0,,0,,5,,0,0,0,0,5
"Eel, California moray",16,,0,0,,0,,0,,18,,13,,387,,0,0,0,"1,639","2,073"
"Fish, unspecified",0,,0,0,,20,,19,,237,,13,,0,,14,0,0,0,304
Flyingfish,0,,0,0,,0,,0,,0,,0,,3,,0,0,0,0,3
"Greenling, kelp",261,,0,0,,0,,0,,0,,4,,0,,0,0,0,0,264
Grenadier,286,,0,0,,0,,375,,0,,0,,5,,1,143,"1,046",186,"2,042"
"Guitarfish, shovelnose",17,,64,42,,24,,578,,0,,0,,0,,5,0,9,16,755
"Hagfish, Pacific",0,,0,0,,0,,0,,0,,"2,951",,"1,242",,0,0,0,0,"4,193"
"Hagfish, unspecified","4,769",,"12,017","11,669",,"11,920",,"3,614",,"16,132",,0,,0,,0,0,0,0,"60,121"
Halfmoon,0,,0,0,,0,,0,,0,,0,,0,,2,0,0,0,2
"Halibut, California","7,248",,"10,968","13,254",,"7,858",,"11,286",,"14,043",,"19,108",,"14,189",,"10,940","7,483","9,441","7,105","132,922"
"Halibut, unspecified",0,,0,0,,0,,0,,0,,47,,0,,0,11,0,0,58
Lingcod,700,,816,0,,0,,594,,"1,522",,"1,330",,"1,045",,"1,120","1,511","1,096",463,"10,196"
"Lizardfish, California","7,001",,672,"7,048",,"5,111",,"2,403",,30,,110,,56,,77,"5,909","2,189","2,419","33,024"
"Mackerel, bullet",0,,0,0,,0,,0,,8,,0,,39,,0,0,0,0,47
"Mackerel, jack","5,618",,"16,457",0,,0,,0,,0,,645,,"16,965",,0,0,400,"4,725","44,810"
"Mackerel, Pacific","24,279",,"10,778",0,,0,,0,,0,,"587,961",,"596,837",,"22,938","1,259","45,528","5,731","1,295,310"
"Mackerel, unspecified",32,,6,133,,37,,22,,84,,127,,91,,138,32,3,33,737
"Midshipman, plainfin",0,,0,0,,0,,0,,0,,0,,0,,0,0,30,124,154
Opah,"1,185",,0,0,,0,,406,,0,,0,,0,,0,335,979,"2,227","5,132"
Species,January,,February,March,,April,,May,,June,,July,,August,,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,,
Opaleye,0,,0,0,,0,,0,,0,,0,,0,,1,0,,0,0,1
"Ratfish, spotted",0,,0,0,,0,,0,,1,,3,,0,,0,0,,0,0,4
"Ray, bat",41,,13,12,,0,,"1,410",,82,,351,,832,,"1,698",812,,"54,953",381,"60,585"
"Ray, Pacific electric",0,,20,0,,100,,0,,0,,20,,0,,0,0,,0,0,140
"Ray, unspecified",0,,0,0,,0,,70,,0,,0,,0,,0,0,,0,0,70
"Rockfish, aurora",18,,0,17,,0,,0,,0,,0,,0,,15,2,,11,0,63
"Rockfish, bank",49,,8,117,,0,,45,,0,,22,,4,,67,16,,34,38,401
"Rockfish, black",2,,0,0,,0,,0,,0,,0,,37,,0,0,,0,0,39
"Rockfish, black-and-yellow",0,,111,0,,0,,0,,0,,45,,55,,21,20,,59,0,311
"Rockfish, blackgill",834,,289,"1,793",,0,,0,,0,,351,,560,,299,306,,0,5,"4,437"
"Rockfish, blue",254,,240,0,,0,,28,,266,,184,,228,,408,340,,178,409,"2,534"
"Rockfish, bocaccio","1,521",,720,0,,0,,594,,649,,931,,610,,722,"1,105",,942,513,"8,306"
"Rockfish, brown",18,,9,0,,0,,19,,4,,25,,5,,0,67,,96,50,293
"Rockfish, canary",124,,55,0,,0,,11,,29,,110,,32,,45,25,,234,2,668
"Rockfish, chilipepper",19,,66,0,,0,,0,,82,,79,,96,,122,49,,61,41,613
"Rockfish, copper",527,,"1,327",0,,0,,218,,"1,213",,"1,904",,"1,080",,"1,226",798,,"1,771",627,"10,690"
"Rockfish, flag",20,,6,0,,0,,1,,18,,9,,13,,13,3,,10,8,100
"Rockfish, gopher",44,,114,0,,0,,14,,11,,125,,84,,78,30,,40,0,540
"Rockfish, grass",135,,349,0,,0,,238,,"1,061",,"1,303",,831,,336,263,,624,0,"5,139"
"Rockfish, greenblotched",70,,0,0,,0,,0,,0,,40,,6,,5,26,,0,0,146
"Rockfish, greenspotted",407,,240,0,,0,,89,,400,,361,,546,,296,556,,404,376,"3,675"
"Rockfish, greenstriped",23,,37,0,,0,,1,,10,,19,,7,,15,22,,18,20,173
"Rockfish, group bolina",20,,0,0,,0,,0,,0,,0,,0,,0,0,,0,0,20
"Rockfish, group nearshore",0,,12,0,,0,,36,,46,,25,,0,,9,0,,0,0,128
"Rockfish, group red",0,,0,0,,0,,200,,0,,0,,0,,0,0,,0,0,200
"Rockfish, kelp",18,,75,0,,0,,0,,0,,23,,39,,55,34,,86,0,330
"Rockfish, Mexican",0,,13,0,,0,,0,,0,,0,,0,,0,0,,0,0,13
"Rockfish, olive",0,,0,0,,0,,2,,0,,21,,24,,21,1,,0,0,70
