Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern........................",0,0,3286,0,2225,55249,28152,16549,33154,7001,519,0,146135
"Barracuda, California...................",0,0,0,0,80,773,334,148,5,0,40,0,1380
"Bass, giant sea.............................",178,102,38,83,0,552,210,72,115,0,51,269,1669
Blacksmith......................................,0,0,16,0,0,0,0,0,0,0,0,0,16
"Bonito, Pacific...............................",8,0,0,0,0,0,0,6503,0,454,49,239,7254
Butterfish (Pacific pompano).....,124,128,888,1027,253,0,25,443,0,14,9,83,2994
Cabezon..........................................,662,1214,0,0,1488,1362,2452,857,930,603,385,877,10826
"Croaker, white................................",322,114,71,24,247,12,408,17,0,1921,3640,299,7075
Dolphin (fish).................................,0,0,0,0,0,0,0,8,0,0,0,0,8
"Eel, California moray....................",0,19,0,0,0,66,0,0,0,0,0,0,85
"Eel, monkeyface (prickleback)..",0,0,0,0,0,0,4,0,0,0,0,0,4
Escolar............................................,0,1204,1088,0,0,0,0,0,0,0,0,0,2292
"Fish, unspecified..........................",33,0,0,210,200,0,0,3588,0,0,0,0,4031
"Flounder, arrowtooth....................",0,0,0,0,0,0,189,0,0,0,0,0,189
"Flounder, starry.............................",0,0,0,6,0,0,0,0,0,0,0,0,6
"Flounder, unspecified..................",0,0,0,0,0,0,0,0,0,3,0,0,3
Flyingfish........................................,0,0,0,0,0,1,0,0,0,0,0,0,1
"Greenling, kelp..............................",1,0,0,0,5,0,0,0,0,2,0,0,8
Grenadier........................................,649,181,629,37,0,158,311,195,8,0,18,52,2239
"Guitarfish, shovelnose................",27,0,5,81,0,0,0,0,0,0,100,0,213
Halfmoon.........................................,0,3,0,0,0,0,0,0,3,0,0,0,6
"Halibut, California.........................",8279,5979,2902,1804,5133,11542,17668,8858,5651,2923,4219,2647,77603
Jacksmelt........................................,0,0,0,0,0,0,6,0,0,0,1,0,7
Lingcod............................................,0,0,0,0,1367,734,2415,851,913,1161,2229,16,9686
"Lizardfish, California....................",2973,2458,5707,10797,6783,0,2,0,0,8419,7128,5424,49691
Louvar..............................................,52,0,0,0,0,0,0,0,0,0,23,30,105
"Mackerel, Pacific..........................",9384,0,10,79,91524,53213,38121,30833,22232,165729,293,9,411426
"Mackerel, jack................................",0,0,0,0,0,0,1234,331,0,6059,0,0,7624
"Mackerel, unspecified.................",0,5,0,0,0,43,42,37,23,72,237,20,480
Opah................................................,801,873,2061,0,0,0,0,0,0,194,747,828,5504
Opaleye...........................................,6,0,0,0,0,0,10,25,0,0,0,6,47
"Ray, Pacific electric....................",0,0,0,0,0,120,0,0,0,0,80,0,200
"Ray, bat...........................................",33,0,31,42,0,88,385,269,362,371,178,0,1759
"Ray, unspecified...........................",0,0,0,0,0,0,0,0,280,0,6,0,286
