Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern...........................",0,0,81884,0,221289,533826,71399,15025,98660,5060,0,0,1027143
"Barracuda, California......................",0,0,780,447,8749,8279,226,43074,13886,0,0,0,75442
"Bass, giant sea..................................",129,82,217,299,78,482,294,424,72,0,28,0,2105
"Bonito, Pacific..................................",77,19228,2220,0,9,116,128,420,111,331,37,92,22770
Butterfish (Pacific pompano).........,100,125,195,428,522,0,0,0,1,87,234,144,1836
Cabezon...........................................,775,330,0,0,1064,917,503,561,1213,320,635,286,6601
"Croaker, white..................................",8576,9554,9185,9818,2186,2226,35,0,10,997,86,47,42720
"Eel, California moray.......................",0,0,0,0,20,0,0,0,0,0,0,0,20
"Fish, unspecified...............................",11,0,0,0,0,0,14,4,0,3,0,0,31
"Flounder, starry.................................",0,5,0,0,0,0,0,0,0,0,0,0,5
"Flounder, unspecified......................",0,4,0,0,0,0,0,0,0,0,0,0,4
Flyingfish............................................,0,0,0,0,0,0,0,2,0,0,0,0,2
"Greenling, kelp.................................",0,0,0,0,0,8,1,0,0,0,0,0,9
"Guitarfish, shovelnose......................",1084,971,192,2244,179,342,58,208,0,42,77,221,5618
Hagfishes...........................................,21545,5832,3091,2847,100,0,0,0,1508,0,81,0,35004
Halfmoon..........................................,0,0,0,0,0,0,4,0,0,8,0,0,12
"Halibut, California............................",23054,26930,27207,18331,13658,25601,19896,16474,18014,9932,11858,10878,221833
Jacksmelt..........................................,6,0,0,0,0,0,0,0,0,9,0,0,14
Lingcod.............................................,0,0,0,0,329,282,311,151,109,53,84,0,1319
"Lizardfish, California.........................",13,52,245,97,102,0,0,0,0,27,30,5,571
Louvar...............................................,13,0,0,0,0,0,0,0,135,162,61,15,386
"Mackerel, Pacific.............................",7,0,15976,3315,157,29,0,0,10,27420,38601,31400,116915
"Mackerel, jack.................................",4,0,1400,0,5,6,5038,0,0,39211,77216,8420,131300
"Mackerel, unspecified....................",0,0,0,0,0,1,0,0,0,0,0,0,1
Opah.................................................,6956,0,0,0,0,0,0,606,182,1403,5504,1084,15735
Opaleye............................................,3,0,0,0,0,3,13,10,0,3,0,0,32
"Pomfret, Pacific................................",0,0,0,0,0,0,0,0,0,5,0,0,5
Queenfish..........................................,0,0,0,0,20,0,0,0,0,0,0,0,20
"Ratfish, spotted................................",0,0,0,0,0,0,0,0,0,0,0,11,11
"Ray, Pacific electric.........................",0,0,0,0,60,251,202,100,0,0,60,0,673
"Ray, bat............................................",0,0,0,0,0,0,0,0,0,0,230,347,577
"Ray, unspecified..............................",0,0,0,189,0,0,0,0,0,0,0,0,189
"Rockfish, aurora...............................",2,0,17,2,4,2,9,30,33,5,15,37,156
"Rockfish, bank..................................",26,0,0,0,0,0,0,0,0,0,0,10,36
"Rockfish, black-and-yellow...........",25,2,0,0,10,30,83,0,162,0,0,0,311
"Rockfish, black.................................",0,0,0,0,0,0,0,0,0,0,8,1,9
"Rockfish, blackgill.............................",4219,1910,69,10312,81,1868,4092,4495,1490,1037,3536,3268,36378
"Rockfish, blue...................................",140,82,0,0,147,105,12,103,7,0,0,35,630
"Rockfish, bocaccio..........................",232,256,0,8,660,251,83,105,200,141,135,97,2168
"Rockfish, brown................................",0,19,0,0,48,8,28,0,40,4,0,77,224
"Rockfish, chilipepper.......................",29,0,200,266,1,0,7,0,0,28,0,0,530
"Rockfish, copper..............................",326,191,0,0,553,690,690,86,583,15,50,848,4030
"Rockfish, cowcod............................",0,0,0,0,0,0,0,110,0,0,0,0,110
"Rockfish, flag....................................",46,46,0,1,28,26,4,17,38,69,12,7,293
"Rockfish, gopher..............................",44,0,0,0,11,36,117,17,358,0,46,204,834
"Rockfish, grass..................................",570,514,0,0,2020,1660,1904,2114,855,678,2028,123,12466
"Rockfish, greenblotched.................",0,0,0,0,0,1,0,0,5,0,0,41,47
"Rockfish, greenspotted...................",134,57,0,5,58,81,33,8,22,67,11,8,484
