Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, flag..............................",243,76,0,0,161,625,46,51,28,16,29,49,1323
"Rockfish, gopher........................",6596,3650,0,0,7160,7437,10087,6850,4938,6458,7552,4166,64894
"Rockfish, grass..........................",2923,847,0,0,2662,3797,3748,4111,5178,2312,2536,1749,29862
"Rockfish, greenblotched..........",8,0,0,0,8,8,0,14,15,4,0,2,58
"Rockfish, greenspotted............",526,181,28,32,545,454,377,219,239,229,124,271,3225
"Rockfish, greenstriped.............",96,7,38,185,138,69,36,72,15,36,14,27,732
"Rockfish, group bolina.............",0,0,0,0,41,104,238,29,0,0,28,0,440
"Rockfish, group deep nearsho",0,11,0,0,0,0,21,0,0,14,10,0,56
"Rockfish, group nearshore......",0,0,0,0,2,0,0,0,0,0,0,0,2
"Rockfish, group red...................",1414,622,32,0,766,656,932,244,251,588,0,28,5533
"Rockfish, group rosefish.........",0,0,0,0,0,0,0,260,0,0,0,0,260
"Rockfish, group shelf...............",487,1013,95,87,653,2616,2110,1696,1826,613,333,26,11555
"Rockfish, group slope..............",1090,4272,3666,3098,551,4816,2400,13470,5022,4145,1883,915,45328
"Rockfish, group small...............",0,0,0,0,66,0,5,0,0,0,0,4,75
"Rockfish, honeycomb...............",1,0,0,0,5,2,0,1,0,1,0,2,13
"Rockfish, kelp.............................",236,180,0,0,65,126,248,237,218,222,391,166,2089
"Rockfish, olive............................",155,191,8,0,182,261,442,399,440,139,107,43,2366
"Rockfish, quillback....................",81,24,66,222,449,533,152,92,260,297,145,89,2409
"Rockfish, redbanded.................",4,29,33,59,81,31,153,25,26,162,82,10,695
"Rockfish, rosethorn...................",17,0,0,0,1,3,12,14,16,25,7,13,106
"Rockfish, rosy............................",209,48,0,0,50,45,8,1,25,44,6,0,436
"Rockfish, rougheye...................",0,0,0,0,30,37,0,26,46,113,21,0,273
"Rockfish, shortbelly..................",0,0,0,0,4,0,4,0,0,0,1,21,30
"Rockfish, shortraker..................",0,0,0,8,18,0,9,20,16,110,42,28,251
"Rockfish, speckled....................",163,108,0,0,15,167,44,154,115,82,140,48,1035
"Rockfish, splitnose...................",1891,1021,2404,553,374,1285,244,1148,168,1065,2161,867,13179
"Rockfish, squarespot...............",48,4,0,22,16,6,8,0,3,6,26,4,141
"Rockfish, starry..........................",259,123,0,0,322,503,478,210,251,437,204,110,2896
"Rockfish, stripetail....................",0,1,2,0,16,0,0,2,0,4,8,0,33
"Rockfish, treefish......................",661,368,0,0,693,749,934,517,389,430,628,430,5799
"Rockfish, unspecified...............",193,29,6,2,332,55,221,178,59,205,0,0,1279
"Rockfish, vermilion....................",9859,4412,810,268,10634,7598,13591,9764,11048,9003,6584,3079,86651
"Rockfish, widow.........................",274,172,11,1082,1916,289,743,116,107,311,183,67,5271
"Rockfish, yelloweye..................",0,0,0,0,2,0,0,0,0,5,0,0,7
"Rockfish, yellowtail...................",430,587,36,433,1144,2093,1309,4670,3160,1573,1171,333,16939
Sablefish......................................,222774,239837,359596,373987,288227,322920,325739,411432,360816,445026,222761,137781,3710895
"Salmon, Chinook........................",0,0,0,0,510104,223800,146856,144958,116751,34261,0,0,1176730
"Salmon, Roe (Chinook, Coho).",0,0,0,0,5,5,40,260,474,197,0,0,981
"Sanddab, Pacific.......................",2377,1,0,0,0,10,3,18,2520,32,0,0,4960
"Sanddab, speckled...................",0,0,0,0,0,0,0,11,0,0,0,0,11
Sanddab.......................................,3768,2385,5356,12367,17966,31748,18993,20034,3805,6621,862,2012,125918
"Sardine, Pacific..........................",840647,490952,100591,1858144,233226,69894,19205,22192,21790,47104,41648,5642,3751035
Sargo............................................,0,0,0,0,0,0,22,0,0,0,2,0,24
"Scorpionfish, California............",169,335,0,0,676,745,1051,1254,546,315,78,62,5230
"Sculpin, staghorn......................",4,0,0,15,21,0,0,49,31,14,28,3,165
"Seabass, white..........................",1679,1935,1193,229,618,86399,69730,19592,8237,12662,2173,1260,205706
"Seaperch, striped......................",1798,1107,685,323,0,0,0,0,0,0,2,0,3915
"Shad, American..........................",0,0,0,50,0,10,54,8,0,0,0,0,122
"Shad, threadfin...........................",0,0,90,85,95,20,2410,3815,3775,5645,1196,155,17286
"Shark, Pacific angel..................",343,699,771,555,682,1476,2464,1820,1660,2606,590,1377,15042
"Shark, bigeye thresher.............",0,136,107,0,0,122,261,171,133,0,155,381,1466
"Shark, blue..................................",0,0,0,0,0,0,0,0,0,0,0,22,22
"Shark, brown smoothhound....",1841,2453,40,7,50,357,0,0,0,57,6,14,4825
"Shark, gray smoothhound.......",0,8,0,21,0,25,66,0,0,0,30,0,150
"Shark, horn..................................",0,2,0,0,0,0,0,0,0,8,46,12,67
"Shark, leopard............................",2209,873,566,304,215,686,1247,686,1133,506,185,288,8898
"Shark, pelagic thresher............",152,0,0,26,2214,22,154,0,620,0,68,137,3393
"Shark, sevengill.........................",72,94,0,0,0,35,41,121,48,42,60,0,513
"Shark, shortfin mako.................",4015,2721,314,280,3269,7668,2434,813,272,3907,970,3406,30068
"Shark, smooth hammerhead....",0,0,0,0,0,0,0,1478,1467,786,0,0,3731
"Shark, soupfin............................",208,349,219,184,62,577,493,1229,239,460,1040,250,5310
"Shark, spiny dogfish.................",147,70,76,9547,3685,389,130,0,0,0,0,1622,15666
"Shark, swell.................................",0,0,0,0,0,0,0,281,0,0,0,9,290
"Shark, thresher...........................",6576,2501,205,771,3651,16191,5940,4002,1767,8859,6863,17064,74391
"Shark, unspecified....................",684,500,96,49,13,405,1388,0,16,116,158,133,3558
"Sharks, cow................................",0,633,0,0,0,0,0,0,0,0,0,0,633
"Sheephead, California..............",12332,10791,0,81,5141,9114,6990,7897,8911,4512,5670,5296,76735
"Skate, California.........................",0,0,319,0,36,6,29,65,22,0,5,0,482
"Skate, big.....................................",2159,2439,3759,5500,7744,16669,6440,20139,3963,5466,58,33,74369
"Skate, longnose.........................",27487,17220,32053,22903,32867,38869,30279,48554,35282,56585,25202,11093,378393
"Skate, unspecified....................",2001,731,4081,1100,2299,5521,9119,257,1680,277,3283,1525,31874
"Smelt, night.................................",9755,37685,79861,43919,66275,87255,49986,9986,3418,35,0,0,388175
"Smelt, surf...................................",275,0,0,3334,21551,18361,15959,39587,867,4347,0,0,104281
"Sole, Dover..................................",294707,432735,542162,169560,356896,341306,331695,524774,298726,492656,251018,139434,4175668
"Sole, English...............................",9328,3870,4405,15945,14330,31123,20618,16875,14540,17412,1954,707,151107
"Sole, butter..................................",0,0,0,0,0,30,0,0,0,0,0,0,30
"Sole, fantail.................................",0,0,0,0,0,0,59,3,6,0,0,0,68
"Sole, petrale................................",159656,93419,57996,81023,120764,143980,85720,102158,57390,132037,158475,78961,1271578
"Sole, rex.......................................",9574,4776,8119,8899,7449,12028,7332,10129,10692,14675,5345,1819,100837
"Sole, rock.....................................",7,63,13,142,6,242,120,77,21,228,215,212,1344
"Sole, sand...................................",1273,1869,1445,1334,2419,2426,2542,2928,820,444,292,379,18169
"Sole, unspecified.......................",5007,8638,8661,5809,3689,87,165,257,347,5609,3502,2745,44515
Splittail.........................................,199,0,0,1014,144,0,85,0,249,477,0,110,2278
Stingray........................................,0,96,0,0,207,0,0,653,40,0,0,0,996
"Surfperch, barred.......................",4665,4547,3429,3385,0,0,0,1750,1536,2135,1573,2253,25273
"Surfperch, black.........................",1478,511,211,0,8,0,0,0,0,7,16,6,2237
"Surfperch, calico.......................",186,137,140,79,0,0,0,19,0,179,205,26,971
"Surfperch, pile............................",50,7,21,4,0,0,0,0,0,0,0,0,82
"Surfperch, rainbow....................",6,195,0,0,3,9,18,0,5,8,0,0,243
"Surfperch, redtail.......................",98,41,2213,1723,0,0,0,2326,1441,1338,0,0,9180
"Surfperch, rubberlip..................",83,117,23,0,0,0,3,0,0,3,0,1,229
"Surfperch, shiner.......................",5,12,31,247,113,47,13,55,50,0,15,0,588
"Surfperch, unspecified.............",1317,1212,162,20,0,4,0,84,131,639,51,545,4165
"Surfperch, walleye....................",13,110,75,19,0,0,0,0,0,0,0,0,217
Swordfish.....................................,179922,202831,302616,55913,19938,14954,7236,4494,3268,27956,36673,87647,943447
"Thornyhead, longspine............",129826,156011,182576,27241,51133,115126,110620,184009,20808,85454,20027,25862,1108693
"Thornyhead, shortspine...........",84216,68341,80254,35606,58329,78545,84112,78088,43564,65752,45806,41551,764164
Thornyheads...............................,20,1183,587,266,113,295,996,1161,1002,1049,46,292,7009
"Tomcod, Pacific.........................",0,573,0,0,0,0,0,0,0,0,0,0,573
"Trawled fish, unspecified........",504,1306,1298,268,253,162,584,859,316,506,1053,2890,9999
Triggerfish...................................,0,0,0,0,2,1,4,1,4,0,0,1,13
"Tuna, albacore...........................",647,375,1622,2760,14331,2839,9712,19247,30780,43864,187,566,126931
"Tuna, bigeye...............................",54507,114658,101701,106602,80025,39460,58431,109371,97269,65811,44430,77687,949952
"Tuna, bluefin...............................",1965,0,0,484,109309,2958,12698,81296,263,457,5213,1340,215982
"Tuna, skipjack............................",527,561,283,99,98,118,475,588,62376,174742,1468,381,241716
"Tuna, unspecified......................",0,0,90,0,0,0,0,0,689,0,0,0,779
"Tuna, yellowfin...........................",2577,2264,1934,2612,2547,380589,114951,69115,255498,463309,8107,6467,1309971
"Turbot, curlfin.............................",437,0,241,130,676,409,460,1335,633,112,478,203,5114
"Turbot, hornyhead.....................",0,0,55,0,0,0,31,0,0,0,0,0,86
Turbot...........................................,35,25,64,0,6,50,225,594,475,373,17,0,1864
Wahoo..........................................,310,1742,2899,6794,3279,1586,736,1143,987,1775,1670,4674,27595
"Whitefish, ocean........................",1691,1071,56,39,298,254,273,230,556,997,823,629,6917
"Whiting, Pacific..........................",904,395,503,2277,326,718,758,717,99,77,20,418,7212
Yellowtail.....................................,3630,2826,3879,4092,5776,17140,22956,15006,26693,2361,1931,743,107032
"Crab, Dungeness.......................",1488549,511163,348754,199958,155247,186421,222933,0,0,0,0,0,3113024
"Crab, armed box.........................",0,0,0,0,0,0,16,48,0,0,0,0,64
"Crab, box......................................",2170,390,1505,524,1253,411,627,116,32,158,377,0,7563
"Crab, brown rock........................",22618,20339,20725,27930,28260,21595,29296,27464,27281,23236,4099,2016,254859
"Crab, claws.................................",75,80,108,25,0,0,244,148,130,8,0,169,987
"Crab, hermit.................................",0,3,0,0,0,0,0,0,0,0,0,45,48
"Crab, king.....................................",606,572,451,1497,3182,2967,2858,2380,131,43,78,66,14830
"Crab, pelagic red.......................",20,0,0,0,0,0,0,0,0,0,0,0,20
"Crab, red rock.............................",88348,89861,128115,134067,146912,125469,145611,115380,130566,77238,8420,3858,1193845
