Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Turbot..............................................,0,0,0,0,0,0,0,0,2,0,0,0,,2
"Whiting, Pacific.............................",0,"1,469",2,2,0,0,0,0,"2,104",472,0,14,,"4,063"
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness..........................","112,947","38,602","21,517","7,290","7,413","3,330","1,962",0,0,0,"10,647","333,373",,"537,081"
"Crab, claws....................................",0,0,0,0,0,0,381,0,0,0,0,0,,381
Echinoderms,,,,,,,,,,,,,,
Species,January,February,March,April,May June,,July,August,September,October,November,December,,Landings
alifornia Waters,,,,,,,,,,,,,,
Echinoderms,,,,,,,,,,,,,,
Sea stars........................................,0,0,34,0,0  0,,0,0,0,0,0,0,,34
"Sea urchin, purple........................","1,092",0,0,0,0  0,,89,0,0,0,0,0,,"1,181"
"Sea urchin, red..............................","336,909","382,857","108,784","317,848","477,219  227,027",,"368,933","483,055","262,723","170,208","288,652","171,832",,"3,596,047"
Mollusks,,,,,,,,,,,,,,
"Octopus, unspecified..................",813,140,11,2,80  0,,0,0,0,0,0,80,,"1,126"
"Squid, jumbo..................................",29,0,0,0,0  0,,0,0,85,0,0,0,,114
Waters Area Total:,"691,436","608,696","506,508","925,623","880,862  599,563",,"1,238,867","829,943","915,309","549,617","526,285","580,563",,"8,853,273"
aters North Of State,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Tuna, albacore..............................",0,0,0,0,0  0,,0,0,0,"2,852",0,0,,"2,852"
Waters Area Total:,0,0,0,0,0  0,,0,0,0,"2,852",0,0,,"2,852"
aters South Of State,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
Cabezon..........................................,0,0,0,0,501  0,,0,0,0,0,0,0,,501
"Greenling, kelp..............................",0,0,0,0,141  0,,0,0,0,0,0,0,,141
Lingcod............................................,0,0,0,0,270  0,,0,0,0,0,0,0,,270
"Rockfish, black-and-yellow.......",0,0,0,0,61  0,,0,0,0,0,0,0,,61
"Rockfish, black..............................",0,0,0,0,9  0,,0,0,0,0,0,0,,9
"Rockfish, gopher...........................",0,0,0,0,142  0,,0,0,0,0,0,0,,142
"Rockfish, grass.............................",0,0,0,0,171  0,,0,0,0,0,0,0,,171
"Rockfish, vermilion.......................",0,0,0,0,8  0,,0,0,0,0,0,0,,8
Waters Area Total:,0,0,0,0,"1,302  0",,0,0,0,0,0,0,,"1,302"
Grand Total:,"691,436","608,696","506,508","925,623","882,164  599,563",,"1,238,867","829,943","915,309","552,469","526,285","580,563",,"8,857,427"
"",,,,,*******************,,,,,,,,,
"",,,,,,,,,Total Records:,"10,733",,,,
"",,,,,End of Report,,,,,,,,,
