Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Skate, unspecified.......................",0,13,39,0,0,220,6,0,49,11,0,0,338
"Sole, Dover.....................................","9,324","29,755","58,850","37,687","22,977","106,130","39,678","167,870","93,906","112,765","37,441","45,386","761,769"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
alifornia Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Sole, English..................................",140,156,858,743,999,"1,326",966,403,"2,008","2,280",445,419,"10,743"
"Sole, curlfin....................................",0,0,0,0,0,0,0,0,35,0,0,0,35
"Sole, petrale...................................","9,979","26,891","17,718","12,246","19,208","9,918","11,951","55,920","16,590","42,628","18,001","29,703","270,753"
"Sole, rex..........................................",393,384,647,773,758,820,415,"2,841","1,135","3,730",876,"6,722","19,494"
"Sole, rock........................................",0,0,0,0,0,0,0,163,0,0,4,11,178
"Sole, sand......................................",0,0,0,0,0,0,0,0,0,0,8,0,8
"Sole, slender..................................",0,0,0,0,69,41,44,0,10,17,34,24,239
"Surfperch, calico..........................",0,0,0,93,0,0,0,6,0,0,0,0,99
"Surfperch, redtail..........................",0,0,"1,639",633,0,0,0,243,0,0,0,0,"2,515"
"Surfperch, unspecified................",0,0,0,0,2,0,0,0,0,0,0,0,2
"Surfperch, walleye.......................",0,0,0,8,0,0,0,0,0,0,0,0,8
"Thornyhead, longspine...............","2,544","10,674","51,076","25,120","24,118","48,808","14,370","113,345","82,564","63,382","23,486","28,183","487,670"
"Thornyhead, shortspine..............",772,"3,783","10,452","8,725","6,096","16,242","6,440","37,694","24,585","23,102","6,598","7,356","151,845"
Thornyheads..................................,0,0,0,262,0,0,0,0,0,0,0,0,262
"Trawled fish, unspecified...........",10,163,231,136,157,0,0,0,294,289,100,51,"1,431"
"Tuna, albacore..............................",0,0,0,0,0,164,0,"9,460","7,477",0,0,0,"17,100"
Turbot..............................................,0,0,0,0,0,0,0,11,0,0,0,0,11
"Whitefish, ocean...........................",0,0,0,0,0,0,0,0,0,0,0,490,490
"Whiting, Pacific.............................",360,0,0,1,0,0,0,0,0,6,1,0,368
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness..........................","596,776","378,202","139,673","111,999","77,304","41,155","9,290",0,0,0,"56,856",0,"1,411,255"
Echinoderms,,,,,,,,,,,,,
"Sea cucumber, giant red............",0,0,908,"1,021","2,098",567,217,781,0,0,0,0,"5,592"
"Sea urchin, purple........................",103,0,0,0,0,0,0,0,0,0,249,0,352
"Sea urchin, red..............................","56,410","39,358","86,982","20,031","37,822","16,246","15,475","49,624","34,444","17,263","37,428","47,867","458,950"
Mollusks,,,,,,,,,,,,,
"Octopus, unspecified..................",0,0,189,30,63,59,0,157,0,8,0,0,506
"Squid, jumbo..................................",0,0,0,3,0,0,0,0,15,0,92,0,110
Waters Area Total:,"694,983","518,949","426,089","355,412","371,315","448,880","160,098","738,684","466,971","521,576","336,342","288,256","5,327,556"
aters South Of State,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Lingcod............................................,0,0,0,0,0,0,0,0,22,0,0,0,22
"Salmon, Chinook...........................",0,0,0,0,0,0,0,0,10,0,0,0,10
Waters Area Total:,0,0,0,0,0,0,0,0,32,0,0,0,32
Grand Total:,"694,983","518,949","426,089","355,412","371,315","448,880","160,098","738,684","467,003","521,576","336,342","288,256","5,327,587"
Species,January,February,March,April,May June,,July,August,September,October,November,December,Landings
"",,,,,*******************,,,,,,,,
"",,,,,,,,,Total Records:,"8,619",,,
"",,,,,End of Report,,,,,,,,
