Species,January,February,March,,April,,May,June,July,,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,
Cabezon....................................,"1,334",817,0,,0,,"1,636",786,738,,644,"1,159",378,307,31,"7,830"
"Flounder, arrowtooth..................",435,402,0,,159,,549,326,546,,"2,336",949,832,0,0,"6,534"
"Flounder, starry..........................",0,0,0,,0,,0,0,6,,0,0,0,0,0,6
"Greenling, kelp...........................",203,45,0,,0,,209,53,161,,0,7,0,0,0,677
Grenadier...................................,330,0,0,,0,,0,"15,145","16,714",,719,"1,611","3,581",0,"1,324","39,424"
"Halibut, California.......................",0,0,0,,0,,0,72,0,,42,22,0,0,0,136
Lingcod......................................,724,"1,569","1,292",,"1,251",,"5,927","7,967","7,583",,"4,208","6,345","3,030","7,725",489,"48,111"
Opah..........................................,0,0,0,,0,,0,0,0,,24,0,0,0,0,24
"Rockfish, China..........................",231,208,0,,0,,312,570,489,,771,563,248,124,54,"3,570"
"Rockfish, bank...........................",0,0,0,,0,,0,0,"3,450",,0,0,0,0,0,"3,450"
"Rockfish, black-and-yellow.........",44,104,0,,0,,364,372,563,,213,355,60,62,0,"2,136"
"Rockfish, black...........................",15,49,0,,0,,345,654,275,,415,166,73,26,11,"2,029"
"Rockfish, blackgill......................",12,1,2,,0,,0,5,"3,500",,0,472,2,9,0,"4,003"
"Rockfish, blue............................",191,199,0,,0,,92,221,75,,291,29,99,40,17,"1,252"
"Rockfish, bocaccio.....................",0,0,0,,0,,298,19,193,,5,61,0,0,0,576
"Rockfish, brown.........................",365,8,0,,0,,10,226,135,,183,97,48,47,0,"1,120"
"Rockfish, canary........................",0,0,0,,0,,87,76,342,,50,4,96,86,3,744
"Rockfish, chilipepper..................",5,0,224,,343,,"6,253","1,041","7,106",,"2,157","7,261",241,729,0,"25,360"
"Rockfish, copper........................",262,14,0,,0,,0,393,395,,689,429,52,188,136,"2,559"
"Rockfish, darkblotched...............","1,500","2,114","8,129",,"5,781",,"3,391","8,327","7,549",,"5,098","3,232","3,145","1,442",389,"50,097"
"Rockfish, gopher........................",766,566,0,,0,,"1,429","1,333","1,617",,"1,712",718,738,461,103,"9,442"
"Rockfish, grass..........................",38,14,0,,0,,184,58,183,,32,178,16,121,0,823
"Rockfish, group nearshore.........",0,0,0,,0,,0,0,96,,0,0,0,0,0,96
"Rockfish, group red....................",0,0,0,,0,,0,0,0,,0,0,6,0,0,6
"Rockfish, group rosefish.............",0,0,0,,283,,0,0,155,,5,0,0,0,0,443
"Rockfish, group shelf.................",0,0,0,,0,,39,68,136,,77,172,147,76,0,715
"Rockfish, group slope................","2,595","1,653","1,485",,"2,940",,"7,794","21,513","6,648",,"10,634","14,365","3,282","10,516","7,055","90,480"
"Rockfish, group small.................",0,0,0,,0,,4,3,0,,0,0,0,0,0,6
"Rockfish, quillback.....................",32,2,0,,0,,4,58,145,,178,129,19,38,76,681
"Rockfish, redbanded..................",0,0,0,,0,,65,80,0,,0,0,0,0,0,145
"Rockfish, splitnose.....................","18,001","4,809","2,117",,"1,372",,"2,944","9,716","8,912",,"9,547","7,493","6,228","10,245","2,267","83,651"
"Rockfish, starry..........................",0,0,0,,0,,0,3,0,,0,0,0,0,0,3
"Rockfish, unspecified.................",54,18,0,,0,,4,89,230,,53,14,49,11,13,535
"Rockfish, vermilion.....................",430,411,0,,0,,487,788,775,,780,480,197,176,77,"4,601"
"Rockfish, widow.........................",0,0,0,,0,,0,0,191,,4,0,0,0,0,195
"Rockfish, yellowtail.....................",0,3,0,,0,,37,44,10,,22,1,1,0,0,117
Species,January,February,March,April,May June,,July,August September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Sablefish....................................,"44,688","19,039","22,366","37,574","61,877  160,169",,"117,010","59,048  51,494",,"66,702","72,642","26,312","738,921"
"Salmon, Chinook........................",0,0,0,"9,371","14,179  7,801",,"90,368","231,086  1,795",,0,0,0,"354,601"
"Shark, soupfin............................",0,0,0,0,0  0,,0,0,0,43,0,0,43
"Skate, unspecified......................",20,0,0,352,"1,185  2,481",,"3,169","4,881  5,602",,"1,024","2,949","1,443","23,106"
"Sole, Dover................................","84,351","30,091","1,036","38,453","124,194  127,621",,"169,257","193,602  142,496","149,969",,"67,309","11,283","1,139,662"
"Sole, English..............................","1,911","1,819","5,278","2,898","8,436  2,561",,"3,246","381  3,771",,"7,488","8,121","1,011","46,921"
"Sole, petrale...............................","87,993","32,087","23,608","11,225","33,912  35,560",,"58,961","4,266  16,633",,"35,266","84,058","40,696","464,265"
"Sole, rex....................................","7,348","1,747",664,"2,656","2,462  3,594",,"8,440","6,548  4,249",,"5,981","6,977","2,061","52,727"
"Sole, rock...................................",0,0,0,0,0  0,,0,0,0,101,211,0,312
"Sole, sand..................................",0,1,0,0,0  0,,0,0,0,0,0,0,1
"Sole, slender..............................",0,0,0,0,0  0,,0,145  27,,0,0,0,172
"Surfperch, unspecified...............",7,0,0,0,0  0,,0,0,0,0,0,0,7
"Thornyhead, longspine...............","34,428","9,606",99,"4,502","23,110  36,466",,"52,103","31,078  12,027",,"30,529","11,004","6,585","251,537"
"Thornyhead, shortspine.............","12,526","3,327",191,"3,885","8,143  12,938",,"17,166","11,636  8,845",,"11,210","9,107","2,914","101,889"
"Tuna, albacore...........................",0,0,0,0,0  0,,537,"0  14,143",,0,0,0,"14,680"
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness.......................","194,297","61,417","54,000","5,603","9,101  12,073",,"1,853",0,0,667,0,"306,997","646,007"
"Crab, box...................................",0,7,0,0,0  0,,0,0,0,0,0,0,7
Echinoderms,,,,,,,,,,,,,
"Sea cucumber, giant red............",0,0,0,0,0  0,,0,"1,022  859",,0,0,0,"1,881"
"Sea urchin, red...........................","127,596","94,755","219,606","53,824","108,749  62,573",,"96,133","183,519  171,071","172,324",,"126,780","128,588","1,545,518"
Mollusks,,,,,,,,,,,,,
"Octopus, unspecified.................",0,0,0,0,0  0,,0,200  23,,0,0,0,223
"Squid, jumbo..............................","5,253",355,0,40,83  130,,"106,162","18,558  2,652",,"1,282","6,026","2,531","143,072"
