Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Cabezon............................................,325,339,0,0,"6,630","3,851","6,310","4,811","1,217",0,0,0,"23,484"
"Fish, unspecified...............................",6,4,0,0,0,0,0,0,0,0,0,0,9
"Flounder, arrowtooth.........................",410,168,319,53,34,182,"2,669",272,3,0,0,71,"4,181"
"Flounder, starry.................................",0,0,0,0,0,0,0,0,0,6,0,0,6
"Flounder, unspecified........................",0,0,1,0,0,0,0,0,0,0,0,0,1
"Greenling, kelp..................................",78,58,0,0,313,86,338,89,0,0,0,0,962
Grenadier..........................................,0,0,432,570,"6,968",178,"11,035",445,"16,254","8,507",82,15,"44,486"
"Halibut, California..............................",0,0,0,0,0,0,36,0,0,0,0,0,36
Lingcod.............................................,0,0,0,0,"2,785","2,756","5,941","3,353","4,187","1,987",569,0,"21,577"
"Mackerel, Pacific...............................",0,0,0,0,0,0,106,0,8,0,0,0,114
"Mackerel, jack...................................",0,0,0,0,0,0,13,0,0,0,0,0,13
"Mackerel, unspecified........................",0,0,0,0,0,0,127,4,0,0,0,0,131
"Rockfish, China.................................",148,97,0,0,311,329,426,402,617,496,341,19,"3,185"
"Rockfish, bank..................................",0,0,0,0,0,"8,691","25,824","17,240","43,450",0,0,0,"95,205"
"Rockfish, black-and-yellow................",84,43,0,0,"1,243",709,"1,610","1,123",460,262,61,10,"5,604"
"Rockfish, black..................................",61,17,0,0,268,154,344,669,253,433,297,12,"2,505"
"Rockfish, blackgill..............................",111,178,437,37,115,"26,800","19,658",0,0,792,0,0,"48,128"
"Rockfish, blue...................................",53,242,0,0,152,102,823,435,350,129,104,10,"2,399"
"Rockfish, bocaccio............................",0,0,6,0,5,27,231,0,221,0,7,0,496
"Rockfish, brown.................................",0,5,0,0,72,0,2,115,17,21,0,0,233
"Rockfish, chilipepper.........................",0,0,456,0,593,0,"18,252","6,043","10,202",0,0,0,"35,546"
"Rockfish, copper...............................",5,21,0,0,63,16,7,172,9,327,124,0,743
"Rockfish, darkblotched......................",0,0,715,0,"13,419","8,342","3,898",2,856,0,0,0,"27,232"
"Rockfish, gopher...............................",323,166,0,0,"1,047",892,"1,622",681,"1,761","1,265",575,82,"8,413"
"Rockfish, grass.................................",29,4,0,0,418,168,452,577,142,9,11,0,"1,810"
"Rockfish, greenspotted......................",0,0,0,0,5,0,0,0,0,0,0,0,5
"Rockfish, group bolina.......................",0,0,0,0,63,0,0,0,0,0,0,0,63
"Rockfish, group deepwater reds........",0,0,0,0,0,0,0,25,0,0,0,0,25
"Rockfish, group gopher.....................",0,161,0,0,0,0,0,0,0,0,0,0,161
"Rockfish, group red...........................",0,73,0,0,46,0,3,2,0,0,0,0,124
"Rockfish, group rosefish....................","5,468","3,173","1,199",409,"9,426","18,522","57,319","16,869","29,232","1,502","2,869","1,179","147,167"
"Rockfish, group slope........................",645,0,"1,675",47,"16,156","42,838","4,366","3,637","4,217",330,"1,621",368,"75,900"
"Rockfish, kelp....................................",0,0,0,0,0,0,4,0,0,0,0,0,4
"Rockfish, quillback............................",17,1,0,0,27,0,4,31,1,69,42,0,192
"Rockfish, redbanded.........................",5,0,0,2,0,0,0,2,0,0,0,0,9
"Rockfish, splitnose............................",0,0,117,40,428,"10,533",93,18,"6,093",0,0,0,"17,322"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, squarespot.........................",0,0,0,0,0,0,0,0,0,2,0,0,2
"Rockfish, unspecified........................",13,29,0,0,8,1,4,7,54,41,4,0,160
"Rockfish, vermilion............................",143,155,0,0,394,281,879,548,938,795,539,70,"4,743"
"Rockfish, yellowtail............................",0,20,0,0,59,109,93,53,27,43,7,15,424
Sablefish...........................................,"55,568","33,777","77,454","40,402","71,192","186,959","105,204","75,402","83,928","88,463","80,287","49,837","948,472"
"Salmon, Chinook...............................",0,0,0,0,"14,995","32,133","806,460","318,018","116,538","3,880",0,0,"1,292,024"
"Salmon, Roe (Chinook and Coho)",0,0,0,0,0,0,0,9,16,0,0,0,25
"Sanddab, longfin...............................",0,0,0,0,4,0,0,0,0,0,0,0,4
"Shark, soupfin...................................",0,0,0,0,0,0,0,62,0,0,0,0,62
"Shark, spiny dogfish..........................",0,0,0,0,0,0,0,0,277,0,0,0,277
"Shark, swell.......................................",0,0,0,0,0,0,0,0,0,17,0,0,17
"Skate, unspecified.............................",314,236,"1,874",0,825,"1,359","4,759",661,0,38,127,220,"10,413"
"Smelt, night.......................................",0,0,0,0,0,0,0,0,132,0,0,0,132
"Smelt, surf.........................................",0,0,0,0,240,0,0,0,0,0,0,0,240
"Sole, Dover.......................................","106,046","24,732","125,276","53,983","155,798","130,698","266,502","107,863","110,525","149,204","98,928","66,298","1,395,853"
"Sole, English.....................................",0,341,799,132,"1,335",109,"10,624","1,759","1,234",35,33,50,"16,451"
"Sole, petrale......................................","1,224",777,"4,171",30,764,29,251,421,"1,621",0,"2,794","1,205","13,287"
"Sole, rex............................................","8,750","7,277","6,829","1,625","2,694","7,066","22,667","11,982","8,050","4,508","4,342","5,199","90,989"
"Sole, unspecified...............................",0,0,0,0,0,0,0,2,0,0,0,0,2
"Surfperch, redtail...............................",0,0,0,142,0,0,0,1,0,0,0,0,143
"Surfperch, unspecified.......................",8,0,0,0,16,0,0,6,4,0,0,0,33
"Thornyhead, longspine......................","14,911","16,722","29,229","17,276","36,725","29,005","49,986","12,034","23,026","56,924","27,264","30,282","343,384"
"Thornyhead, shortspine.....................","6,303","3,665","9,736","2,933","11,806","10,055","18,180","8,261","9,724","17,265","9,749","7,731","115,408"
Thornyheads.....................................,0,0,0,0,0,980,0,306,0,0,0,"2,853","4,139"
"Tuna, albacore..................................",0,0,0,0,0,0,15,"5,216","110,897","1,859",0,0,"117,986"
Wahoo...............................................,0,0,0,0,0,0,9,0,0,0,0,0,9
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness..............................","102,066","29,106","19,124","6,983","7,561","3,468","3,398",0,0,0,"35,547","693,015","900,269"
