California Waters - Finfish,,,,,,,,,,,,,
Species January,February,March,April,May,June,,July,August,September,October,November,December,Landings
"Skate, big",0,0,0,0,126,0,0,0,0,0,0,0,126
"Skate, longnose",0,0,6,125,569,954,868,"1,619","7,093","1,352","1,090",312,"13,988"
"Sole, curlfin",0,0,0,0,8,0,4,0,0,0,0,0,12
"Sole, Dover","6,986",0,"11,577","11,754","49,523","34,639","25,404","79,787","47,068","74,003","29,356","11,139","381,236"
"Sole, English",63,0,481,14,360,"1,133",739,"2,634","2,145",85,139,368,"8,161"
"Sole, petrale","8,793",0,"24,798","11,137","12,510","7,650","26,393","29,155","23,893","10,185","20,294","11,908","186,716"
"Sole, rex",736,0,"2,445",746,"1,569",355,"1,490","5,517","2,444","5,959","5,078","1,527","27,866"
"Sole, rock",8,0,0,0,0,7,0,0,5,110,36,0,166
"Sole, sand",0,0,0,0,0,0,0,0,0,1,0,0,1
"Sole, slender",0,0,40,0,33,75,69,171,25,0,73,0,486
"Sole, unspecified",0,0,0,0,33,0,10,168,2,46,2,0,260
"Surfperch, calico",39,457,718,227,0,0,0,0,0,0,0,0,"1,441"
"Surfperch, rainbow",166,0,0,0,0,0,0,0,0,0,0,0,166
"Surfperch, walleye",2,24,0,0,0,0,0,0,0,0,0,0,25
"Thornyhead, shortspine","4,033","1,460","2,797","1,444","8,916","4,698","5,315","13,021","7,524","11,551","4,818","3,690","69,267"
"Tuna, albacore",0,0,0,0,0,0,773,"14,473","9,257","4,416",0,0,"28,919"
"Whiting, Pacific",0,0,7,0,0,0,0,0,0,0,0,0,7
California Waters – Crustaceans,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, box 10",17,8,0,0,0,0,0,0,0,0,0,35
"Crab, Dungeness 537,362","271,302","110,893","15,847",0,0,0,0,0,0,0,"1,270","936,674"
"Crab, red rock 0",0,0,0,0,0,0,10,0,0,0,0,10
"Crab, rock unspecified 84",0,75,0,0,0,0,0,0,0,0,0,159
California Waters – Echinoderms,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Sea cucumber, giant red 0",0,0,0,552,767,747,583,0,0,0,0,"2,649"
"Sea urchin, purple 50",0,0,0,0,0,0,0,0,0,"1,372",0,"1,422"
"Sea urchin, red 10,519","3,580","3,485",0,"2,077",0,"1,403","3,915",353,"2,183","9,359","12,374","49,248"
California Waters – Mollusks,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Octopus, unspecified 40",147,59,105,23,0,72,42,16,0,0,0,504
"California Waters Total: 612,408","287,490","331,424","235,150","406,502","336,655","352,116","560,757","273,604","414,673","219,560","130,457","4,160,797"
"",,,,,,,,,,,,
Other Waters – Finfish,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
Sablefish 0,0,0,"1,137",0,0,0,0,0,0,0,0,"1,137"
"Salmon, Chinook 0",0,0,0,0,0,326,0,0,0,0,0,326
Other Waters Total: 0,0,0,"1,137",0,0,326,0,0,0,0,0,"1,463"
"Grand Total: 612,408","287,490","331,424","236,287","406,502","336,655","352,442","560,757","273,604","414,673","219,560","130,457","4,162,260"
