"",,,,,,,,,,,,,,,Total
Species,January,February,March,,April,,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,
"Salmon, Roe (Chinook,",0,,0,0,,0,,0,,0,,4,,30,0,0,,0,0,34
Coho),,,,,,,,,,,,,,,,,,,,
Sanddab,0,,0,3,,224,,577,,346,,0,,0,0,0,,0,0,"1,150"
"Sanddab, Pacific",0,,0,19,,0,,0,,0,,627,,0,53,14,,0,0,713
"Sculpin, staghorn",0,,0,0,,0,,0,,0,,0,,2,3,0,,0,0,5
"Shad, American",0,,0,430,,123,,59,,119,,0,,0,0,0,,0,0,731
"Shark, spiny dogfish",8,,0,15,,122,,1,,0,,0,,0,0,0,,0,0,146
"Skate, big",7,,0,0,,0,,741,,352,,955,,0,0,0,,0,0,"2,055"
"Skate, California",0,,0,0,,0,,0,,0,,0,,0,0,0,,0,40,40
"Skate, longnose","2,134",,0,"1,082",,"2,717",,859,,"1,000",,"3,265",,"4,097","8,814","2,006",,278,0,"26,252"
"Skate, unspecified",0,,0,1,,0,,0,,0,,0,,0,0,0,,0,0,1
"Sole, curlfin",0,,0,0,,1,,24,,0,,36,,0,0,0,,0,0,61
"Sole, Dover","22,787",,0,"32,500",,"4,659",,"18,084",,"13,622",,"49,577",,"28,495","65,275","77,838",,"38,327","19,814","370,978"
"Sole, English",486,,0,56,,"1,320",,153,,"1,582",,"1,720",,0,"1,735","3,095",,202,121,"10,470"
"Sole, petrale","17,026",,0,"11,865",,"11,939",,"15,052",,"10,393",,"14,221",,85,"13,618","27,514",,"28,224","22,904","172,841"
"Sole, rex","2,490",,0,329,,457,,223,,315,,"2,048",,"1,399","3,809","4,194",,"4,073","1,339","20,676"
"Sole, rock",6,,6,0,,0,,0,,8,,0,,2,0,8,,2,3,35
"Sole, sand",0,,0,0,,0,,0,,13,,0,,0,2,0,,0,0,15
"Sole, slender",19,,0,6,,20,,65,,0,,29,,0,35,4,,0,0,178
"Sole, unspecified",0,,0,81,,0,,0,,51,,431,,0,0,0,,182,0,745
"Surfperch, calico",0,,0,0,,73,,0,,0,,0,,0,0,0,,0,0,73
"Surfperch, redtail",0,,0,0,,70,,0,,0,,0,,0,0,0,,0,0,70
"Thornyhead, longspine","11,339",,0,"14,063",,"1,782",,"2,467",,"4,199",,"23,458",,"3,933","12,722","20,103",,"16,707","13,502","124,275"
"Thornyhead, shortspine","4,559",,45,"4,281",,950,,"3,432",,"1,231",,"8,023",,"5,678","12,797","13,641",,"9,009","8,490","72,136"
"Trawled fish, unspecified",46,,0,92,,0,,0,,0,,0,,0,0,0,,0,0,138
"Tuna, albacore",0,,0,0,,0,,0,,0,,480,,"15,091","7,746",0,,0,0,"23,317"
Turbot,0,,0,0,,0,,0,,37,,0,,0,0,0,,0,0,37
"Whiting, Pacific",5,,0,0,,3,,33,,0,,0,,0,0,119,,0,0,160
Species,January,,February,March,,April,,May,June,,,July,August,,September,,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,,
CRUSTACEANS,,,,,,,,,,,,,,,,,,,,,
"Crab, box",0,,0,0,,2,,0,0,,,0,,0,,0,0,,0,0,2
"Crab, brown rock",0,,0,0,,0,,0,0,,,0,,0,,0,100,,0,0,100
"Crab, Dungeness","261,742",,"847,089","319,924",,"55,683",,"53,424","27,973",,,"18,164",,0,,0,0,,0,0,"1,583,999"
"Crab, red rock",0,,0,0,,0,,0,0,,,0,,0,,0,125,,0,0,125
"Crab, rock unspecified",0,,0,0,,0,,100,349,,,0,,0,,0,0,,0,0,449
"Prawn, spot",0,,0,0,,0,,0,0,,,0,,0,,260,639,,0,0,899
ECHINODERMS,,,,,,,,,,,,,,,,,,,,,
"Sea cucumber, giant red",0,,0,0,,0,,225,270,,,528,"1,577",,,248,0,,0,0,"2,848"
"Sea urchin, purple",0,,0,40,,0,,0,0,,,413,,0,,922,590,,"1,370",0,"3,335"
"Sea urchin, red","15,620",,"27,674","30,897",,"14,595",,"30,050","7,983",,,"10,123","8,907",,,"15,301","18,202",,"28,107","7,655","215,114"
MOLLUSKS,,,,,,,,,,,,,,,,,,,,,
"Octopus, unspecified",0,,175,579,,332,,293,54,,,183,,0,,82,21,,0,0,"1,719"
Water Area Total:,"384,382",,"890,841","555,486",,"325,172",,"343,155","161,852",,,"389,167","313,277",,,"344,406","505,186",,"355,262","190,019","4,758,204"
Grand Total:,"384,382",,"890,841","555,486",,"325,172",,"343,155","161,852",,,"389,167","313,277",,,"344,406","505,186",,"355,262","190,019","4,758,204"
"",,,,,,,,*******************,,,,Total Records:,,"7,471",,,,,,,
"",,,,,,,,End of Report,,,,,,,,,,,,,
