Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
Cabezon..........................................,273,154,0,0,35,98,92,74,59,21,0,0,,804
"Flounder, arrowtooth....................",0,0,0,3,0,0,0,0,0,0,0,0,,3
"Flounder, starry.............................",0,0,0,0,0,0,0,0,12,0,0,0,,12
"Greenling, kelp..............................",18,29,0,0,0,1,5,0,7,0,3,0,,63
Hagfishes.......................................,"36,276","30,244","24,203","11,307","33,947","16,932","32,832","22,645","10,925","23,261","32,695","23,448",,"298,715"
"Halibut, California.........................",0,0,57,0,100,"1,012","1,688","3,225","1,807",893,25,0,,"8,808"
Jacksmelt........................................,0,0,0,30,0,0,0,0,0,0,0,0,,30
Lingcod............................................,0,0,6,12,205,63,"1,008",718,"2,217","1,862","4,812",21,,"10,925"
"Mackerel, Pacific..........................",0,0,0,0,0,0,3,0,0,0,79,0,,82
"Mackerel, jack................................",0,0,0,0,0,0,0,0,0,11,0,0,,11
"Mackerel, unspecified.................",0,0,0,0,0,0,0,30,0,0,0,0,,30
"Rockfish, China.............................",0,0,0,0,13,0,2,3,9,0,5,0,,33
"Rockfish, bank...............................",0,0,0,0,0,0,0,200,0,0,0,0,,200
"Rockfish, black-and-yellow.......",19,19,0,0,0,0,99,29,24,34,5,0,,229
"Rockfish, black..............................",15,44,0,0,4,0,0,9,30,11,90,0,,203
"Rockfish, blackgill........................",87,62,640,375,"1,173",569,469,"1,387","1,378",388,0,0,,"6,528"
"Rockfish, blue................................",0,0,0,1,3,0,0,24,0,0,0,0,,28
"Rockfish, bocaccio......................",0,0,0,169,0,35,0,420,0,101,77,0,,802
"Rockfish, brown............................",0,0,0,0,5,0,0,81,0,4,137,151,,377
"Rockfish, calico............................",0,0,0,0,0,0,0,29,0,0,0,0,,29
"Rockfish, chilipepper...................",0,0,112,0,0,0,0,522,0,0,193,0,,827
"Rockfish, copper...........................",0,0,0,0,18,0,0,0,0,0,0,107,,125
"Rockfish, flag.................................",0,0,0,0,0,523,0,0,0,0,0,0,,523
"Rockfish, gopher...........................",7,50,0,0,33,35,0,52,171,0,30,0,,376
"Rockfish, grass.............................",81,53,0,0,4,20,43,8,7,0,0,0,,214
"Rockfish, group shelf..................",0,0,0,0,0,0,0,4,0,0,0,0,,4
"Rockfish, group slope.................",0,351,0,44,0,0,0,0,0,0,0,0,,395
"Rockfish, olive...............................",0,0,0,0,0,0,0,25,0,0,0,0,,25
"Rockfish, quillback.......................",0,0,0,0,0,0,0,0,0,0,0,44,,44
"Rockfish, redbanded....................",0,0,0,2,0,0,0,0,0,0,0,0,,2
"Rockfish, unspecified..................",0,0,0,0,0,0,0,0,31,43,0,0,,74
"Rockfish, vermilion.......................",0,2,0,0,6,7,4,9,14,13,38,0,,92
"Rockfish, widow............................",0,0,0,1,0,0,0,0,0,21,0,0,,22
"Rockfish, yellowtail......................",38,0,0,245,47,760,11,0,5,650,127,0,,"1,884"
Sablefish.........................................,"9,538","8,719","13,860","27,232","37,839","12,331","10,868","21,451","12,629","17,857",0,0,,"172,325"
"Salmon, Chinook...........................",0,0,0,0,"22,815","12,524","9,201","21,004","20,059","3,630",0,0,,"89,233"
Species,January,February,March,April,May June,,July,August,September,October,November,December,,Landings
alifornia Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Salmon, Roe (Chinook, Coho)....",0,0,0,0,0  5,,6,0,9,2,0,0,,22
"Seabass, white.............................",0,0,0,0,0  0,,0,"1,114","2,352","1,408",0,0,,"4,875"
"Shark, brown smoothhound.......",0,0,10,0,0  0,,0,0,0,0,0,0,,10
"Shark, thresher..............................",0,0,0,0,0  0,,32,24,0,0,0,0,,56
"Shark, unspecified.......................",0,0,80,0,0  0,,0,0,0,0,0,0,,80
"Skate, unspecified.......................",0,0,0,0,40  0,,0,0,0,0,0,0,,40
"Smelt, night....................................",0,0,0,0,0  0,,0,0,0,35,0,0,,35
"Sole, petrale...................................",0,0,0,10,0  0,,0,0,0,0,0,0,,10
"Surfperch, barred..........................",0,0,0,905,0  0,,0,0,0,0,0,0,,905
"Surfperch, shiner..........................",0,0,26,205,62  45,,0,0,0,0,0,0,,338
"Thornyhead, shortspine..............",252,0,0,189,547  184,,42,409,0,41,0,0,,"1,664"
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness..........................","185,005","78,766","28,386","23,134","20,915  27,742",,0,0,0,0,0,0,,"363,948"
"Crab, rock unspecified................",160,"1,050",685,"1,100",210  0,,190,0,995,"1,120",0,0,,"5,510"
Echinoderms,,,,,,,,,,,,,,
"Sea urchin, red..............................","25,387","61,114","19,331","4,382",0  0,,0,0,0,0,"1,295",0,,"111,509"
Mollusks,,,,,,,,,,,,,,
"Octopus, unspecified..................",116,117,0,0,0  0,,0,0,0,0,0,0,,233
"Squid, market.................................",0,0,0,0,0  0,,"141,222","936,448",0,0,0,0,,"1,077,670"
Waters Area Total:,"257,271","180,774","87,396","69,346","118,020  72,884",,"197,817","1,009,944","52,741","51,407","39,611","23,771",,"2,160,982"
Grand Total:,"257,271","180,774","87,396","69,346","118,020  72,884",,"197,817","1,009,944","52,741","51,407","39,611","23,771",,"2,160,982"
"",,,,,*******************,,,,,,,,,
"",,,,,,,,,Total Records:,"2,509",,,,
"",,,,,End of Report,,,,,,,,,
