Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
Cabezon..........................................,63,20,0,0,49,37,151,218,26,0,163,0,,726
"Eel, monkeyface (prickleback)..",0,0,9,9,17,16,0,0,0,0,0,0,,51
"Fish, unspecified..........................",0,0,0,0,19,0,47,0,0,0,0,0,,66
"Flounder, starry.............................",4,0,0,0,0,0,0,0,0,0,0,0,,4
"Greenling, kelp..............................",9,6,0,0,5,13,14,1,10,0,3,0,,61
Hagfishes.......................................,"21,268","12,425","6,318","19,837","11,308","16,824","24,525","46,221","32,325","39,254","11,606","6,746",,"248,657"
"Halibut, California.........................",0,0,0,0,0,534,847,361,490,0,0,0,,"2,232"
Lingcod............................................,13,0,7,0,0,109,385,191,514,37,141,8,,"1,406"
"Rockfish, China.............................",5,0,0,0,4,26,28,0,13,0,0,0,,76
"Rockfish, black-and-yellow.......",26,0,0,0,0,19,84,100,0,0,0,0,,229
"Rockfish, black..............................",9,205,0,0,0,69,69,0,73,0,0,0,,425
"Rockfish, blackgill........................",598,189,872,999,358,537,840,22,838,688,127,72,,"6,139"
"Rockfish, blue................................",1,0,0,0,0,0,0,0,0,0,0,0,,1
"Rockfish, bocaccio......................",0,0,0,0,0,0,0,161,252,67,90,0,,570
"Rockfish, brown............................",0,0,0,0,0,0,0,0,0,0,0,21,,21
"Rockfish, chilipepper...................",0,0,0,0,0,0,0,0,4,0,0,0,,4
"Rockfish, copper...........................",4,0,0,0,0,0,0,0,0,0,0,0,,4
"Rockfish, darkblotched...............",0,0,0,0,0,0,0,0,20,0,0,0,,20
"Rockfish, flag.................................",0,0,0,81,0,0,0,0,0,0,0,0,,81
"Rockfish, gopher...........................",60,8,0,0,126,111,128,14,95,0,62,0,,602
"Rockfish, grass.............................",26,2,0,0,37,24,4,55,22,0,20,0,,188
"Rockfish, speckled.......................",0,0,0,0,0,0,0,0,4,0,0,0,,4
"Rockfish, vermilion.......................",5,0,0,0,0,0,9,3,8,0,0,0,,25
"Rockfish, widow............................",0,0,0,0,0,0,0,30,193,207,168,0,,598
"Rockfish, yellowtail......................",390,0,0,668,27,873,768,654,"1,719",85,668,0,,"5,852"
Sablefish.........................................,"8,826","4,517","12,277","45,653","12,607","7,360","11,510","11,148","15,623","18,966","12,489","3,885",,"164,860"
"Salmon, Chinook...........................",0,0,0,0,"135,509","110,292","55,613","61,201","42,702","5,197",206,0,,"410,719"
"Salmon, Roe (Chinook, Coho)....",0,0,0,0,0,0,17,2,0,0,0,0,,19
Sanddab..........................................,0,0,0,0,0,0,0,49,0,0,0,0,,49
"Seabass, white.............................",0,0,0,0,0,0,330,370,774,0,0,0,,"1,473"
"Shark, brown smoothhound.......",0,0,0,0,0,14,0,0,0,0,0,0,,14
"Shark, leopard...............................",0,0,0,0,0,349,0,0,0,0,0,0,,349
"Shark, soupfin...............................",0,0,0,0,0,22,0,0,0,0,0,0,,22
"Smelt, night....................................",0,300,600,0,900,0,0,0,0,0,0,0,,"1,800"
"Smelt, surf......................................",0,0,0,300,0,0,0,0,0,0,0,0,,300
"Surfperch, shiner..........................",0,0,0,0,0,30,0,0,0,0,0,0,,30
Species,January,February,March,April,May June,,July,August,September,October,November,December,,Landings
alifornia Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Thornyhead, longspine...............",0,0,0,0,0  0,,0,0,5,0,0,0,,5
"Thornyhead, shortspine..............",0,0,172,505,633  389,,24,29,148,34,116,587,,"2,637"
"Tuna, albacore..............................",0,0,0,0,0  0,,0,0,"1,400","8,069",0,0,,"9,469"
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness..........................","182,099","89,597","72,228","60,697","44,724  34,413",,0,0,0,0,"2,039,111","444,716",,"2,967,585"
"Crab, rock unspecified................",350,303,705,"1,240","1,015  505",,708,665,380,"1,206",0,0,,"7,077"
"Shrimp, coonstriped.....................",0,0,0,0,0  0,,0,0,162,0,0,0,,162
"Shrimp, ocean (pink)....................",0,0,0,"4,813","5,870  0",,440,0,0,0,0,0,,"11,123"
Echinoderms,,,,,,,,,,,,,,
"Sea urchin, red..............................",0,327,0,0,0  0,,0,0,"49,553","25,548","12,153","4,656",,"92,237"
Mollusks,,,,,,,,,,,,,,
"Octopus, unspecified..................",9,223,0,0,0  56,,0,0,0,0,0,50,,338
"Squid, market.................................",0,0,0,0,0  0,,0,"373,008",0,0,0,0,,"373,008"
Waters Area Total:,"213,765","108,121","93,188","134,803","213,206  172,621",,"96,540","494,501","147,350","99,358","2,077,122","460,741",,"4,311,317"
aters South Of State,,,,,,,,,,,,,,
Crustaceans,,,,,,,,,,,,,,
"Shrimp, coonstriped.....................",0,0,0,0,0  0,,0,154,0,0,0,0,,154
Waters Area Total:,0,0,0,0,0  0,,0,154,0,0,0,0,,154
Grand Total:,"213,765","108,121","93,188","134,803","213,206  172,621",,"96,540","494,655","147,350","99,358","2,077,122","460,741",,"4,311,471"
"",,,,,*******************,,,,,,,,,
"",,,,,,,,,Total Records:,"4,061",,,,
"",,,,,End of Report,,,,,,,,,
