Species,January,February,March,,April,,May,,June,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,
Cabezon....................................,64,0,0,,,0,106,,171,126,,0,178,0,,0,0,644
"Flounder, arrowtooth..................",0,0,21,,,0,51,,0,0,,0,148,0,,0,0,220
"Flounder, starry..........................",33,83,0,,,0,0,,0,309,,10,0,0,,0,0,435
"Flounder, unspecified.................",0,0,0,,,0,0,,0,0,,0,0,0,,0,1,1
"Greenling, kelp...........................",12,0,0,,,0,26,,19,23,,0,0,0,,0,0,81
"Halibut, California.......................",38,0,0,,,0,0,,553,"2,021",,"3,264",722,179,,0,0,"6,777"
Lingcod......................................,390,287,694,,,454,"1,101",,65,685,,126,941,96,,81,44,"4,964"
"Mackerel, unspecified................",0,0,0,,,0,0,,0,3,,7,0,0,,0,0,10
"Rockfish, China..........................",5,0,0,,,0,19,,3,18,,11,73,40,,19,2,190
"Rockfish, bank...........................",21,4,276,,,0,0,,0,30,,75,59,0,,196,490,"1,151"
"Rockfish, black-and-yellow.........",46,0,0,,,0,44,,162,18,,13,33,6,,0,0,321
"Rockfish, black...........................",12,0,0,,,0,10,,27,46,,81,64,39,,121,0,400
"Rockfish, blackgill......................",70,70,222,,,0,9,,0,0,,0,78,0,,0,0,449
"Rockfish, blue............................",285,0,0,,,0,239,,0,"1,897",,331,507,904,,452,196,"4,810"
"Rockfish, bocaccio.....................",183,0,0,,,0,40,,0,336,,17,210,78,,566,46,"1,476"
"Rockfish, brown.........................",0,0,0,,,0,23,,0,262,,160,71,30,,0,0,546
"Rockfish, canary........................",0,0,0,,,0,0,,0,68,,0,0,0,,0,0,68
"Rockfish, chilipepper..................","1,992",0,764,,,448,460,,0,"1,252",,723,"2,656",0,,"1,929","2,547","12,771"
"Rockfish, copper........................",0,0,0,,,0,0,,1,0,,13,0,6,,0,0,20
"Rockfish, darkblotched...............",126,70,"1,136",,,0,158,,0,0,,0,0,0,,33,123,"1,646"
"Rockfish, gopher........................",114,0,0,,,0,133,,73,378,,325,435,181,,69,47,"1,755"
"Rockfish, grass..........................",18,0,0,,,0,38,,119,54,,0,4,2,,2,0,239
"Rockfish, greenspotted..............",0,0,0,,,0,0,,0,7,,0,0,0,,0,0,7
"Rockfish, greenstriped...............",0,0,0,,,0,7,,0,0,,0,0,0,,0,0,7
"Rockfish, group deep nearshore",0,0,0,,,0,432,,0,0,,0,0,0,,0,0,432
"Rockfish, group rosefish.............",569,710,564,,,0,243,,0,0,,0,0,0,,698,0,"2,784"
"Rockfish, group shelf.................",6,0,0,,,0,0,,0,25,,0,0,0,,0,0,31
"Rockfish, group slope................",0,0,54,,,0,0,,0,0,,0,0,0,,0,0,54
"Rockfish, olive............................",0,0,0,,,0,41,,0,32,,0,126,25,,54,3,281
"Rockfish, speckled.....................",0,0,0,,,0,0,,0,5,,0,0,0,,0,0,5
"Rockfish, splitnose.....................",0,0,0,,,0,0,,0,0,,0,0,0,,0,178,178
"Rockfish, unspecified.................",0,0,0,,,0,44,,0,0,,0,0,0,,0,0,44
"Rockfish, vermilion.....................",18,0,0,,,0,35,,13,121,,27,182,199,,73,55,721
"Rockfish, widow.........................",225,0,12,,,0,5,,0,10,,174,490,0,,0,0,915
"Rockfish, yellowtail.....................",119,0,0,,,7,48,,0,332,,177,189,583,,345,270,"2,070"
Sablefish....................................,443,250,159,,,0,386,,0,11,,0,"1,879",0,,"2,680",310,"6,118"
Species,January,February,March,,April,,May June,,July,August September,October,,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,
"Salmon, Chinook........................",0,0,0,,0,,"32,353  14,797",,"305,166","91,037  20,155",,0,,0,0,"463,509"
"Salmon, Roe (Chinook, Coho)",0,0,0,,0,,0  0,,0,9,0,0,,0,0,9
Salmon......................................,0,0,0,,0,,0  0,,22,0,0,0,,0,0,22
"Seabass, white..........................",0,0,0,,0,,0  0,,0,283,0,0,,0,0,283
"Shark, shortfin mako..................",0,0,0,,0,,0  0,,0,0,0,0,,249,0,249
"Shark, thresher..........................",0,0,0,,0,,0  0,,0,0,0,0,,"1,069",0,"1,069"
"Skate, unspecified......................",126,0,0,,0,,0  0,,"1,111","0  2,611",,0,,0,0,"3,848"
"Sole, Dover................................",229,165,408,,0,,"2,123  0",,0,"0  14,710",,0,,115,0,"17,750"
"Sole, English..............................","3,880",480,"2,101",,"1,918",,348  0,,"1,000","0  2,344",,0,,556,"1,031","13,658"
"Sole, petrale...............................","22,075","11,172","12,627",,"9,713",,"2,654  0",,"13,488","0  9,158",,0,,"9,843","32,802","123,532"
"Sole, rex....................................",490,88,502,,79,,41  0,,21,"0  1,456",,0,,19,64,"2,760"
"Sole, rock...................................",0,0,0,,0,,0  0,,17,0,0,0,,0,0,17
"Sole, sand..................................",56,0,0,,0,,0  0,,5,0,0,0,,0,0,61
Swordfish...................................,0,0,0,,0,,0  0,,0,0,0,0,,"7,680",0,"7,680"
"Thornyhead, longspine...............",0,46,0,,0,,508  0,,0,0,0,0,,0,0,554
"Thornyhead, shortspine.............",150,5,0,,0,,378  0,,0,0  70,,0,,58,21,682
"Tuna, albacore...........................",0,0,0,,0,,0  0,,0,78  598,,"5,647",,0,0,"6,323"
Crustaceans,,,,,,,,,,,,,,,,
"Crab, Dungeness.......................","272,178","94,931","133,122",,"83,859",,"89,091  50,055",,"1,716",0,0,0,,436,"452,604","1,177,992"
"Crab, box...................................","1,936",0,594,,0,,0  0,,0,0,0,0,,0,0,"2,530"
"Crab, rock unspecified...............",627,0,859,,0,,0  0,,0,0,0,0,,0,0,"1,486"
"Shrimp, bay................................",305,0,0,,0,,100  0,,0,0,0,0,,0,0,405
Echinoderms,,,,,,,,,,,,,,,,
"Sea urchin, red...........................",0,0,0,,0,,0  0,,0,"0  3,276",,"5,343",,0,0,"8,619"
Mollusks,,,,,,,,,,,,,,,,
"Octopus, unspecified.................",0,0,0,,34,,0  0,,0,0,0,0,,0,0,34
"Squid, jumbo..............................",110,0,0,,0,,0  0,,0,0,0,0,,0,0,110
