Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
"Shark, leopard...............................",9,0,32,0,0,11,0,0,0,59,19,9,139
"Shark, sevengill............................",72,94,0,0,0,35,41,121,48,42,60,0,513
"Shark, shortfin mako....................",187,0,0,0,0,0,11,0,0,71,0,28,297
"Shark, soupfin...............................",0,0,0,0,0,0,38,36,27,146,59,0,305
"Shark, spiny dogfish....................",0,0,0,0,0,15,0,0,0,0,0,0,15
"Shark, thresher..............................","3,996",0,0,0,0,0,0,0,0,0,0,"9,039","13,035"
Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Shark, unspecified.......................",0,0,0,9,0,0,0,0,0,0,0,0,,9
"Sheephead, California.................",296,217,0,0,68,40,231,93,184,106,454,171,,"1,858"
"Skate, California............................",0,0,40,0,0,0,0,0,0,0,0,0,,40
"Skate, big........................................",97,97,43,57,96,9,0,0,0,0,0,0,,399
"Skate, longnose............................",382,524,518,446,751,38,13,135,0,39,0,40,,"2,886"
"Skate, unspecified.......................",40,0,92,0,0,0,0,0,0,0,0,0,,132
"Smelt, surf......................................",0,0,0,0,0,0,0,0,29,0,0,0,,29
"Sole, Dover.....................................","9,390","1,454","10,905","17,375","13,696","16,071","21,842","12,300","10,533","20,602",908,"8,161",,"143,237"
"Sole, English..................................",307,568,255,105,198,48,59,130,30,9,0,10,,"1,719"
"Sole, petrale...................................","18,170","10,795",983,929,372,359,"1,300","1,804","10,555","19,636","7,480","5,917",,"78,299"
"Sole, rex..........................................",23,102,10,67,3,12,50,20,1,0,0,0,,288
"Sole, rock........................................",3,8,0,0,2,29,6,6,0,3,4,10,,70
"Sole, sand......................................",852,"1,076","1,032","1,286","1,397","1,226",605,962,228,158,205,241,,"9,267"
"Sole, unspecified..........................",173,159,141,78,2,0,4,0,36,180,11,15,,799
Splittail............................................,0,0,0,0,144,0,0,0,0,0,0,0,,144
"Surfperch, barred..........................","4,326","4,142","3,160","2,315",0,0,0,"1,429","1,504","2,092","1,508","2,179",,"22,654"
"Surfperch, calico..........................",186,137,110,79,0,0,0,19,0,179,205,26,,941
"Surfperch, redtail..........................",0,35,0,0,0,0,0,0,0,0,0,0,,35
"Surfperch, rubberlip.....................",2,0,0,0,0,0,3,0,0,3,0,1,,8
"Surfperch, shiner..........................",0,12,0,0,0,0,0,0,0,0,0,0,,12
"Surfperch, unspecified................","1,212","1,125",162,20,0,4,0,84,131,639,49,545,,"3,971"
Swordfish........................................,"15,325",0,0,0,0,0,0,0,0,131,319,543,,"16,318"
"Thornyhead, longspine...............","2,437","1,351","1,749","1,732","3,505","3,053","2,999","2,190","1,356","2,203",546,"1,094",,"24,213"
"Thornyhead, shortspine..............","12,358","8,693","9,880","7,957","13,693","17,094","15,078","7,278","7,313","9,088","3,413","11,183",,"123,028"
Thornyheads..................................,1,0,0,0,0,0,0,0,0,0,7,0,,8
"Tuna, albacore..............................",119,0,0,0,0,0,0,0,"1,338","1,547",0,0,,"3,004"
"Tuna, bluefin..................................",984,0,0,0,0,0,0,0,0,0,0,293,,"1,277"
"Tuna, skipjack...............................",0,0,0,0,0,0,0,0,40,910,210,0,,"1,161"
"Tuna, yellowfin..............................",0,0,0,0,0,0,0,0,0,309,50,0,,359
Turbot..............................................,0,3,64,0,0,0,7,0,0,0,17,0,,91
"Whitefish, ocean...........................",6,36,0,0,0,6,0,0,0,0,0,0,,48
"Whiting, Pacific.............................",886,343,183,337,0,0,0,0,0,0,0,0,,"1,749"
Yellowtail........................................,0,0,0,0,0,0,227,0,0,22,54,0,,303
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness..........................","207,131","139,180","162,175","81,613","59,293","23,507",0,0,0,0,0,0,,"672,900"
"Crab, brown rock...........................",25,"1,174",0,0,0,0,0,0,0,0,0,0,,"1,199"
Species,January,February,March,April,May June,,July,August,September,October,November,December,,Landings
alifornia Waters,,,,,,,,,,,,,,
Crustaceans,,,,,,,,,,,,,,
"Crab, claws....................................",20,0,0,0,0  0,,0,0,0,0,0,0,,20
"Crab, red rock................................","1,383","4,293","3,328","1,439","1,113  582",,"3,962","2,864","3,803",0,0,0,,"22,767"
"Crab, rock unspecified................","1,137",798,"2,922","6,986","11,496  10,518",,"13,331","14,049","12,773",343,0,0,,"74,353"
"Crab, spider....................................",15,5,0,0,0  0,,0,5,97,0,0,0,,122
"Crab, yellow rock..........................",0,0,9,0,6  246,,"1,850","1,236","1,058",0,0,0,,"4,405"
"Prawn, ridgeback..........................",200,0,458,0,0  0,,0,0,0,0,0,0,,658
"Prawn, spot....................................","3,641","3,361","2,389","2,091",0  0,,0,"3,588","1,930","2,393","2,231","1,101",,"22,727"
Echinoderms,,,,,,,,,,,,,,
"Sea cucumber, giant red............",0,0,61,0,0  0,,0,0,0,0,0,0,,61
"Sea cucumber, warty...................",0,0,188,0,0  0,,700,0,0,0,0,0,,888
"Sea urchin, red..............................",0,0,894,0,0  505,,0,0,0,520,0,0,,"1,919"
Mollusks,,,,,,,,,,,,,,
"Octopus, unspecified..................",20,38,0,10,111  0,,0,0,0,0,0,0,,179
"Squid, market.................................",0,0,0,0,0  0,,"1,006,586","253,827",0,0,0,0,,"1,260,413"
"Whelk, Kellet's...............................",0,0,0,0,0  0,,0,0,70,0,0,0,,70
Waters Area Total:,"423,385","254,133","286,038","214,146","237,689  198,567",,"1,214,025","408,103","191,690","238,789","165,054","146,072",,"3,977,691"
aters North Of State,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Tuna, albacore..............................",0,0,0,0,0  0,,0,0,"1,201","1,151",0,0,,"2,352"
"Tuna, skipjack...............................",0,0,0,0,0  0,,0,0,0,91,0,0,,91
Waters Area Total:,0,0,0,0,0  0,,0,0,"1,201","1,242",0,0,,"2,443"
Grand Total:,"423,385","254,133","286,038","214,146","237,689  198,567",,"1,214,025","408,103","192,891","240,031","165,054","146,072",,"3,980,134"
"",,,,,*******************,,,,,,,,,
"",,,,,,,,,Total Records:,"20,290",,,,
"",,,,,End of Report,,,,,,,,,
