Species,January,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
"Shark, thresher..........................",0,0,0,,0,,0,,0,,"2,652",,25,0,"2,757",,"4,679",0,"10,113"
"Shark, unspecified.....................",0,0,15,,0,,0,,0,,0,,0,0,0,,0,0,15
"Sheephead, California................",82,89,0,,0,,69,,25,,20,,17,31,0,,0,0,331
"Skate, unspecified......................",25,0,0,,0,,0,,0,,4,,8,0,0,,45,32,114
"Sole, Dover................................",0,0,0,,0,,0,,0,,0,,0,1,"1,443",,"1,051","1,745","4,240"
"Sole, English..............................",0,0,45,,0,,0,,0,,0,,0,0,0,,0,0,45
"Sole, petrale...............................",32,0,0,,0,,0,,0,,0,,0,0,"5,488",,"11,434","5,883","22,837"
"Sole, rex....................................",3,0,0,,0,,0,,0,,0,,0,0,143,,477,"1,070","1,693"
"Sole, rock...................................",0,2,0,,0,,0,,0,,0,,0,0,0,,0,0,2
"Sole, sand..................................",4,11,0,,0,,4,,2,,6,,0,0,0,,0,0,26
"Sole, unspecified........................",0,0,0,,0,,0,,9,,10,,7,53,0,,2,0,81
"Surfperch, barred.......................",555,99,0,,0,,0,,0,,0,,43,0,0,,0,24,720
"Surfperch, calico........................",0,3,0,,0,,0,,0,,0,,0,0,0,,0,0,3
Species,January,February,March,April,,May,,June,,July,,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,
"Surfperch, unspecified...............",209,413,588,95,,0,,0,,0,,349,345,271,572,123,"2,963"
Swordfish...................................,0,0,0,0,,0,,0,,0,,0,770,"51,716","89,284",0,"141,769"
"Thornyhead, longspine...............",335,0,0,0,,0,,0,,252,,0,0,"1,494",770,215,"3,066"
"Thornyhead, shortspine.............",408,0,0,0,,0,,0,,26,,0,0,636,610,7,"1,687"
"Tuna, albacore...........................",0,0,0,0,,0,,41,,166,,"1,699","14,703","7,506","2,151",0,"26,266"
"Tuna, bluefin..............................",0,0,0,0,,0,,0,,0,,0,0,369,"1,213",0,"1,582"
"Tuna, skipjack, black..................",0,0,0,0,,0,,0,,0,,0,0,284,0,0,284
"Tuna, skipjack............................",0,0,0,0,,0,,0,,0,,0,0,95,0,0,95
"Tuna, yellowfin...........................",0,0,0,0,,0,,0,,0,,284,0,0,0,0,284
Turbot........................................,0,20,0,0,,0,,0,,59,,28,21,0,0,9,137
"Whitefish, ocean........................",0,0,0,0,,0,,0,,0,,0,0,1,0,0,1
"Whiting, Pacific..........................",0,0,0,0,,0,,0,,0,,0,0,342,820,0,"1,162"
Yellowtail....................................,0,11,0,0,,0,,0,,0,,0,7,0,0,0,18
Crustaceans,,,,,,,,,,,,,,,,,
"Crab, Dungeness.......................","11,201","15,450","4,737","16,052",,"13,183",,"6,219",,0,,0,0,0,0,58,"66,900"
"Crab, box...................................",0,0,0,3,,0,,0,,0,,0,0,0,0,0,3
"Crab, brown rock........................",0,0,0,0,,0,,0,,0,,0,0,0,0,10,10
"Crab, rock unspecified...............","7,026","1,149","6,551","5,328",,"8,157",,"4,454",,"4,261",,"7,206","9,492","3,042","2,113",0,"58,789"
"Crab, spider...............................",87,132,8,0,,0,,5,,0,,10,0,0,156,0,398
"Prawn, ridgeback.......................",0,0,0,950,,0,,0,,0,,0,0,0,0,0,950
"Prawn, spot................................","2,801","1,055","1,400","1,110",,0,,193,,0,,"1,084",879,686,"1,628",917,"11,752"
Echinoderms,,,,,,,,,,,,,,,,,
"Sea urchin, red...........................",0,0,"1,660",0,,0,,0,,0,,"2,180",0,0,0,0,"3,840"
Mollusks,,,,,,,,,,,,,,,,,
"Squid, jumbo..............................",128,0,0,0,,0,,0,,0,,0,0,115,5,0,248
"Squid, market.............................",0,0,0,0,,8,,0,,0,,0,0,0,0,0,8
"Whelk, Kellet's...........................",0,0,33,0,,5,,11,,15,,150,0,0,798,0,"1,012"
Waters Area Total:,"58,527","41,009","55,300","33,721",,"65,228",,"49,843",,"40,756",,"57,791","102,353","151,494","190,360","53,041","899,434"
Other Waters,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,
"Tuna, albacore...........................",0,0,0,0,,0,,0,,0,,0,"1,560",0,0,0,"1,560"
Waters Area Total:,0,0,0,0,,0,,0,,0,,0,"1,560",0,0,0,"1,560"
Waters North Of State,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,
"Tuna, albacore...........................",0,0,0,0,,0,,0,,0,,0,"8,817",0,0,0,"8,817"
Species,January,February,March,,April,,May,June,,,July,,August,September,October,,,November,December,Landings
Waters North Of State,,,,,,,,,,,,,,,,,,,,
Waters Area Total:,0,0,0,,0,,0,0,,,0,,0,"8,817",,0,,0,0,"8,817"
Grand Total:,"58,527","41,009","55,300",,"33,721",,"65,228","49,843",,,"40,756",,"57,791","112,730","151,494",,,"190,360","53,041","909,811"
"",,,,,,,*******************,,,,,,,,,,,,,
"",,,,,,,End of Report,,,,,,Total Records:,,"12,039",,,,,
