Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Barracuda, California......................",0,268,0,0,0,0,0,96,226,56,5,0,651
Butterfish (Pacific pompano).........,32,49,0,40,30,0,0,0,0,192,47,560,949
Cabezon...........................................,807,"1,222",0,0,"1,352","1,991","2,241","1,414","3,947","4,860","1,243",501,"19,577"
"Croaker, white..................................","1,884",83,0,40,203,0,0,0,0,461,650,73,"3,395"
"Eel, monkeyface (prickleback)......",0,2,0,0,3,3,0,9,6,8,0,0,30
"Fish, unspecified...............................",0,0,0,0,0,32,0,0,0,0,0,1,33
"Flounder, starry.................................",22,0,0,0,4,46,127,138,296,50,126,13,822
"Flounder, unspecified......................",0,0,0,0,0,0,0,30,130,53,30,13,256
"Greenling, kelp.................................",126,137,0,0,167,174,338,175,257,197,0,0,"1,571"
Grenadier.........................................,315,66,"1,626",90,0,34,841,651,87,88,297,0,"4,095"
"Guitarfish, shovelnose......................","1,182",0,10,0,0,0,44,0,0,0,586,0,"1,822"
Hagfishes...........................................,"18,137","43,684","28,478","26,831","6,323","23,932","17,422","30,867","26,619","34,786","19,961","19,258","296,299"
"Halibut, California............................","1,318",659,543,55,559,814,"4,551","2,792","1,433","1,972","2,788","3,940","21,423"
Lingcod.............................................,0,0,0,0,"2,533","2,206","3,290","2,511","2,968","3,544","2,518",18,"19,587"
"Lizardfish, California.........................",47,5,30,30,36,0,0,0,0,139,477,350,"1,114"
Louvar...............................................,30,0,0,0,0,0,0,0,23,135,70,0,257
"Mackerel, unspecified....................",0,0,12,0,0,0,0,0,0,0,0,0,12
Opah.................................................,0,0,0,0,0,0,0,0,"1,244",706,"2,078",0,"4,027"
"Pomfret, Pacific................................",0,0,0,0,0,0,0,0,26,49,0,0,75
"Ratfish, spotted................................",0,0,0,0,0,0,0,0,5,0,2,0,7
"Ray, unspecified..............................",0,0,0,0,81,0,0,0,0,0,0,0,81
"Rockfish, China.................................",1,2,0,0,10,8,11,31,24,58,28,10,183
"Rockfish, Pacific ocean perch.......",0,0,0,0,0,0,0,0,0,46,0,0,46
"Rockfish, aurora...............................",0,0,0,40,54,37,64,6,58,27,31,54,370
"Rockfish, bank..................................",0,0,0,0,0,0,0,0,0,15,15,0,30
"Rockfish, black-and-yellow...........",695,"1,043",0,0,815,"2,073","2,035","2,195","2,191","1,457","1,224",337,"14,065"
"Rockfish, black.................................",15,7,0,0,0,15,30,15,33,24,65,141,346
"Rockfish, blackgill.............................",944,"2,216","7,163","7,934","7,055","4,063","6,505","6,643","12,084","20,120","15,507","10,638","100,872"
"Rockfish, blue...................................",32,55,0,0,10,24,25,33,72,62,24,31,369
"Rockfish, bocaccio..........................",0,0,0,0,0,0,4,0,0,0,9,5,17
"Rockfish, brown................................","3,253","2,784",0,0,"6,475","6,026","6,591","5,976","4,514","5,972","3,840","5,498","50,930"
"Rockfish, calico................................",0,0,0,0,0,0,0,0,0,0,0,1,1
"Rockfish, chilipepper.......................",0,0,0,0,0,0,0,0,2,0,0,0,2
"Rockfish, copper..............................",115,59,0,0,78,123,65,151,80,141,180,121,"1,112"
"Rockfish, darkblotched...................",0,0,0,0,0,54,0,0,0,2,101,0,156
"Rockfish, gopher..............................","2,558","2,840",0,0,"2,024","4,243","6,693","5,368","3,975","4,823","4,602","2,609","39,736"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, grass..................................",319,508,0,0,329,838,"1,956","1,465","1,331","1,223","1,132",263,"9,364"
"Rockfish, group gopher...................",0,0,0,0,0,0,0,0,0,0,3,0,3
"Rockfish, group nearshore..............",0,0,0,0,0,0,5,9,4,0,0,0,18
"Rockfish, group red..........................",0,4,0,0,20,35,161,104,30,39,76,64,532
"Rockfish, group rosefish...................",0,0,0,2,0,6,0,0,0,32,0,0,40
"Rockfish, group shelf........................",0,0,0,1,0,0,0,0,0,0,0,0,1
"Rockfish, group slope......................",0,0,0,130,0,0,0,0,0,0,0,0,130
"Rockfish, kelp....................................",23,42,0,0,28,73,151,157,35,93,115,34,751
"Rockfish, olive...................................",0,6,0,0,0,11,11,18,23,8,15,9,102
"Rockfish, pinkrose.............................",0,0,0,0,0,0,0,0,1,0,0,0,1
"Rockfish, rosethorn...........................",0,0,0,0,0,0,0,0,1,0,0,0,1
"Rockfish, rosy....................................",0,0,0,0,0,0,0,0,0,0,0,0,0
"Rockfish, splitnose............................",0,0,0,0,0,0,1,0,0,0,0,0,1
"Rockfish, starry..................................",53,1,0,0,2,4,2,4,5,0,4,1,75
"Rockfish, treefish...............................",176,134,0,0,174,231,531,424,427,348,516,174,"3,134"
"Rockfish, unspecified.......................",0,0,0,0,0,0,0,0,105,0,0,0,105
"Rockfish, vermilion............................",305,148,0,0,623,369,449,881,576,767,"1,105","1,363","6,586"
"Rockfish, yellowtail...........................",0,0,0,0,2,7,2,2,5,10,1,1,30
Sablefish............................................,"65,882","88,739","115,972","79,868","107,281","119,093","273,301","195,508","368,354","161,294","85,701","39,716","1,700,709"
"Salmon, Chinook..............................",0,0,0,0,0,0,140,0,0,0,0,0,140
"Sardine, Pacific................................",0,0,0,0,0,0,924,0,0,0,0,0,924
"Scorpionfish, California....................",28,0,0,0,0,0,0,26,0,0,0,0,54
"Seabass, white.................................","1,766",680,15,0,0,"1,151","6,033","10,651",23,145,"1,811",142,"22,416"
"Shark, Pacific angel.........................",183,0,129,13,13,0,13,0,57,89,175,173,845
"Shark, leopard..................................",0,0,0,0,0,0,0,48,40,0,0,0,88
"Shark, sevengill.................................",68,0,0,0,30,0,0,0,0,0,0,0,98
"Shark, shortfin mako........................",525,0,0,0,0,48,0,0,371,580,337,0,"1,860"
"Shark, soupfin...................................",0,0,0,0,0,0,0,0,0,32,34,0,66
"Shark, spiny dogfish.........................",0,0,0,0,0,0,0,0,0,0,10,37,47
"Shark, thresher..................................",344,0,0,0,0,262,0,0,554,"1,407","7,254",0,"9,821"
"Shark, unspecified............................",0,0,0,0,0,0,0,0,0,0,0,"1,507","1,507"
