Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Barracuda, California.........................",13,0,0,0,0,21,0,0,11,0,0,35,80
"Bass, giant sea.................................",0,0,0,0,0,67,0,0,0,0,0,0,67
"Bonito, Pacific...................................",0,0,0,0,0,22,0,3,633,0,0,0,658
Cabezon............................................,448,65,"2,316","5,944","8,218","15,208","11,887","16,514","10,859","6,543","8,679","9,820","96,500"
"Croaker, white...................................",0,0,0,0,0,0,0,0,0,0,0,4,4
"Eel, monkeyface (prickleback)......",0,0,10,6,9,32,54,4,10,5,10,12,151
"Fish, unspecified...............................",0,0,0,0,56,0,0,0,0,0,0,0,56
"Flounder, arrowtooth.........................",0,0,0,0,0,0,0,13,0,0,0,0,13
"Flounder, starry.................................",33,47,83,34,11,31,8,72,73,0,3,6,401
"Flounder, unspecified........................",41,21,32,55,0,0,0,450,48,122,72,53,892
"Greenling, kelp..................................",179,2,428,512,"1,174","1,306","1,014",911,977,371,699,851,"8,422"
Grenadier..........................................,0,0,0,0,0,0,"1,217",0,"1,304",0,0,0,"2,521"
"Guitarfish, shovelnose.......................",6,71,0,0,9,0,0,0,0,0,51,24,160
"Halibut, California..............................","3,962",932,330,395,213,"4,675","3,434","4,938","2,916","4,927","4,868","8,311","39,901"
Lingcod.............................................,13,0,17,20,"1,766","2,098","1,992",27,0,65,0,0,"5,998"
Louvar...............................................,0,0,0,0,0,0,0,0,100,881,144,24,"1,149"
"Mackerel, Pacific...............................",0,0,0,0,0,0,0,0,3,0,0,1,4
"Mackerel, jack...................................",0,0,0,0,0,0,0,0,0,0,0,1,1
Opah.................................................,0,0,0,0,0,0,0,140,817,"3,561",813,345,"5,676"
"Ray, Pacific electric...........................",0,0,0,0,0,0,0,100,0,0,0,0,100
"Rockfish, China.................................",0,0,31,12,3,19,55,71,15,20,17,91,334
"Rockfish, bank..................................","5,190","2,482",304,0,14,"4,737",58,"15,159","6,470","34,996","27,652","11,456","108,518"
"Rockfish, black-and-yellow................",4,6,713,721,"1,249","1,862","1,933","2,343","1,573",894,797,"1,035","13,129"
"Rockfish, black..................................",0,0,0,25,0,110,15,31,14,16,36,35,282
"Rockfish, blackgill..............................",945,"1,056",754,62,6,124,"1,362","1,063",617,971,578,151,"7,689"
"Rockfish, blue...................................",10,0,25,4,54,21,34,166,167,268,287,245,"1,281"
"Rockfish, bocaccio............................",0,10,0,13,262,88,12,2,4,5,8,0,403
"Rockfish, brown.................................",0,0,798,"2,257",951,"1,861","2,411","2,384","2,251","2,147","2,396","5,767","23,222"
"Rockfish, canary................................",0,0,0,16,77,46,14,0,6,1,0,0,160
"Rockfish, chilipepper.........................",0,11,490,483,724,338,565,"3,364","1,310","1,336",961,0,"9,582"
"Rockfish, copper...............................",0,0,12,41,3,19,15,58,11,26,105,52,341
"Rockfish, cowcod..............................",0,0,49,48,19,53,65,11,0,16,0,0,261
"Rockfish, gopher...............................",57,33,"2,912","3,103","3,055","4,728","3,020","7,817","3,836","3,953","6,326","7,254","46,093"
"Rockfish, grass.................................",2,39,552,"1,368","1,047","2,229","3,139","5,175","3,733","2,048","1,216","1,307","21,854"
"Rockfish, greenspotted......................",0,0,0,0,0,0,0,0,0,116,0,0,116
"Rockfish, group bolina.......................",0,0,696,479,275,517,62,7,69,552,158,0,"2,815"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Rockfish, group gopher.....................",0,0,0,0,16,0,0,0,0,0,0,0,16
"Rockfish, group nearshore................",0,0,0,0,0,9,24,11,42,26,0,19,130
"Rockfish, group red...........................",0,650,498,538,600,"1,108","1,480",671,629,473,38,241,"6,926"
"Rockfish, group rosefish....................","9,823","1,928","2,879",0,"3,548","1,961","1,996","5,880","3,785","2,725","5,367","1,413","41,305"
"Rockfish, group shelf.........................",206,0,620,45,377,133,67,68,67,0,937,61,"2,580"
"Rockfish, group slope........................",0,0,0,0,220,0,0,0,0,0,0,0,220
"Rockfish, kelp....................................",0,0,29,47,23,74,110,37,26,19,24,28,415
"Rockfish, olive...................................",0,0,0,0,0,92,106,7,7,7,0,4,222
"Rockfish, treefish...............................",0,1,53,85,48,183,128,322,136,167,164,196,"1,484"
"Rockfish, vermilion............................",2,0,282,212,77,166,241,398,222,129,468,266,"2,462"
"Rockfish, widow................................",0,0,103,20,2,"25,331","25,679",0,2,2,3,0,"51,142"
"Rockfish, yellowtail............................",0,0,0,0,47,164,154,0,6,0,4,2,376
Sablefish...........................................,"13,134","6,511","14,550","5,886","4,272","5,857","3,634","10,658","2,623","6,604","7,884","7,040","88,652"
"Salmon, Chinook...............................",0,0,0,0,"141,170","271,929","14,360",830,0,0,0,0,"428,289"
"Sanddab, Pacific...............................",0,0,0,0,0,0,"2,967","2,714",0,0,0,0,"5,681"
"Seabass, white..................................",74,11,9,0,13,129,749,665,39,119,628,"1,131","3,567"
"Shad, American.................................",0,0,0,0,0,0,0,0,0,0,4,0,4
"Shark, Pacific angel..........................",398,81,99,238,50,38,261,279,90,191,415,592,"2,730"
"Shark, leopard...................................",0,68,8,51,0,0,0,0,0,0,57,30,214
"Shark, pelagic thresher.....................",0,0,0,0,0,0,0,0,0,121,188,94,403
"Shark, shortfin mako.........................",0,0,0,0,0,0,0,105,483,"4,262","2,053",119,"7,022"
"Shark, soupfin...................................",104,376,29,61,0,15,0,353,179,221,"2,373","1,294","5,005"
"Shark, spiny dogfish..........................",0,0,0,0,0,0,0,0,0,0,0,125,125
"Shark, thresher..................................",0,0,0,0,0,"1,689",174,529,903,"1,930","2,297",878,"8,400"
"Shark, white......................................",0,0,0,0,0,0,0,0,0,0,"1,700",0,"1,700"
"Sheephead, California.......................",18,0,229,38,53,65,98,190,129,100,214,267,"1,399"
"Skate, unspecified.............................",888,234,942,60,0,690,485,101,27,253,379,330,"4,388"
"Sole, Dover.......................................","82,428","57,541","90,895","51,116","20,927","34,253","43,491","47,910","20,492","19,761","22,196","15,989","506,999"
"Sole, English.....................................",95,49,47,124,2,161,"6,238","7,384",132,350,101,18,"14,701"
