Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Goby, bluebanded........................",0,0,0,0,0,0,0,720,0,0,0,0,720
"Goby, yellowfin.............................",0,0,0,0,0,0,0,0,0,0,0,51,51
"Shad, threadfin..............................",0,0,0,620,1377,270,1050,2050,1540,3855,3940,2080,16782
"Smelt, night....................................",0,0,0,0,0,0,353,0,0,0,0,0,353
"Crayfish, red swamp....................",0,0,0,0,0,48,0,0,188,0,0,0,236
"Crayfish, signal.............................",0,0,0,0,0,814,0,0,0,0,0,0,814
"Crayfish, unspecified..................",0,0,285,285,493,3813,7729,27674,9578,7476,2029,660,60022
Waters Area Total:,0,0,285,905,1870,4945,9132,30444,11306,11331,5969,2791,78978
"Crayfish, unspecified..................",0,0,0,0,0,1255,1610,0,0,0,0,0,2865
Waters Area Total:,0,0,0,0,0,1255,1610,0,0,0,0,0,2865
Grand Total:,0,0,285,905,1870,6200,10742,30444,11306,11331,5969,2791,81843
