Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Cabezon,30,0,0,0,211,573,335,527,489,180,368,28,2740
"Fish, unspecified",0,0,0,0,0,0,546,501,537,962,1222,764,4532
"Flounder, arrowtooth",26933,4731,9887,564,623,357,1100,1819,808,2884,1329,1096,52131
"Flounder, starry",0,0,0,0,31,0,0,285,25,0,0,0,341
"Greenling, kelp",52,0,0,0,63,33,101,45,115,66,366,12,853
Grenadier,1523,0,0,0,106,0,0,0,0,1851,160,959,4599
"Hagfish, Pacific",0,0,0,0,0,0,0,0,0,41314,44029,0,85343
"Hagfish, unspecified",0,0,0,15059,57210,122846,120694,140790,59476,39078,0,4571,559724
"Halibut, California",0,0,0,0,144,1891,2140,2082,2163,894,185,0,9498
"Halibut, Pacific",0,0,0,0,110,292,2251,72,0,0,5,78,2808
Jacksmelt,0,0,0,0,0,0,0,96,80,0,0,0,176
Lingcod,667,188,922,15064,52919,91945,103562,43021,17839,12154,9225,2312,349817
"Mackerel, jack",0,0,0,0,0,0,0,4,0,0,0,0,4
"Mackerel, Pacific",0,0,0,0,0,41,0,0,0,0,0,0,41
"Mackerel, unspecified",0,0,0,0,20,0,0,0,0,0,0,0,20
"Rockfish, aurora",0,0,0,0,0,0,0,128,0,0,0,0,128
"Rockfish, black",3327,617,1380,5934,5009,11045,15286,12088,15726,11433,11171,2266,95281
"Rockfish, black-and-yellow",0,0,0,0,0,2,15,4,13,0,19,0,53
"Rockfish, blackgill",0,0,0,0,0,6,0,65,0,37,105,0,213
"Rockfish, blue",511,741,1228,198,31,352,359,386,1032,741,1214,1437,8230
"Rockfish, bocaccio",4,0,14,4344,0,0,104,20,58,124,93,8,4769
"Rockfish, brown",0,0,0,19,6,6,15,42,38,10,16,0,152
"Rockfish, canary",35,102,78,21927,67621,38138,38935,100209,16088,8675,8060,4780,304648
"Rockfish, chilipepper",0,0,0,8799,0,0,0,130,20,380,1991,0,11320
"Rockfish, China",6,0,0,0,16,72,41,29,24,38,54,4,284
"Rockfish, copper",7,29,2,0,373,2789,1405,523,403,317,291,47,6186
"Rockfish, darkblotched",698,14,1261,13764,924,274,4157,2732,765,6944,2716,641,34890
"Rockfish, flag",0,0,0,0,0,0,21,0,0,0,0,0,21
"Rockfish, gopher",0,0,0,0,0,0,0,47,0,44,2,0,93
"Rockfish, grass",4,0,0,0,20,9,87,117,135,0,24,0,396
"Rockfish, greenspotted",0,0,0,0,0,0,0,2,0,0,0,0,2
"Rockfish, greenstriped",0,0,0,0,0,0,0,0,0,9,52,0,61
"Rockfish, group nearshore",0,0,0,62,0,2,0,0,0,0,0,0,64
"Rockfish, group shelf",785,0,22,8233,38111,23095,61243,29743,18807,12921,442,21899,215301
"Rockfish, group slope",906,21,1177,2694,248,1031,2055,6377,3029,7016,805,562,25921
"Rockfish, olive",0,15,0,0,0,3,38,8,0,1,1,10,76
"Rockfish, Pacific ocean perch",5,0,0,0,4,2,8,8,3,6,30,4,70
"Rockfish, quillback",20,24,26,0,143,1257,724,436,183,159,312,33,3316
"Rockfish, redbanded",0,0,0,0,0,107,48,1009,0,226,248,56,1694
"Rockfish, rosy",0,0,0,0,0,0,12,47,136,0,11,0,206
"Rockfish, rougheye",158,0,0,17,3,31,0,58,215,30,11,0,523
"Rockfish, shortraker",33,0,0,20,0,0,0,0,0,22,0,45,120
"Rockfish, starry",0,0,0,0,0,0,3,0,0,0,0,0,3
"Rockfish, unspecified",0,0,0,0,28011,0,0,50,2,4,3,0,28070
"Rockfish, vermilion",53,47,6,41,270,474,712,640,660,447,806,67,4221
"Rockfish, widow",38672,26,83427,39072,30861,603,1034,5428,991,274,166566,151367,518321
"Rockfish, yellowtail",81,28,25,3107,713,2646,4329,2685,2493,491,724,7221,24542
Sablefish,32850,4216,28138,40571,55467,30105,39962,87293,92421,97854,76178,44924,629979
Salmon,0,0,0,0,0,0,8,0,0,0,0,0,8
"Salmon, Chinook",12,6,553,0,6961,22255,17997,39062,57,17,2,14,86934
Sanddab,0,0,14,2727,922,1137,12,19,5,3,0,0,4839
"Sanddab, Pacific",0,0,0,0,0,0,1445,1512,6546,1873,211,1841,13428
"Seaperch, striped",0,0,124,22,0,0,0,0,2,0,0,0,148
"Shark, spiny dogfish",0,0,0,11,0,0,0,3,0,0,303,0,317
"Shark, thresher",0,0,0,0,0,0,152,0,0,0,0,0,152
"Skate, big",77,0,268,2902,4955,3815,9041,9554,10056,5202,1547,772,48189
"Skate, longnose",9688,2260,15092,13369,8385,12187,29527,47025,20883,25669,20211,8914,213210
"Skate, unspecified",0,0,0,124,1722,54,0,0,0,0,0,0,1900
"Smelt, night",682,8489,31529,32123,97268,62717,42326,5752,0,0,0,0,280886
"Smelt, surf",0,0,0,0,1355,756,0,120,179,0,0,0,2410
"Sole, curlfin",0,0,0,7,0,0,0,88,0,0,0,143,238
"Sole, Dover",243760,54086,260511,297610,234372,159107,345827,427624,291143,405004,293468,153089,3165601
"Sole, English",557,0,45,9163,8580,11814,26089,21826,16788,8767,3968,2495,110092
"Sole, petrale",151779,16415,67810,71634,61049,61095,98685,89695,57903,63774,63711,88296,891846
"Sole, rex",6009,628,5907,10888,15025,10333,18299,22762,10102,13025,8573,5640,127191
"Sole, rock",0,0,0,0,0,0,0,0,1,0,0,0,1
"Sole, slender",0,0,0,0,0,0,0,5,0,0,0,0,5
"Surfperch, barred",0,0,70,0,0,0,0,0,0,0,0,0,70
"Surfperch, redtail",183,1475,895,1253,0,0,0,2450,1345,703,738,0,9042
"Surfperch, walleye",0,0,18,0,0,0,0,0,0,0,0,0,18
"Thornyhead, longspine",11857,1239,6127,16899,31143,0,2199,8594,20567,43531,47796,27036,216988
"Thornyhead, shortspine",14361,3701,14096,16108,14866,3569,9305,21428,15773,34187,32924,21276,201594
Thornyheads,0,0,0,0,0,0,0,7,0,0,0,0,7
"Trawled fish, unspecified",1254,407,1125,863,835,234,0,0,0,0,0,0,4718
"Tuna, albacore",0,0,0,0,0,0,8719,24143,169108,14371,1229,1150,218721
"Tuna, skipjack",0,0,0,0,0,0,0,0,0,244,0,0,244
"Whiting, Pacific",0,0,0,314,0,0,0,0,0,11,11,101,437
"Crab, Dungeness",32798,10338720,2354515,318030,280612,109843,39429,0,0,0,0,0,13473947
"Crab, red rock",0,0,0,0,0,0,0,0,254,0,0,0,254
"Crab, rock unspecified",0,1229,0,0,0,0,0,0,0,0,0,0,1229
"Shrimp, coonstriped",0,0,0,0,15272,12432,9485,10938,8713,24717,0,0,81557
"Shrimp, ocean (pink)",0,0,0,0,387244,1475482,987681,1170404,852227,40316,0,0,4913354
"Octopus, unspecified",0,0,0,0,0,0,0,5,0,0,0,0,5
Water Area Total:,580377,10439454,2886292,973536,1509832,2276858,2047547,2342559,1716426,928998,803524,555958,27061361
"Shrimp, ocean (pink)",0,0,0,0,0,0,38572,0,0,0,0,0,38572
Water Area Total:,0,0,0,0,0,0,38572,0,0,0,0,0,38572
"Tuna, albacore",0,0,0,0,0,0,252,4237,0,0,0,0,4489
Water Area Total:,0,0,0,0,0,0,252,4237,0,0,0,0,4489
Grand Total:,580377,10439454,2886292,973536,1509832,2276858,2086371,2346796,1716426,928998,803524,555958,27104422
