Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Trawled fish, unspecified...........",47,"1,332",901,80,163,11,0,0,444,"1,286",728,"1,367",,"6,359"
"Tuna, albacore..............................",0,0,0,0,0,0,"5,829","65,544","60,316","62,415",0,0,,"194,104"
"Whiting, Pacific.............................",1,453,36,0,0,0,0,0,13,0,17,0,,520
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness..........................","1,716,338","888,540","344,849","230,409","116,804","65,218","37,895",0,0,0,0,0,,"3,400,054"
Species,January,February,March,April,May June,,July,August,September,October,November,December,,Landings
alifornia Waters,,,,,,,,,,,,,,
Crustaceans,,,,,,,,,,,,,,
"Shrimp, coonstriped.....................",0,0,0,0,"4,508  20,163",,"10,640","8,323","6,781","5,716",0,0,,"56,131"
"Shrimp, ocean (pink)....................",0,0,0,0,"535,244  1,205,193",,"702,673","574,576","200,817","56,472",0,0,,"3,274,975"
Waters Area Total:,"1,938,656","1,353,082","1,264,624","949,511","1,360,622  2,081,317",,"1,484,771","1,478,889","1,007,465","696,912","550,351","756,942",,"14,923,142"
ther Waters,,,,,,,,,,,,,,
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness..........................",0,0,962,0,0  0,,0,0,0,0,0,0,,962
Waters Area Total:,0,0,962,0,0  0,,0,0,0,0,0,0,,962
aters North Of State,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Tuna, albacore..............................",0,0,0,0,0  0,,223,"15,447","4,574","1,558",0,0,,"21,802"
Waters Area Total:,0,0,0,0,0  0,,223,"15,447","4,574","1,558",0,0,,"21,802"
Grand Total:,"1,938,656","1,353,082","1,265,586","949,511","1,360,622  2,081,317",,"1,484,994","1,494,336","1,012,039","698,470","550,351","756,942",,"14,945,906"
"",,,,,*******************,,,,,,,,,
"",,,,,,,,,Total Records:,"9,368",,,,
"",,,,,End of Report,,,,,,,,,
